dimension,value,strategy,runs,sources,all_cleared,qualified,failed_runs,performance_population,performance_runs,weighted_time_per_source_s,mean_time_per_source_s,median,P90,P95,P99,max,CVaR95,tail_count,mean_movement_m,mean_measurements,mean_switches,mean_clear_failures
N,10,E11,28,280,True,True,0,qualified_runs_only,28,316.27109403928574,316.2710940392857,319.18067075,352.02534734,356.97606183,363.942387361,365.96988369999997,362.21526085,2,12039.62613092586,118.17857142857143,110.03571428571429,1.2857142857142858
N,11,E11,29,319,True,True,0,qualified_runs_only,29,297.5024386018809,297.5024386018809,299.64768363636364,325.0963028181818,334.2469979090909,343.7051268690909,345.7918191818182,342.06558290909095,2,12529.53067536965,119.37931034482759,110.27586206896552,1.4827586206896552
N,12,E11,29,348,True,True,0,qualified_runs_only,29,273.1137747270115,273.1137747270115,276.89131308333333,313.58798726666663,320.9077036333333,338.52095084,344.37258775000004,333.923236125,2,12557.171311075359,118.48275862068965,108.65517241379311,1.6206896551724137
N,10,T2,28,280,True,True,0,qualified_runs_only,28,313.4729630035714,313.4729630035714,315.1882021,338.57926368,340.48736559499997,341.238227574,341.3186535,341.1697166,2,11422.219578554088,134.71428571428572,124.03571428571429,0.8928571428571429
N,11,T2,29,319,True,True,0,qualified_runs_only,29,297.2227227523511,297.2227227523511,299.97562527272726,329.87961623636363,343.33688136363634,350.88282908727274,352.86266627272727,349.32724272727273,2,12198.284234575674,130.41379310344828,120.13793103448276,0.8620689655172413
N,12,T2,29,348,True,True,0,qualified_runs_only,29,276.3245632126437,276.3245632126437,273.68484666666666,321.69219075,325.13512726666664,327.01492494,327.04401633333333,326.99206741666666,2,12428.784137604258,129.51724137931035,118.82758620689656,1.2413793103448276
N,10,T4,28,280,True,True,0,qualified_runs_only,28,314.3620994607143,314.36209946071426,314.72170655,341.11014184,347.666917825,361.951022881,365.96988369999997,358.52754885,2,11583.640687444147,130.67857142857142,120.28571428571429,1.0714285714285714
N,11,T4,29,319,True,True,0,qualified_runs_only,29,297.59870361442006,297.59870361442006,299.97562527272726,338.60237223636364,343.33688136363634,350.88282908727274,352.86266627272727,349.32724272727273,2,12224.997664654113,130.24137931034483,119.89655172413794,0.8275862068965517
N,12,T4,29,348,True,True,0,qualified_runs_only,29,274.92135641091954,274.92135641091954,278.83947608333335,314.47796646666666,322.0599155833333,325.7514310766667,327.04401633333333,324.735828375,2,12378.557246846885,128.27586206896552,117.82758620689656,1.3793103448275863
N,10,T6,28,280,True,True,0,qualified_runs_only,28,314.9520285142857,314.9520285142857,317.63913909999997,352.02534734,356.97606183,363.942387361,365.96988369999997,362.21526085,2,11824.029997429567,123.5,114.21428571428571,1
N,11,T6,29,319,True,True,0,qualified_runs_only,29,298.5146828119122,298.5146828119122,299.64768363636364,325.0963028181818,334.2469979090909,343.7051268690909,345.7918191818182,342.06558290909095,2,12436.755830824304,124.55172413793103,115.13793103448276,1.1379310344827587
N,12,T6,29,348,True,True,0,qualified_runs_only,29,274.99551400287356,274.99551400287356,277.64484608333333,318.13227394999996,323.05538686666665,338.52095084,344.37258775000004,333.923236125,2,12522.661874898988,123.51724137931035,113.6896551724138,1.3793103448275863
