seed,strategy,N,k0,chosen_template,E11_rotation,E12_rotation,qualified_pair,E11_time_per_source_s,E12_time_per_source_s,delta_time_per_source_s,delta_total_virtual_s,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,E11_movement_s,E12_movement_s,delta_movement_s,E11_measurement_s,E12_measurement_s,delta_measurement_s,E11_switch_s,E12_switch_s,delta_switch_s,E11_clear_success_s,E12_clear_success_s,delta_clear_success_s,E11_clear_failure_s,E12_clear_failure_s,delta_clear_failure_s
27182800,T2,11,5,7,0,25,True,301.1978931818182,323.74203118181816,22.544137999999975,247.98551799999996,1059.9275900657576,7,4,-1,-1,2480.176825410531,2692.1623434236826,211.9855180131517,650.0,685.0,35.0,122.0,126.0,4.0,55.0,55.0,0.0,6.0,3.0,-3.0
27182800,T4,11,5,7,0,25,True,301.1978931818182,323.74203118181816,22.544137999999975,247.98551799999996,1059.9275900657576,7,4,-1,-1,2480.176825410531,2692.1623434236826,211.9855180131517,650.0,685.0,35.0,122.0,126.0,4.0,55.0,55.0,0.0,6.0,3.0,-3.0
27182800,T6,11,5,6,0,0,True,301.1978931818182,301.1978931818182,0.0,0.0,0.0,0,0,0,0,2480.176825410531,2480.176825410531,0.0,650.0,650.0,0.0,122.0,122.0,0.0,55.0,55.0,0.0,6.0,6.0,0.0
27182801,T2,12,9,7,5,35,True,219.84283875000003,238.10353758333335,18.260698833333322,219.12838599999986,565.6419298747587,18,16,0,0,1943.1140652543907,2056.242451229342,113.12838597495124,540.0,630.0,90.0,95.0,111.0,16.0,60.0,60.0,0.0,0.0,0.0,0.0
27182801,T4,12,9,7,5,35,True,219.84283875000003,238.10353758333335,18.260698833333322,219.12838599999986,565.6419298747587,18,16,0,0,1943.1140652543907,2056.242451229342,113.12838597495124,540.0,630.0,90.0,95.0,111.0,16.0,60.0,60.0,0.0,0.0,0.0,0.0
27182801,T6,12,9,7,5,35,True,219.84283875000003,238.10353758333335,18.260698833333322,219.12838599999986,565.6419298747587,18,16,0,0,1943.1140652543907,2056.242451229342,113.12838597495124,540.0,630.0,90.0,95.0,111.0,16.0,60.0,60.0,0.0,0.0,0.0,0.0
27182802,T2,13,8,7,35,35,True,257.20493376923076,247.63582638461537,-9.569107384615393,-124.39839600000005,-651.9919817758,3,-3,-2,-2,2574.664139491425,2444.2657431362654,-130.39839635515955,585.0,600.0,15.0,110.0,107.0,-3.0,65.0,65.0,0.0,9.0,3.0,-6.0
27182802,T4,13,8,7,35,35,True,257.20493376923076,247.63582638461537,-9.569107384615393,-124.39839600000005,-651.9919817758,3,-3,-2,-2,2574.664139491425,2444.2657431362654,-130.39839635515955,585.0,600.0,15.0,110.0,107.0,-3.0,65.0,65.0,0.0,9.0,3.0,-6.0
27182802,T6,13,8,7,35,35,True,257.20493376923076,247.63582638461537,-9.569107384615393,-124.39839600000005,-651.9919817758,3,-3,-2,-2,2574.664139491425,2444.2657431362654,-130.39839635515955,585.0,600.0,15.0,110.0,107.0,-3.0,65.0,65.0,0.0,9.0,3.0,-6.0
27182803,T2,14,5,7,40,10,True,301.2950259285714,282.6462356428571,-18.648790285714313,-261.0830640000004,-1810.415321340557,17,16,0,0,3459.1303634073706,3097.0472991392558,-362.08306426811487,585.0,670.0,85.0,104.0,120.0,16.0,70.0,70.0,0.0,0.0,0.0,0.0
27182803,T4,14,5,7,40,10,True,301.2950259285714,282.6462356428571,-18.648790285714313,-261.0830640000004,-1810.415321340557,17,16,0,0,3459.1303634073706,3097.0472991392558,-362.08306426811487,585.0,670.0,85.0,104.0,120.0,16.0,70.0,70.0,0.0,0.0,0.0,0.0
27182803,T6,14,5,6,40,40,True,301.2950259285714,301.2950259285714,0.0,0.0,0.0,0,0,0,0,3459.1303634073706,3459.1303634073706,0.0,585.0,585.0,0.0,104.0,104.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0
27182804,T2,15,9,7,45,40,True,240.9211144,235.8560118,-5.065102599999989,-75.97653899999978,-714.8826998250734,11,9,1,1,2916.816716471626,2773.8401765066114,-142.97653996501458,525.0,580.0,55.0,94.0,103.0,9.0,75.0,75.0,0.0,3.0,6.0,3.0
27182804,T4,15,9,7,45,40,True,240.9211144,235.8560118,-5.065102599999989,-75.97653899999978,-714.8826998250734,11,9,1,1,2916.816716471626,2773.8401765066114,-142.97653996501458,525.0,580.0,55.0,94.0,103.0,9.0,75.0,75.0,0.0,3.0,6.0,3.0
27182804,T6,15,9,7,45,40,True,240.9211144,235.8560118,-5.065102599999989,-75.97653899999978,-714.8826998250734,11,9,1,1,2916.816716471626,2773.8401765066114,-142.97653996501458,525.0,580.0,55.0,94.0,103.0,9.0,75.0,75.0,0.0,3.0,6.0,3.0
27182805,T2,16,12,7,25,35,True,184.8496455,186.0035324375,1.1538869375000047,18.462191000000075,267.3109547331078,-6,-8,1,1,2294.594328308372,2348.0565192549943,53.462190946622286,495.0,465.0,-30.0,88.0,80.0,-8.0,80.0,80.0,0.0,0.0,3.0,3.0
27182805,T4,16,12,7,25,35,True,184.8496455,186.0035324375,1.1538869375000047,18.462191000000075,267.3109547331078,-6,-8,1,1,2294.594328308372,2348.0565192549943,53.462190946622286,495.0,465.0,-30.0,88.0,80.0,-8.0,80.0,80.0,0.0,0.0,3.0,3.0
27182805,T6,16,12,7,25,35,True,184.8496455,186.0035324375,1.1538869375000047,18.462191000000075,267.3109547331078,-6,-8,1,1,2294.594328308372,2348.0565192549943,53.462190946622286,495.0,465.0,-30.0,88.0,80.0,-8.0,80.0,80.0,0.0,0.0,3.0,3.0
27182806,T2,10,4,7,10,5,True,337.45898320000003,335.74011,-1.7188732000000186,-17.188732000000073,-645.9436560303348,19,14,1,1,2646.589831689971,2517.4011004839044,-129.18873120606668,565.0,660.0,95.0,110.0,124.0,14.0,50.0,50.0,0.0,3.0,6.0,3.0
27182806,T4,10,4,7,10,5,True,337.45898320000003,335.74011,-1.7188732000000186,-17.188732000000073,-645.9436560303348,19,14,1,1,2646.589831689971,2517.4011004839044,-129.18873120606668,565.0,660.0,95.0,110.0,124.0,14.0,50.0,50.0,0.0,3.0,6.0,3.0
27182806,T6,10,4,6,10,10,True,337.45898320000003,337.45898320000003,0.0,0.0,0.0,0,0,0,0,2646.589831689971,2646.589831689971,0.0,565.0,565.0,0.0,110.0,110.0,0.0,50.0,50.0,0.0,3.0,3.0,0.0
27182807,T2,11,6,7,50,45,True,322.4818526363636,296.702721,-25.779131636363616,-283.57044799999994,-1552.8522428899578,5,5,-1,-1,2779.3003793961734,2468.7299308181823,-310.5704485779911,600.0,625.0,25.0,110.0,115.0,5.0,55.0,55.0,0.0,3.0,0.0,-3.0
27182807,T4,11,6,7,50,45,True,322.4818526363636,296.702721,-25.779131636363616,-283.57044799999994,-1552.8522428899578,5,5,-1,-1,2779.3003793961734,2468.7299308181823,-310.5704485779911,600.0,625.0,25.0,110.0,115.0,5.0,55.0,55.0,0.0,3.0,0.0,-3.0
27182807,T6,11,6,7,50,45,True,322.4818526363636,296.702721,-25.779131636363616,-283.57044799999994,-1552.8522428899578,5,5,-1,-1,2779.3003793961734,2468.7299308181823,-310.5704485779911,600.0,625.0,25.0,110.0,115.0,5.0,55.0,55.0,0.0,3.0,0.0,-3.0
27182808,T2,12,5,7,10,10,True,287.16964624999997,290.4986676666667,3.3290214166667056,39.94825700000001,-30.2587130566626,9,7,-2,-2,2643.0357549919277,2636.984012380596,-6.05174261133152,615.0,660.0,45.0,116.0,123.0,7.0,60.0,60.0,0.0,12.0,6.0,-6.0
27182808,T4,12,5,7,10,10,True,287.16964624999997,290.4986676666667,3.3290214166667056,39.94825700000001,-30.2587130566626,9,7,-2,-2,2643.0357549919277,2636.984012380596,-6.05174261133152,615.0,660.0,45.0,116.0,123.0,7.0,60.0,60.0,0.0,12.0,6.0,-6.0
27182808,T6,12,5,6,10,10,True,287.16964624999997,287.16964624999997,0.0,0.0,0.0,0,0,0,0,2643.0357549919277,2643.0357549919277,0.0,615.0,615.0,0.0,116.0,116.0,0.0,60.0,60.0,0.0,12.0,12.0,0.0
27182809,T2,13,2,7,55,20,True,294.6256567692308,292.7227164615384,-1.9029403076923472,-24.738224000000173,-548.6911188038957,14,12,1,1,3027.133537730499,2917.39531396972,-109.73822376077896,625.0,695.0,70.0,113.0,125.0,12.0,65.0,65.0,0.0,0.0,3.0,3.0
27182809,T4,13,2,6,55,55,True,294.6256567692308,294.6256567692308,0.0,0.0,0.0,0,0,0,0,3027.133537730499,3027.133537730499,0.0,625.0,625.0,0.0,113.0,113.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0
27182809,T6,13,2,6,55,55,True,294.6256567692308,294.6256567692308,0.0,0.0,0.0,0,0,0,0,3027.133537730499,3027.133537730499,0.0,625.0,625.0,0.0,113.0,113.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0
27182810,T2,14,8,7,10,20,True,258.05940864285714,264.80975914285716,6.750350500000025,94.504907,262.5245349552988,7,7,0,0,2911.8317208164467,2964.3366278075073,52.50490699106058,535.0,570.0,35.0,96.0,103.0,7.0,70.0,70.0,0.0,0.0,0.0,0.0
27182810,T4,14,8,7,10,20,True,258.05940864285714,264.80975914285716,6.750350500000025,94.504907,262.5245349552988,7,7,0,0,2911.8317208164467,2964.3366278075073,52.50490699106058,535.0,570.0,35.0,96.0,103.0,7.0,70.0,70.0,0.0,0.0,0.0,0.0
27182810,T6,14,8,7,10,20,True,258.05940864285714,264.80975914285716,6.750350500000025,94.504907,262.5245349552988,7,7,0,0,2911.8317208164467,2964.3366278075073,52.50490699106058,535.0,570.0,35.0,96.0,103.0,7.0,70.0,70.0,0.0,0.0,0.0,0.0
27182811,T2,15,9,7,10,30,True,240.09305033333334,247.14119346666666,7.048143133333326,105.72214699999995,63.610736038892355,15,15,1,1,2893.395754631908,2906.1179018396865,12.722147207778562,530.0,605.0,75.0,97.0,112.0,15.0,75.0,75.0,0.0,6.0,9.0,3.0
27182811,T4,15,9,7,10,30,True,240.09305033333334,247.14119346666666,7.048143133333326,105.72214699999995,63.610736038892355,15,15,1,1,2893.395754631908,2906.1179018396865,12.722147207778562,530.0,605.0,75.0,97.0,112.0,15.0,75.0,75.0,0.0,6.0,9.0,3.0
27182811,T6,15,9,7,10,30,True,240.09305033333334,247.14119346666666,7.048143133333326,105.72214699999995,63.610736038892355,15,15,1,1,2893.395754631908,2906.1179018396865,12.722147207778562,530.0,605.0,75.0,97.0,112.0,15.0,75.0,75.0,0.0,6.0,9.0,3.0
27182812,T2,16,12,7,25,10,True,197.8203590625,188.518014375,-9.302344687499982,-148.8375149999997,-1259.1875756556965,17,15,1,1,2536.125745092598,2284.2882299614607,-251.83751513113748,470.0,555.0,85.0,76.0,91.0,15.0,80.0,80.0,0.0,3.0,6.0,3.0
27182812,T4,16,12,7,25,10,True,197.8203590625,188.518014375,-9.302344687499982,-148.8375149999997,-1259.1875756556965,17,15,1,1,2536.125745092598,2284.2882299614607,-251.83751513113748,470.0,555.0,85.0,76.0,91.0,15.0,80.0,80.0,0.0,3.0,6.0,3.0
