strategy,dimension,value,pairs,win_rate,tie_rate,median_delta_total_s,P95_delta_total_s,worst_delta_total_s,worst_seed_by_total_s
T2,all,all,200,0.52,0.005,-10.171108999999888,365.8632141499999,558.7897270000003,27182920
T2,N,10,28,0.6071428571428571,0.0,-11.306904499999973,177.26157764999988,434.48054900000034,27182848
T2,N,11,29,0.5172413793103449,0.034482758620689655,-1.0418970000000627,343.51165199999974,409.5956460000002,27182877
T2,N,12,29,0.41379310344827586,0.0,66.76963000000023,449.3620393999996,558.7897270000003,27182920
T2,N,13,29,0.5517241379310345,0.0,-24.738224000000173,403.30305879999975,476.65471000000025,27182949
T2,N,14,29,0.5862068965517241,0.0,-134.06078099999968,231.89534640000002,475.4419759999996,27182971
T2,N,15,28,0.4642857142857143,0.0,8.142994000000044,339.5733499499999,437.578806,27182937
T2,N,16,28,0.5,0.0,-10.158557500000143,310.0192565999997,346.1518769999998,27182826
T2,k0,1,1,0.0,1.0,0.0,0.0,0.0,27182891
T2,k0,2,3,0.6666666666666666,0.0,-24.738224000000173,388.5586717000002,434.48054900000034,27182848
T2,k0,3,11,0.45454545454545453,0.0,25.805574999999862,257.2487809999998,333.8624179999997,27182983
T2,k0,4,22,0.7272727272727273,0.0,-109.18996000000016,363.5614209499999,427.9053859999999,27182914
T2,k0,5,42,0.4523809523809524,0.0,38.67654450000009,405.7510917499999,558.7897270000003,27182920
T2,k0,6,29,0.4827586206896552,0.0,10.79102499999999,342.9243315999997,437.578806,27182937
T2,k0,7,31,0.4838709677419355,0.0,24.48597699999982,410.7969264999997,476.65471000000025,27182949
T2,k0,8,26,0.6153846153846154,0.0,-53.29887849999977,257.8683279999998,379.73182799999995,27182919
T2,k0,9,18,0.4444444444444444,0.0,50.54205749999983,229.8793893999998,290.8017420000001,27182846
T2,k0,10,10,0.5,0.0,2.901452500000005,270.8873186999998,362.951376,27182823
T2,k0,11,3,1.0,0.0,-187.84663599999976,-140.1715056999999,-134.8742689999999,27182861
T2,k0,12,4,0.25,0.0,21.282790000000205,108.78007365000013,123.72301800000014,27182840
T2,chosen_template,6,1,0.0,1.0,0.0,0.0,0.0,27182891
T2,chosen_template,7,199,0.5226130653266332,0.0,-10.975112999999965,365.89144329999993,558.7897270000003,27182920
T4,all,all,200,0.485,0.075,0.0,363.09555644999995,558.7897270000003,27182920
T4,N,10,28,0.4642857142857143,0.21428571428571427,0.0,148.58188199999975,192.21322800000007,27182918
T4,N,11,29,0.4827586206896552,0.06896551724137931,0.0,343.51165199999974,409.5956460000002,27182877
T4,N,12,29,0.3793103448275862,0.13793103448275862,0.0,440.41224539999985,558.7897270000003,27182920
T4,N,13,29,0.5172413793103449,0.034482758620689655,-20.3091730000001,403.30305879999975,476.65471000000025,27182949
T4,N,14,29,0.5862068965517241,0.034482758620689655,-134.06078099999968,231.89534640000002,475.4419759999996,27182971
T4,N,15,28,0.4642857142857143,0.03571428571428571,2.4684405000000424,339.5733499499999,437.578806,27182937
T4,N,16,28,0.5,0.0,-10.158557500000143,310.0192565999997,346.1518769999998,27182826
T4,k0,1,1,0.0,1.0,0.0,0.0,0.0,27182891
T4,k0,2,3,0.0,1.0,0.0,0.0,0.0,27182809
T4,k0,3,11,0.0,1.0,0.0,0.0,0.0,27182850
T4,k0,4,22,0.7272727272727273,0.0,-109.18996000000016,363.5614209499999,427.9053859999999,27182914
T4,k0,5,42,0.4523809523809524,0.0,38.67654450000009,405.7510917499999,558.7897270000003,27182920
T4,k0,6,29,0.4827586206896552,0.0,10.79102499999999,342.9243315999997,437.578806,27182937
T4,k0,7,31,0.4838709677419355,0.0,24.48597699999982,410.7969264999997,476.65471000000025,27182949
T4,k0,8,26,0.6153846153846154,0.0,-53.29887849999977,257.8683279999998,379.73182799999995,27182919
T4,k0,9,18,0.4444444444444444,0.0,50.54205749999983,229.8793893999998,290.8017420000001,27182846
T4,k0,10,10,0.5,0.0,2.901452500000005,270.8873186999998,362.951376,27182823
T4,k0,11,3,1.0,0.0,-187.84663599999976,-140.1715056999999,-134.8742689999999,27182861
T4,k0,12,4,0.25,0.0,21.282790000000205,108.78007365000013,123.72301800000014,27182840
T4,chosen_template,6,15,0.0,1.0,0.0,0.0,0.0,27182809
T4,chosen_template,7,185,0.5243243243243243,0.0,-11.638695999999982,365.25826319999993,558.7897270000003,27182920
T6,all,all,200,0.31,0.395,0.0,290.80206190000007,476.65471000000025,27182949
T6,N,10,28,0.25,0.6071428571428571,0.0,43.119044699999904,114.9024529999997,27182911
T6,N,11,29,0.13793103448275862,0.5862068965517241,0.0,173.33365499999996,379.73182799999995,27182919
T6,N,12,29,0.20689655172413793,0.4827586206896552,0.0,272.27824059999966,311.48793300000034,27182955
T6,N,13,29,0.3103448275862069,0.41379310344827586,0.0,365.02029119999986,476.65471000000025,27182949
T6,N,14,29,0.4827586206896552,0.27586206896551724,0.0,197.4473461999999,475.4419759999996,27182971
T6,N,15,28,0.39285714285714285,0.21428571428571427,0.0,273.6161298499999,437.578806,27182937
T6,N,16,28,0.39285714285714285,0.17857142857142858,0.0,249.16868899999957,346.1518769999998,27182826
T6,k0,1,1,0.0,1.0,0.0,0.0,0.0,27182891
T6,k0,2,3,0.0,1.0,0.0,0.0,0.0,27182809
T6,k0,3,11,0.0,1.0,0.0,0.0,0.0,27182850
T6,k0,4,22,0.0,1.0,0.0,0.0,0.0,27182806
T6,k0,5,42,0.0,1.0,0.0,0.0,0.0,27182800
T6,k0,6,29,0.4827586206896552,0.0,10.79102499999999,342.9243315999997,437.578806,27182937
T6,k0,7,31,0.4838709677419355,0.0,24.48597699999982,410.7969264999997,476.65471000000025,27182949
T6,k0,8,26,0.6153846153846154,0.0,-53.29887849999977,257.8683279999998,379.73182799999995,27182919
T6,k0,9,18,0.4444444444444444,0.0,50.54205749999983,229.8793893999998,290.8017420000001,27182846
T6,k0,10,10,0.5,0.0,2.901452500000005,270.8873186999998,362.951376,27182823
T6,k0,11,3,1.0,0.0,-187.84663599999976,-140.1715056999999,-134.8742689999999,27182861
T6,k0,12,4,0.25,0.0,21.282790000000205,108.78007365000013,123.72301800000014,27182840
T6,chosen_template,6,79,0.0,1.0,0.0,0.0,0.0,27182800
T6,chosen_template,7,121,0.512396694214876,0.0,-1.0418970000000627,346.1518769999998,476.65471000000025,27182949
