seed,strategy,N,k0,chosen_template,selector_invoked,rotation,group,error_mode,case_hash,all_cleared,qualified_run,cleared_count,discovered_count,time_per_source_s,action_log,error,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s
27182800,E11,11,5,6,False,0,random,fixed_field,2658096d59ffe618d240841ec9e2c508e88cbbbce1deda806008203759366b3b,True,True,11,11,301.1978931818182,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182800-E11.jsonl,,12400.884127052654,130,122,13,11,2,0,3313.176825,2480.176825410531,650.0,122.0,55.0,6.0
27182800,T2,11,5,7,True,25,random,fixed_field,2658096d59ffe618d240841ec9e2c508e88cbbbce1deda806008203759366b3b,True,True,11,11,323.74203118181816,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182800-T2.jsonl,,13460.811717118411,137,126,12,11,1,0,3561.162343,2692.1623434236826,685.0,126.0,55.0,3.0
27182800,T4,11,5,7,True,25,random,fixed_field,2658096d59ffe618d240841ec9e2c508e88cbbbce1deda806008203759366b3b,True,True,11,11,323.74203118181816,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182800-T4.jsonl,,13460.811717118411,137,126,12,11,1,0,3561.162343,2692.1623434236826,685.0,126.0,55.0,3.0
27182800,T6,11,5,6,True,0,random,fixed_field,2658096d59ffe618d240841ec9e2c508e88cbbbce1deda806008203759366b3b,True,True,11,11,301.1978931818182,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182800-T6.jsonl,,12400.884127052654,130,122,13,11,2,0,3313.176825,2480.176825410531,650.0,122.0,55.0,6.0
27182801,E11,12,9,6,False,5,random,fixed_field,02ecd59f8c17578b0c3553e6e53d9b638a0abed56302079fa8d538e114b83d92,True,True,12,12,219.84283875000003,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182801-E11.jsonl,,9715.570326271953,108,95,12,12,0,0,2638.114065,1943.1140652543907,540.0,95.0,60.0,0.0
27182801,T2,12,9,7,True,35,random,fixed_field,02ecd59f8c17578b0c3553e6e53d9b638a0abed56302079fa8d538e114b83d92,True,True,12,12,238.10353758333335,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182801-T2.jsonl,,10281.212256146711,126,111,12,12,0,0,2857.242451,2056.242451229342,630.0,111.0,60.0,0.0
27182801,T4,12,9,7,True,35,random,fixed_field,02ecd59f8c17578b0c3553e6e53d9b638a0abed56302079fa8d538e114b83d92,True,True,12,12,238.10353758333335,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182801-T4.jsonl,,10281.212256146711,126,111,12,12,0,0,2857.242451,2056.242451229342,630.0,111.0,60.0,0.0
27182801,T6,12,9,7,True,35,random,fixed_field,02ecd59f8c17578b0c3553e6e53d9b638a0abed56302079fa8d538e114b83d92,True,True,12,12,238.10353758333335,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182801-T6.jsonl,,10281.212256146711,126,111,12,12,0,0,2857.242451,2056.242451229342,630.0,111.0,60.0,0.0
27182802,E11,13,8,6,False,35,random,fixed_field,c7c801dcf381d8a54420533141bbe643d9f5026cd721f2ec07a4447aafed2098,True,True,13,13,257.20493376923076,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182802-E11.jsonl,,12873.320697457126,117,110,16,13,3,0,3343.664139,2574.664139491425,585.0,110.0,65.0,9.0
27182802,T2,13,8,7,True,35,random,fixed_field,c7c801dcf381d8a54420533141bbe643d9f5026cd721f2ec07a4447aafed2098,True,True,13,13,247.63582638461537,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182802-T2.jsonl,,12221.328715681326,120,107,14,13,1,0,3219.265743,2444.2657431362654,600.0,107.0,65.0,3.0
27182802,T4,13,8,7,True,35,random,fixed_field,c7c801dcf381d8a54420533141bbe643d9f5026cd721f2ec07a4447aafed2098,True,True,13,13,247.63582638461537,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182802-T4.jsonl,,12221.328715681326,120,107,14,13,1,0,3219.265743,2444.2657431362654,600.0,107.0,65.0,3.0
27182802,T6,13,8,7,True,35,random,fixed_field,c7c801dcf381d8a54420533141bbe643d9f5026cd721f2ec07a4447aafed2098,True,True,13,13,247.63582638461537,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182802-T6.jsonl,,12221.328715681326,120,107,14,13,1,0,3219.265743,2444.2657431362654,600.0,107.0,65.0,3.0
27182803,E11,14,5,6,False,40,random,fixed_field,ac1b8bcc6d7b682709e7aeecc7dc42d194a5792c6a76652dc80721beb0f3e9b9,True,True,14,14,301.2950259285714,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182803-E11.jsonl,,17295.651817036847,117,104,14,14,0,0,4218.130363,3459.1303634073706,585.0,104.0,70.0,0.0
27182803,T2,14,5,7,True,10,random,fixed_field,ac1b8bcc6d7b682709e7aeecc7dc42d194a5792c6a76652dc80721beb0f3e9b9,True,True,14,14,282.6462356428571,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182803-T2.jsonl,,15485.23649569629,134,120,14,14,0,0,3957.047299,3097.0472991392558,670.0,120.0,70.0,0.0
27182803,T4,14,5,7,True,10,random,fixed_field,ac1b8bcc6d7b682709e7aeecc7dc42d194a5792c6a76652dc80721beb0f3e9b9,True,True,14,14,282.6462356428571,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182803-T4.jsonl,,15485.23649569629,134,120,14,14,0,0,3957.047299,3097.0472991392558,670.0,120.0,70.0,0.0
27182803,T6,14,5,6,True,40,random,fixed_field,ac1b8bcc6d7b682709e7aeecc7dc42d194a5792c6a76652dc80721beb0f3e9b9,True,True,14,14,301.2950259285714,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182803-T6.jsonl,,17295.651817036847,117,104,14,14,0,0,4218.130363,3459.1303634073706,585.0,104.0,70.0,0.0
27182804,E11,15,9,6,False,45,random,fixed_field,7e592bcf60a789210677ebf2ac724af64df79ae03084103b2dcc100362bd5d70,True,True,15,15,240.9211144,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182804-E11.jsonl,,14584.083582358133,105,94,16,15,1,0,3613.816716,2916.816716471626,525.0,94.0,75.0,3.0
27182804,T2,15,9,7,True,40,random,fixed_field,7e592bcf60a789210677ebf2ac724af64df79ae03084103b2dcc100362bd5d70,True,True,15,15,235.8560118,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182804-T2.jsonl,,13869.20088253306,116,103,17,15,2,0,3537.840177,2773.8401765066114,580.0,103.0,75.0,6.0
27182804,T4,15,9,7,True,40,random,fixed_field,7e592bcf60a789210677ebf2ac724af64df79ae03084103b2dcc100362bd5d70,True,True,15,15,235.8560118,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182804-T4.jsonl,,13869.20088253306,116,103,17,15,2,0,3537.840177,2773.8401765066114,580.0,103.0,75.0,6.0
27182804,T6,15,9,7,True,40,random,fixed_field,7e592bcf60a789210677ebf2ac724af64df79ae03084103b2dcc100362bd5d70,True,True,15,15,235.8560118,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182804-T6.jsonl,,13869.20088253306,116,103,17,15,2,0,3537.840177,2773.8401765066114,580.0,103.0,75.0,6.0
27182805,E11,16,12,6,False,25,random,fixed_field,ddd7dc127ff7512d5496d3f2dc6c804ff5d783930b39b0872a2f41681d6bd8cc,True,True,16,16,184.8496455,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182805-E11.jsonl,,11472.97164154186,99,88,16,16,0,0,2957.594328,2294.594328308372,495.0,88.0,80.0,0.0
27182805,T2,16,12,7,True,35,random,fixed_field,ddd7dc127ff7512d5496d3f2dc6c804ff5d783930b39b0872a2f41681d6bd8cc,True,True,16,16,186.0035324375,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182805-T2.jsonl,,11740.282596274968,93,80,17,16,1,0,2976.056519,2348.0565192549943,465.0,80.0,80.0,3.0
27182805,T4,16,12,7,True,35,random,fixed_field,ddd7dc127ff7512d5496d3f2dc6c804ff5d783930b39b0872a2f41681d6bd8cc,True,True,16,16,186.0035324375,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182805-T4.jsonl,,11740.282596274968,93,80,17,16,1,0,2976.056519,2348.0565192549943,465.0,80.0,80.0,3.0
27182805,T6,16,12,7,True,35,random,fixed_field,ddd7dc127ff7512d5496d3f2dc6c804ff5d783930b39b0872a2f41681d6bd8cc,True,True,16,16,186.0035324375,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182805-T6.jsonl,,11740.282596274968,93,80,17,16,1,0,2976.056519,2348.0565192549943,465.0,80.0,80.0,3.0
27182806,E11,10,4,6,False,10,random,fixed_field,eee169d5969630cc4c2ae0a8f64e52dea30dd428f0353a7d006716a2f192679f,True,True,10,10,337.45898320000003,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182806-E11.jsonl,,13232.949158449857,113,110,11,10,1,0,3374.589832,2646.589831689971,565.0,110.0,50.0,3.0
27182806,T2,10,4,7,True,5,random,fixed_field,eee169d5969630cc4c2ae0a8f64e52dea30dd428f0353a7d006716a2f192679f,True,True,10,10,335.74011,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182806-T2.jsonl,,12587.005502419523,132,124,12,10,2,0,3357.4011,2517.4011004839044,660.0,124.0,50.0,6.0
27182806,T4,10,4,7,True,5,random,fixed_field,eee169d5969630cc4c2ae0a8f64e52dea30dd428f0353a7d006716a2f192679f,True,True,10,10,335.74011,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182806-T4.jsonl,,12587.005502419523,132,124,12,10,2,0,3357.4011,2517.4011004839044,660.0,124.0,50.0,6.0
27182806,T6,10,4,6,True,10,random,fixed_field,eee169d5969630cc4c2ae0a8f64e52dea30dd428f0353a7d006716a2f192679f,True,True,10,10,337.45898320000003,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182806-T6.jsonl,,13232.949158449857,113,110,11,10,1,0,3374.589832,2646.589831689971,565.0,110.0,50.0,3.0
27182807,E11,11,6,6,False,50,random,fixed_field,1db70e852a0149874aaa1c08e89d11339d0e421e4410dc5ea9da0934308ebff5,True,True,11,11,322.4818526363636,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182807-E11.jsonl,,13896.501896980872,120,110,12,11,1,0,3547.300379,2779.3003793961734,600.0,110.0,55.0,3.0
27182807,T2,11,6,7,True,45,random,fixed_field,1db70e852a0149874aaa1c08e89d11339d0e421e4410dc5ea9da0934308ebff5,True,True,11,11,296.702721,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182807-T2.jsonl,,12343.649654090914,125,115,11,11,0,0,3263.729931,2468.7299308181823,625.0,115.0,55.0,0.0
27182807,T4,11,6,7,True,45,random,fixed_field,1db70e852a0149874aaa1c08e89d11339d0e421e4410dc5ea9da0934308ebff5,True,True,11,11,296.702721,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182807-T4.jsonl,,12343.649654090914,125,115,11,11,0,0,3263.729931,2468.7299308181823,625.0,115.0,55.0,0.0
27182807,T6,11,6,7,True,45,random,fixed_field,1db70e852a0149874aaa1c08e89d11339d0e421e4410dc5ea9da0934308ebff5,True,True,11,11,296.702721,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182807-T6.jsonl,,12343.649654090914,125,115,11,11,0,0,3263.729931,2468.7299308181823,625.0,115.0,55.0,0.0
27182808,E11,12,5,6,False,10,random,fixed_field,6ebc3045d0699cc1826e48699dfba6d45b45526e701c6d0d0c41c07a0a520578,True,True,12,12,287.16964624999997,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182808-E11.jsonl,,13215.178774959639,123,116,16,12,4,0,3446.035755,2643.0357549919277,615.0,116.0,60.0,12.0
27182808,T2,12,5,7,True,10,random,fixed_field,6ebc3045d0699cc1826e48699dfba6d45b45526e701c6d0d0c41c07a0a520578,True,True,12,12,290.4986676666667,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182808-T2.jsonl,,13184.920061902976,132,123,14,12,2,0,3485.984012,2636.984012380596,660.0,123.0,60.0,6.0
27182808,T4,12,5,7,True,10,random,fixed_field,6ebc3045d0699cc1826e48699dfba6d45b45526e701c6d0d0c41c07a0a520578,True,True,12,12,290.4986676666667,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182808-T4.jsonl,,13184.920061902976,132,123,14,12,2,0,3485.984012,2636.984012380596,660.0,123.0,60.0,6.0
27182808,T6,12,5,6,True,10,random,fixed_field,6ebc3045d0699cc1826e48699dfba6d45b45526e701c6d0d0c41c07a0a520578,True,True,12,12,287.16964624999997,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182808-T6.jsonl,,13215.178774959639,123,116,16,12,4,0,3446.035755,2643.0357549919277,615.0,116.0,60.0,12.0
27182809,E11,13,2,6,False,55,random,fixed_field,ddedd645f397a9dff1d5f0ef6862c54946557d4e67a5ab02d5aeeeb5f5b382df,True,True,13,13,294.6256567692308,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182809-E11.jsonl,,15135.667688652491,125,113,13,13,0,0,3830.133538,3027.133537730499,625.0,113.0,65.0,0.0
27182809,T2,13,2,7,True,20,random,fixed_field,ddedd645f397a9dff1d5f0ef6862c54946557d4e67a5ab02d5aeeeb5f5b382df,True,True,13,13,292.7227164615384,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182809-T2.jsonl,,14586.976569848595,139,125,14,13,1,0,3805.395314,2917.39531396972,695.0,125.0,65.0,3.0
27182809,T4,13,2,6,True,55,random,fixed_field,ddedd645f397a9dff1d5f0ef6862c54946557d4e67a5ab02d5aeeeb5f5b382df,True,True,13,13,294.6256567692308,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182809-T4.jsonl,,15135.667688652491,125,113,13,13,0,0,3830.133538,3027.133537730499,625.0,113.0,65.0,0.0
27182809,T6,13,2,6,True,55,random,fixed_field,ddedd645f397a9dff1d5f0ef6862c54946557d4e67a5ab02d5aeeeb5f5b382df,True,True,13,13,294.6256567692308,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182809-T6.jsonl,,15135.667688652491,125,113,13,13,0,0,3830.133538,3027.133537730499,625.0,113.0,65.0,0.0
27182810,E11,14,8,6,False,10,random,fixed_field,c6a66d942583b8e90b588651b2de07bd2b15d8c73fe8c661ccf23831fd8793c8,True,True,14,14,258.05940864285714,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182810-E11.jsonl,,14559.158604082235,107,96,14,14,0,0,3612.831721,2911.8317208164467,535.0,96.0,70.0,0.0
27182810,T2,14,8,7,True,20,random,fixed_field,c6a66d942583b8e90b588651b2de07bd2b15d8c73fe8c661ccf23831fd8793c8,True,True,14,14,264.80975914285716,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182810-T2.jsonl,,14821.683139037534,114,103,14,14,0,0,3707.336628,2964.3366278075073,570.0,103.0,70.0,0.0
27182810,T4,14,8,7,True,20,random,fixed_field,c6a66d942583b8e90b588651b2de07bd2b15d8c73fe8c661ccf23831fd8793c8,True,True,14,14,264.80975914285716,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182810-T4.jsonl,,14821.683139037534,114,103,14,14,0,0,3707.336628,2964.3366278075073,570.0,103.0,70.0,0.0
27182810,T6,14,8,7,True,20,random,fixed_field,c6a66d942583b8e90b588651b2de07bd2b15d8c73fe8c661ccf23831fd8793c8,True,True,14,14,264.80975914285716,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182810-T6.jsonl,,14821.683139037534,114,103,14,14,0,0,3707.336628,2964.3366278075073,570.0,103.0,70.0,0.0
27182811,E11,15,9,6,False,10,random,fixed_field,1fa48139dc2bdd57baad78f975276d78a73f2f662d206995375275e5c49a5824,True,True,15,15,240.09305033333334,B3/结果/offline_logs/e12-risk-development-20260911T111939727609/27182811-E11.jsonl,,14466.97877315954,106,97,17,15,2,0,3601.395755,2893.395754631908,530.0,97.0,75.0,6.0
