seed,strategy,N,k0,chosen_template,E11_rotation,E12_rotation,qualified_pair,E11_time_per_source_s,E12_time_per_source_s,delta_time_per_source_s,delta_total_virtual_s,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,E11_movement_s,E12_movement_s,delta_movement_s,E11_measurement_s,E12_measurement_s,delta_measurement_s,E11_switch_s,E12_switch_s,delta_switch_s,E11_clear_success_s,E12_clear_success_s,delta_clear_success_s,E11_clear_failure_s,E12_clear_failure_s,delta_clear_failure_s
27182920,T2,12,5,7,20,5,True,280.47820575,327.04401633333333,46.56581058333336,558.7897270000003,2623.948634453269,5,9,0,0,2573.7384689962114,3098.528195886866,524.7897268906545,620.0,645.0,25.0,112.0,121.0,9.0,60.0,60.0,0.0,0.0,0.0,0.0
27182920,T4,12,5,7,20,5,True,280.47820575,327.04401633333333,46.56581058333336,558.7897270000003,2623.948634453269,5,9,0,0,2573.7384689962114,3098.528195886866,524.7897268906545,620.0,645.0,25.0,112.0,121.0,9.0,60.0,60.0,0.0,0.0,0.0,0.0
27182885,T2,12,5,7,35,40,True,277.64484608333333,321.50832833333334,43.863482250000004,526.3617870000003,2066.8089362030187,16,18,5,5,2587.7381525144224,3001.0999397550263,413.3617872406039,580.0,660.0,80.0,104.0,122.0,18.0,60.0,60.0,0.0,0.0,15.0,15.0
27182885,T4,12,5,7,35,40,True,277.64484608333333,321.50832833333334,43.863482250000004,526.3617870000003,2066.8089362030187,16,18,5,5,2587.7381525144224,3001.0999397550263,413.3617872406039,580.0,660.0,80.0,104.0,122.0,18.0,60.0,60.0,0.0,0.0,15.0,15.0
27182848,T2,10,2,7,45,45,True,294.73800489999996,338.1860598,43.448054900000045,434.48054900000034,1712.4027447818971,13,18,3,3,2146.3800492325167,2488.8605981888954,342.4805489563787,635.0,700.0,65.0,113.0,131.0,18.0,50.0,50.0,0.0,3.0,12.0,9.0
27182877,T2,11,5,7,35,15,True,315.6266984545454,352.86266627272727,37.23596781818185,409.5956460000002,1652.9782279391256,13,11,1,1,2662.8936834610486,2993.489329048875,330.5956455878263,635.0,700.0,65.0,116.0,127.0,11.0,55.0,55.0,0.0,3.0,6.0,3.0
27182877,T4,11,5,7,35,15,True,315.6266984545454,352.86266627272727,37.23596781818185,409.5956460000002,1652.9782279391256,13,11,1,1,2662.8936834610486,2993.489329048875,330.5956455878263,635.0,700.0,65.0,116.0,127.0,11.0,55.0,55.0,0.0,3.0,6.0,3.0
27182949,T2,13,7,7,10,30,True,263.59154607692307,300.257293,36.66574692307694,476.65471000000025,2058.2735520655897,12,8,-1,-1,2695.6900990460535,3107.3448094591713,411.65471041311775,560.0,620.0,60.0,100.0,108.0,8.0,65.0,65.0,0.0,6.0,3.0,-3.0
27182949,T4,13,7,7,10,30,True,263.59154607692307,300.257293,36.66574692307694,476.65471000000025,2058.2735520655897,12,8,-1,-1,2695.6900990460535,3107.3448094591713,411.65471041311775,560.0,620.0,60.0,100.0,108.0,8.0,65.0,65.0,0.0,6.0,3.0,-3.0
27182949,T6,13,7,7,10,30,True,263.59154607692307,300.257293,36.66574692307694,476.65471000000025,2058.2735520655897,12,8,-1,-1,2695.6900990460535,3107.3448094591713,411.65471041311775,560.0,620.0,60.0,100.0,108.0,8.0,65.0,65.0,0.0,6.0,3.0,-3.0
