strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
E11,1,/measure,0.0,0.0,1,direction,E11:discovery,0.0,5.0,0.0,0.0,0.0,5.0
E11,2,/measure,0.0,0.0,2,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,3,/measure,0.0,0.0,3,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,4,/measure,0.0,0.0,4,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,5,/measure,0.0,0.0,5,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,6,/measure,0.0,0.0,6,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,7,/measure,0.0,0.0,7,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,8,/measure,0.0,0.0,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,9,/measure,0.0,0.0,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,10,/measure,0.0,0.0,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,11,/measure,0.0,0.0,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,12,/measure,0.0,0.0,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,13,/measure,0.0,0.0,13,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,14,/measure,0.0,0.0,14,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,15,/measure,0.0,0.0,15,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,16,/measure,0.0,0.0,16,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,17,/measure,0.0,0.0,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,18,/measure,0.0,0.0,18,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,19,/measure,0.0,0.0,19,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,20,/measure,0.0,0.0,20,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,21,/measure,112.57000088436726,-9.848598930485391,15,direction,E11:joint_route_transit,22.6,5.0,1.0,0.0,0.0,28.6
E11,22,/measure,112.57000088436726,-9.848598930485391,16,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,23,/measure,150.09333451248966,-13.131465240647186,14,direction,E11:joint_route_transit,7.53333333333333,5.0,1.0,0.0,0.0,13.53333333333333
E11,24,/measure,168.85500132655088,-14.772898395728085,13,direction,E11:joint_route_transit,3.766666666666668,5.0,1.0,0.0,0.0,9.766666666666667
E11,25,/measure,187.6166681406121,-16.41433155080898,1,direction,E11:joint_route_transit,3.766666666666668,5.0,1.0,0.0,0.0,9.766666666666667
E11,26,/measure,300.1866690249793,-26.262930481294372,4,direction,E11:joint_route_transit,22.599999999999998,5.0,1.0,0.0,0.0,28.599999999999998
E11,27,/measure,431.51833672340786,-37.75296256686067,15,direction,E11:joint_route_transit,26.366666666666685,5.0,1.0,0.0,0.0,32.36666666666669
E11,28,/measure,450.28000353746904,-39.394395721941564,19,direction,E11:joint_route_transit,3.766666666666662,5.0,1.0,0.0,0.0,9.766666666666662
E11,29,/measure,506.56500397965266,-44.318695187184254,16,direction,E11:joint_route_transit,11.299999999999999,5.0,1.0,0.0,0.0,17.299999999999997
E11,30,/measure,994.368341145244,-86.9959572192876,1,direction,E11:joint_route_transit,97.93333333333332,5.0,1.0,0.0,0.0,103.93333333333332
E11,31,/measure,994.368341145244,-86.9959572192876,4,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,32,/measure,994.368341145244,-86.9959572192876,13,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,33,/measure,994.368341145244,-86.9959572192876,14,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,34,/measure,994.368341145244,-86.9959572192876,19,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,35,/measure,1125.7000088436725,-98.4859893048539,3,direction,E11:discovery,26.366666666666685,5.0,1.0,0.0,0.0,32.36666666666669
E11,36,/measure,1125.7000088436725,-98.4859893048539,6,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,37,/measure,1125.7000088436725,-98.4859893048539,7,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,38,/measure,1125.7000088436725,-98.4859893048539,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
