seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000102,A,10,9,10+,6,True,-17.388252599999987,-173.88252599999987,0,0,934.4126285791735,1907.1812880180623,0.4899443143919541,-934.4126285791735,2,3,0,0,-186.8825257158344,10.0,3.0,0.0,0.0
52000102,B,10,9,10+,6,True,-14.677164499999947,-146.7716449999998,0,0,703.8582250929139,1907.1812880180623,0.3690568010051952,-703.8582250929139,-1,-1,0,0,-140.77164501858306,-5.0,-1.0,0.0,0.0
52000103,A,11,8,10+,6,True,2.3917044545454473,26.308748999999807,2,0,-196.543744785522,1638.6666527985635,-0.11994126105505275,196.543744785522,-2,3,-2,-2,39.30874895710349,-10.0,3.0,0.0,-6.0
52000103,B,11,8,10+,6,True,79.24521163636365,871.6973280000002,2,0,-3678.486636713982,1638.6666527985635,-2.2448047200031525,3678.486636713982,25,17,-2,-2,735.6973273427966,125.0,17.0,0.0,-6.0
52000101,A,16,6,10+,6,True,-21.38066600000002,-342.0906560000003,0,0,1905.4532816271058,4994.03602840623,0.381545761942611,-1905.4532816271058,6,9,0,0,-381.09065632542115,30.0,9.0,0.0,0.0
52000101,B,16,6,10+,6,True,-35.896078687499994,-574.3372589999999,0,0,3361.686293143808,4994.03602840623,0.6731401764069048,-3361.686293143808,17,13,0,0,-672.3372586287637,85.0,13.0,0.0,0.0
52000100,A,15,9,10+,6,True,-4.434345933333361,-66.51518900000019,2,0,517.5759405129411,2213.8184607962703,0.23379330766208284,-517.5759405129411,8,3,-2,-2,-103.51518810258631,40.0,3.0,0.0,-6.0
52000100,B,15,9,10+,6,True,8.733675133333321,131.0051269999999,2,0,-90.02563833938075,2213.8184607962703,-0.04066532099791063,90.02563833938075,21,14,-2,-2,18.005127667877332,105.0,14.0,0.0,-6.0
52000104,A,12,5,10+,6,True,-26.48286383333334,-317.7943660000001,0,0,1823.9718323522138,1968.651836970199,0.9265080793358307,-1823.9718323522138,8,7,0,0,-364.7943664704421,40.0,7.0,0.0,0.0
52000104,B,12,5,10+,6,True,-14.016086333333362,-168.19303600000012,0,0,1300.9651829460981,1968.651836970199,0.6608406618756488,-1300.9651829460981,16,12,0,0,-260.19303658921945,80.0,12.0,0.0,0.0
52000105,A,13,6,10+,6,True,-7.509586307692302,-97.62462199999982,1,0,708.1231081677543,2178.3940496705145,0.3250665820882402,-708.1231081677543,9,2,-1,-1,-141.62462163355167,45.0,2.0,0.0,-3.0
52000105,B,13,6,10+,6,True,12.461545999999998,162.00009800000043,1,0,-315.0004891873068,2178.3940496705145,-0.14460216196190542,315.0004891873068,18,12,-1,-1,63.000097837461,90.0,12.0,0.0,-3.0
52000106,A,14,4,10+,6,True,-18.381710785714233,-257.34395099999983,2,0,1966.7197559917859,3412.9838955749437,0.5762464213621719,-1966.7197559917859,24,22,-2,-2,-393.34395119835744,120.0,22.0,0.0,-6.0
52000106,B,14,4,10+,6,True,3.7730966428571833,52.823353000000225,2,0,205.88323720649169,3412.9838955749437,0.0603235302321311,-205.88323720649169,17,15,-2,-2,-41.17664744129979,85.0,15.0,0.0,-6.0
52000107,A,15,8,10+,6,True,4.24314206666665,63.64713099999972,2,0,-133.2356571406126,2312.357048773327,-0.05761898112200806,133.2356571406126,6,13,-2,-2,26.64713142812252,30.0,13.0,0.0,-6.0
52000107,B,15,8,10+,6,True,21.692818666666682,325.39228,2,0,-1256.96140003461,2312.357048773327,-0.5435844783146316,1256.96140003461,14,10,-2,-2,251.39228000692265,70.0,10.0,0.0,-6.0
52000109,A,10,4,10+,6,True,-14.249876099999938,-142.49876099999983,1,0,762.4938056994979,2240.410665174393,0.34033662558026856,-762.4938056994979,2,3,-1,-1,-152.49876113989922,10.0,3.0,0.0,-3.0
52000109,B,10,4,10+,6,True,41.728314100000034,417.2831409999999,1,0,-1981.415707079408,2240.410665174393,-0.8843984443919682,1981.415707079408,5,-1,-1,-1,396.28314141588226,25.0,-1.0,0.0,-3.0
52000110,A,11,2,10+,6,True,-17.60143063636366,-193.61573700000008,1,0,1068.0786859330656,2284.4338196917633,0.46754634637530473,-1068.0786859330656,4,3,-1,-1,-213.61573718661202,20.0,3.0,0.0,-3.0
52000110,B,11,2,10+,6,True,20.372792727272667,224.1007199999999,1,0,-810.5035972430233,2284.4338196917633,-0.35479408081621894,810.5035972430233,11,10,-1,-1,162.1007194486051,55.0,10.0,0.0,-3.0
52000108,A,16,10,10+,6,True,8.54244006250002,136.67904100000032,2,0,-583.3952025397393,2557.375594161511,-0.22812261283466953,583.3952025397393,5,1,-2,-2,116.67904050794823,25.0,1.0,0.0,-6.0
52000108,B,16,10,10+,6,True,40.790238500000015,652.6438160000002,2,0,-3038.219076053865,2557.375594161511,-1.1880222377151484,3038.219076053865,10,1,-2,-2,607.6438152107721,50.0,1.0,0.0,-6.0
