seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000102,E11,10,9,True,True,284.1003886,0.0,5,0,0,6,1045.5019429317078,1.932390400001168,bdd112089876194a0b176a00dbf25e3883ff66211ed5a13b8123119094b328c9,697490cf0dda045d7c5edf5f10d2329fc4078dc1e13847b62e189242c3766331,10455.019429317079,118,110,10,10,0,0,2841.003886
52000102,A,10,9,True,True,266.712136,0.0,7,48,0,6,952.0606800737905,0.9074480999988737,bdd112089876194a0b176a00dbf25e3883ff66211ed5a13b8123119094b328c9,9e7ad8ece58e454312ec0774d51179bb645f0aa75e80572cd48122f5b084b1dc,9520.606800737905,120,113,10,10,0,0,2667.12136
52000102,B,10,9,True,True,269.4232241,0.0,8,45,0,6,975.1161204224165,0.8920162000013079,bdd112089876194a0b176a00dbf25e3883ff66211ed5a13b8123119094b328c9,5724648efd74b23d778359ab0d289a08925cfcce8bfc2d108998791e1d5560ce,9751.161204224165,117,109,10,10,0,0,2694.232241
52000103,E11,11,8,True,True,298.17608754545455,69.99999999999997,4,0,0,6,1133.1531651685195,2.1680723000008584,d054fbfe7b70bc12fa75b5aaa87b27c0d2630aeb31c4754ee311d1fa7aec57de,d2b016696cdfb06a0408ba3ebd6f3a1c8555f225e89be88bdb8ff513ce5df636,12464.684816853714,123,111,13,11,2,0,3279.936963
52000103,A,11,8,True,True,300.567792,0.0,11,49,0,6,1151.0207783308397,0.7846368999998958,d054fbfe7b70bc12fa75b5aaa87b27c0d2630aeb31c4754ee311d1fa7aec57de,10f0d0f38859403190fa675c15f2b5bb0271be9ed79ed8c9d0649a1222b63100,12661.228561639236,121,114,11,11,0,0,3306.245712
52000103,B,11,8,True,True,377.4212991818182,0.0,17,76,0,6,1467.561041233427,1.5634242000014638,d054fbfe7b70bc12fa75b5aaa87b27c0d2630aeb31c4754ee311d1fa7aec57de,b704015f69a71e8a76d98d4439acd792ecd6b3959745abefb1d610462c45b23c,16143.171453567697,148,128,11,11,0,0,4151.634291
52000101,E11,16,6,True,True,246.5737858125,0.0,8,0,0,6,993.4939290355571,2.865079199998945,7553eb7f66c2e3513da37b23fc23b06515fa77523526e8076ff55f3c0abec158,6a21073f56890bf80f78ded9e41f24a45ceba542219e77a04291c832034f6418,15895.902864568914,117,101,16,16,0,0,3945.180573
52000101,A,16,6,True,True,225.1931198125,0.0,14,72,0,6,874.403098933863,1.0696994000009,7553eb7f66c2e3513da37b23fc23b06515fa77523526e8076ff55f3c0abec158,f4bba4846c42840286a139ccb15312330675e303fb7b42b7cf715532e6cd831d,13990.449582941808,123,110,16,16,0,0,3603.089917
52000101,B,16,6,True,True,210.677707125,0.0,20,79,0,6,783.3885357140691,1.5120780999986891,7553eb7f66c2e3513da37b23fc23b06515fa77523526e8076ff55f3c0abec158,4c2b686f3fb31747044e8458ca2dd1b6d73e36e01db49880a8415151f42ca7c9,12534.216571425106,134,114,16,16,0,0,3370.843314
52000100,E11,15,9,True,True,218.025144,70.00000000000006,3,0,0,6,827.7923865077763,2.472840399999768,e42916c836afa18f0951015f6ee7024a35a2c4c071dbf6c9c1703ca8597242e0,6a0c9492ab19731c85d003ec2c478e5671ac7a156c05019d4370ba0154cae14b,12416.885797616646,120,106,17,15,2,0,3270.37716
52000100,A,15,9,True,True,213.59079806666665,0.0,9,72,0,6,793.2873238069136,1.2095110999998724,e42916c836afa18f0951015f6ee7024a35a2c4c071dbf6c9c1703ca8597242e0,886cd68a0b6a3626363d07f1a3fbb5e0db8adff71cb4fb728bf90f6f91d5b816,11899.309857103704,128,109,15,15,0,0,3203.861971
52000100,B,15,9,True,True,226.75881913333333,0.0,14,91,0,6,833.7940957304018,1.8594329000006837,e42916c836afa18f0951015f6ee7024a35a2c4c071dbf6c9c1703ca8597242e0,2409bc740d55e546e563173138e24513a3e738df1c24c97645ea9694f7c1afcc,12506.911435956026,141,120,15,15,0,0,3401.382287
52000104,E11,12,5,True,True,294.1781201666667,0.0,7,0,0,6,1178.3906009856562,2.1607473000003665,886f289488bf884fc657771bd6dc99e9656f483fe7d532619d8db32b235368f6,d2602d3a3e88402f1f576ea6b769c89df96200d39aabed264abb935955857938,14140.687211827875,109,97,12,12,0,0,3530.137442
52000104,A,12,5,True,True,267.69525633333336,0.0,13,45,0,6,1026.3929482896385,0.6022682999991957,886f289488bf884fc657771bd6dc99e9656f483fe7d532619d8db32b235368f6,643360f502eed073e9819ecab037dc7da1b25c26c2b550d693254ddb48c68100,12316.715379475661,117,104,12,12,0,0,3212.343076
52000104,B,12,5,True,True,280.16203383333334,0.0,15,53,0,6,1069.976835740148,0.9857178000002023,886f289488bf884fc657771bd6dc99e9656f483fe7d532619d8db32b235368f6,a2d5ad54ab16eb292b349023de1f1479252752ebe217fad8f616ac467be850d6,12839.722028881777,125,109,12,12,0,0,3361.944406
52000105,E11,13,6,True,True,263.3448337692308,35.00000000000004,5,0,0,6,1027.4933995347017,2.6595790999999736,5080bde17be9b1c414243c57bcc2f64cb245c51dcd9ee54f2e56080aa0adf62c,554a5bc0cb49ecf97d1bca569b2caaaa27c029687413806d86e084be5990371f,13357.414193951123,115,109,14,13,1,0,3423.482839
