strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
A,N,10,3,3,1.0,-14.249876099999938,-13.095238200000022,-12.966945100000032,52000116,0.43649227041309097,3,30,True,True,0,qualified_runs_only,3,308.5898433,308.5898433,311.3121764,326.5480072,328.45248605,329.97606913,330.3569649,330.3569649,1,11727.825498282626,116.66666666666667,106,0.3333333333333333,1172.7825498282625,11.666666666666645,4.666666666666667,1.932390400001168,0,0,3,30,True,True,0,qualified_runs_only,3,293.7214853666667,293.7214853666667,298.34523129999997,312.55471730000005,314.33090305,315.75185165000005,316.10708880000004,316.10708880000004,1,10901.074267797907,119.66666666666667,108.66666666666667,0,1090.1074267797908,0.0,8.666666666666666,0.9074480999988737,0,0
A,N,11,3,3,0.6666666666666666,-9.594048181818152,1.1931291909090866,2.3917044545454473,52000103,0.25866320640536816,3,33,True,True,0,qualified_runs_only,3,306.7679855454545,306.76798554545456,310.1360445454545,311.6206685454546,311.80624654545454,311.95470894545457,311.99182454545456,311.99182454545456,1,12972.239206629905,121.66666666666667,110.66666666666667,2,1179.2944733299914,70.00000000000001,4.333333333333333,2.1680723000008584,0,0,3,33,True,True,0,qualified_runs_only,3,298.50006075757574,298.50006075757574,300.5419963636364,300.56263287272725,300.56521243636365,300.5672760872727,300.567792,300.567792,1,12484.170009320409,123.66666666666667,113.33333333333333,0,1134.9245463018556,0.0,10,0.7846368999998958,0,0
A,N,12,3,3,0.3333333333333333,8.99436808333337,14.801687233333336,15.446944916666666,52000111,0.14851090939053302,3,36,True,True,0,qualified_runs_only,3,285.81782352777776,285.81782352777776,291.19567283333333,293.5816307,293.8798754333334,294.11847122000006,294.1781201666667,294.1781201666667,1,13395.736079082484,117.33333333333333,103,0.3333333333333333,1116.3113399235403,11.66666666666667,5.666666666666667,2.1607473000003665,0,0,3,36,True,True,0,qualified_runs_only,3,285.1373065833334,285.1373065833333,281.0740456666667,301.52890333333335,304.0857605416667,306.13124630833335,306.64261775,306.64261775,1,13103.238395104665,126.33333333333333,109.33333333333333,0,1091.9365329253887,0.0,12.333333333333334,1.0773956000011822,0,0
A,N,13,3,3,0.6666666666666666,-7.509586307692302,11.484204146153836,13.594625307692297,52000119,0.3301133969811069,3,39,True,True,0,qualified_runs_only,3,262.2401446923077,262.2401446923077,263.3448337692308,284.2332401076923,286.8442909,288.93313153384616,289.4553416923077,289.4553416923077,1,13515.609404903566,107.33333333333333,98.33333333333333,2,1039.6622619156587,70.00000000000003,4.666666666666667,3.319854299999861,0,0,3,39,True,True,0,qualified_runs_only,3,254.93222582051283,254.93222582051283,255.83524746153847,260.32428635384616,260.8854162153846,261.3343201046154,261.4465460769231,261.4465460769231,1,12645.594678405789,121.66666666666667,111.66666666666667,0,972.7380521850607,0.0,10.333333333333334,0.9160355000003619,0,0
A,N,14,2,2,1.0,-13.601308464285694,-9.298946375000009,-8.820906142857154,52000113,0.5343285536833516,2,28,True,True,0,qualified_runs_only,2,257.9470687857143,257.9470687857143,257.9470687857143,279.75017169999995,282.4755595642857,284.65586985571423,285.2009474285714,285.2009474285714,1,14331.294815925092,112.5,103.5,3,1023.6639154232208,105.00000000000001,6,2.272994299999482,0,0,2,28,True,True,0,qualified_runs_only,2,244.34576032142857,244.3457603214286,244.3457603214286,262.32454137857144,264.5718890107143,266.3697671164286,266.81923664285716,266.81923664285716,1,12929.203222724242,129.5,117.5,0,923.5145159088744,0.0,13.5,1.0592147999996087,0,0
A,N,15,3,3,0.6666666666666666,-4.434345933333361,3.3753932666666477,4.24314206666665,52000107,0.27210224902329905,3,45,True,True,0,qualified_runs_only,3,226.23352224444446,226.23352224444446,218.025144,237.85855888,240.33773574,242.321077228,242.8169126,242.8169126,1,13219.180833383993,113.66666666666667,101.33333333333333,1.6666666666666667,881.2787222255995,58.33333333333334,4.666666666666667,2.7371235999999044,0,0,3,45,True,True,0,qualified_runs_only,3,221.45196784444443,221.45196784444443,222.1016522,227.35109305333333,228.00727315999998,228.53221724533333,228.66345326666666,228.66345326666666,1,12638.897588916405,121.66666666666667,110.66666666666667,0,842.593172594427,0.0,11.333333333333334,1.3032211000008829,0,0
A,N,16,3,3,0.6666666666666666,-18.21615456250001,5.866580600000017,8.54244006250002,52000108,0.26189537210064384,3,48,True,True,0,qualified_runs_only,3,232.91327997916665,232.91327997916667,243.9522039375,246.0494694375,246.311627625,246.521354175,246.5737858125,246.5737858125,1,14838.062398503345,114.66666666666667,102.66666666666667,1,927.3788999064591,35.0,6,3.1813148999990517,0,0,3,48,True,True,0,qualified_runs_only,3,222.56181981249998,222.5618198125,225.1931198125,225.6274634625,225.68175641874998,225.72519078374998,225.736049375,225.736049375,1,13846.612250958486,121,106.66666666666667,0,865.4132656849055,0.0,12.666666666666666,1.5078042000004643,0,0
A,k0,10,1,1,0.0,8.54244006250002,8.54244006250002,8.54244006250002,52000108,-0.22812261283466953,1,16,True,True,0,qualified_runs_only,1,208.2138501875,208.2138501875,208.2138501875,208.2138501875,208.2138501875,208.2138501875,208.2138501875,208.2138501875,1,13157.10801744837,104,94,2,822.3192510905232,69.99999999999996,4,3.1813148999990517,0,0,1,16,True,True,0,qualified_runs_only,1,216.75629025,216.75629025,216.75629025,216.75629025,216.75629025,216.75629025,216.75629025,216.75629025,1,13740.50321998811,109,95,0,858.7814512492569,0.0,10,0.9389188000004651,0,0
A,k0,2,1,1,1.0,-17.60143063636366,-17.60143063636366,-17.60143063636366,52000110,0.46754634637530473,1,11,True,True,0,qualified_runs_only,1,311.99182454545456,311.99182454545456,311.99182454545456,311.99182454545456,311.99182454545456,311.99182454545456,311.99182454545456,311.99182454545456,1,13229.550350668917,123,113,1,1202.686395515356,35.00000000000001,5,1.5372127999999066,0,0,1,11,True,True,0,qualified_runs_only,1,294.3903939090909,294.3903939090909,294.3903939090909,294.3903939090909,294.3903939090909,294.3903939090909,294.3903939090909,294.3903939090909,1,12161.471664735851,127,116,0,1105.5883331578045,0.0,8,0.6450150000000576,0,0
A,k0,4,2,2,1.0,-16.315793442857085,-14.456467834285652,-14.249876099999938,52000109,0.48275660443723506,2,24,True,True,0,qualified_runs_only,2,304.0159547083333,307.77895616428566,307.77895616428566,325.8413631528571,328.0991640264285,329.9054047252857,330.3569649,330.3569649,1,14513.457282916585,115.5,103.5,1.5,1209.454773576382,52.49999999999997,5.5,1.8811212999989948,0,0,2,24,True,True,0,qualified_runs_only,2,287.35584170833334,291.4631627214286,291.4631627214286,311.17830358428574,313.6426961921429,315.61421027842863,316.10708880000004,316.10708880000004,1,13148.850502070942,128.5,116,0,1095.737541839245,0.0,13,1.0166347000013047,0,0
