seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000103,B,11,8,10+,6,True,79.24521163636365,871.6973280000002,2,0,-3678.486636713982,1638.6666527985635,-2.2448047200031525,3678.486636713982,25,17,-2,-2,735.6973273427966,125.0,17.0,0.0,-6.0
52000119,B,13,7,10+,6,True,72.02752869230767,936.3578729999999,2,0,-2491.789363756836,1504.7630767612172,-1.6559346798434533,2491.789363756836,74,74,-2,-2,498.3578727513659,370.0,74.0,0.0,-6.0
52000113,B,14,8,10+,6,True,52.12848164285711,729.7987429999998,4,0,-2888.993715202034,1835.066516613002,-1.5743264285232965,2888.993715202034,29,19,-4,-4,577.7987430404069,145.0,19.0,0.0,-12.0
52000109,B,10,4,10+,6,True,41.728314100000034,417.2831409999999,1,0,-1981.415707079408,2240.410665174393,-0.8843984443919682,1981.415707079408,5,-1,-1,-1,396.28314141588226,25.0,-1.0,0.0,-3.0
52000108,B,16,10,10+,6,True,40.790238500000015,652.6438160000002,2,0,-3038.219076053865,2557.375594161511,-1.1880222377151484,3038.219076053865,10,1,-2,-2,607.6438152107721,50.0,1.0,0.0,-6.0
52000118,B,12,5,10+,6,True,33.680837,404.17004399999996,1,0,-1955.8502179578845,1877.000703339012,-1.042008249905611,1955.8502179578845,4,-4,-1,-1,391.17004359157636,20.0,-4.0,0.0,-3.0
52000107,B,15,8,10+,6,True,21.692818666666682,325.39228,2,0,-1256.96140003461,2312.357048773327,-0.5435844783146316,1256.96140003461,14,10,-2,-2,251.39228000692265,70.0,10.0,0.0,-6.0
52000110,B,11,2,10+,6,True,20.372792727272667,224.1007199999999,1,0,-810.5035972430233,2284.4338196917633,-0.35479408081621894,810.5035972430233,11,10,-1,-1,162.1007194486051,55.0,10.0,0.0,-3.0
52000111,A,12,5,10+,6,True,15.446944916666666,185.363339,0,0,-476.816695247584,2062.9575108618337,-0.23113258161501646,476.816695247584,15,15,0,0,95.36333904951698,75.0,15.0,0.0,0.0
52000119,A,13,7,10+,6,True,13.594625307692297,176.73012900000003,2,0,-303.6506441261754,1504.7630767612172,-0.2017929924089705,303.6506441261754,20,22,-2,-2,60.73012882523426,100.0,22.0,0.0,-6.0
