seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000201,A,11,5,10+,6,True,2.8695621818181962,31.565184000000045,0,0,57.17407908155292,2111.029914904322,0.027083500180595126,-57.17407908155292,8,3,0,0,-11.434815816310675,40.0,3.0,0.0,0.0
52000201,C,11,5,10+,6,True,-30.384385909090895,-334.2282449999998,0,0,1671.1412266648204,2111.029914904322,0.7916236595541382,-1671.1412266648204,1,-5,0,0,-334.2282453329617,5.0,-5.0,0.0,0.0
52000201,D,11,5,10+,6,True,26.939476090909068,296.33423700000003,0,0,-1271.6711820005057,2111.029914904322,-0.6023937287777097,1271.6711820005057,8,2,0,0,254.33423640010142,40.0,2.0,0.0,0.0
52000200,A,10,7,10+,6,True,-12.927360399999998,-129.27360399999998,0,0,841.3680170516764,2423.147233119651,0.34722116987025486,-841.3680170516764,7,4,0,0,-168.27360341033545,35.0,4.0,0.0,0.0
52000200,C,10,7,10+,6,True,-10.334515199999998,-103.34515199999987,0,0,811.7257591529287,2423.147233119651,0.33498821204846163,-811.7257591529287,10,9,0,0,-162.34515183058465,50.0,9.0,0.0,0.0
52000200,D,10,7,10+,6,True,-10.97655370000001,-109.76553699999977,0,0,908.8276852334238,2423.147233119651,0.37506086003010425,-908.8276852334238,12,12,0,0,-181.7655370466855,60.0,12.0,0.0,0.0
52000203,A,13,7,10+,6,True,5.123719153846139,66.60834900000009,1,0,-348.04174221156063,3766.2452249158396,-0.09241080211906222,348.04174221156063,0,0,-1,-1,69.60834844231113,0.0,0.0,0.0,-3.0
52000203,C,13,7,10+,6,True,-16.112624538461603,-209.4641190000002,1,0,1337.3205952203734,3766.2452249158396,0.35508059495787536,-1337.3205952203734,10,11,-1,-1,-267.46411904407523,50.0,11.0,0.0,-3.0
52000203,D,13,7,10+,6,True,-16.107195230769264,-209.3935379999998,1,0,1171.9676929078287,3766.2452249158396,0.31117668205845983,-1171.9676929078287,5,3,-1,-1,-234.39353858156755,25.0,3.0,0.0,-3.0
52000202,A,12,8,10+,6,True,-0.87183275000001,-10.461992999999893,2,0,197.3099644673639,2157.305291417357,0.09146130835183304,-197.3099644673639,6,5,-2,-2,-39.4619928934726,30.0,5.0,0.0,-6.0
52000202,C,12,8,10+,6,True,9.71545649999996,116.58547799999997,2,0,-817.9273886655537,2157.305291417357,-0.3791430874061282,817.9273886655537,-8,-1,-2,-2,163.5854777331101,-40.0,-1.0,0.0,-6.0
52000202,D,12,8,10+,6,True,-5.024887250000006,-60.298647000000074,2,0,-43.506766259855794,2157.305291417357,-0.020167180988682275,43.506766259855794,-12,-3,-2,-2,8.701353251969977,-60.0,-3.0,0.0,-6.0
52000207,A,10,3,10+,6,True,-17.396704,-173.96704,0,0,1039.8351991905856,3367.8784517098065,0.3087508097754185,-1039.8351991905856,6,4,0,0,-207.9670398381163,30.0,4.0,0.0,0.0
52000207,C,10,3,10+,6,True,-34.89256119999999,-348.925612,0,0,1889.6280608046272,3367.8784517098065,0.5610737109129635,-1889.6280608046272,5,4,0,0,-377.92561216092645,25.0,4.0,0.0,0.0
52000207,D,10,3,10+,6,True,-12.801350499999955,-128.0135049999999,0,0,910.0675256749328,3367.8784517098065,0.2702198249503064,-910.0675256749328,9,9,0,0,-182.0135051349862,45.0,9.0,0.0,0.0
52000205,A,15,6,10+,6,True,4.599809266666654,68.99713900000006,4,0,-594.9856954404695,2159.3570466043475,-0.2755383582238528,594.9856954404695,-7,-3,-4,-4,118.9971390880919,-35.0,-3.0,0.0,-12.0
52000205,C,15,6,10+,6,True,-9.903953866666654,-148.55930799999987,4,0,-152.20345836678644,2159.3570466043475,-0.07048554504042343,152.20345836678644,-28,-27,-4,-4,30.44069167335647,-140.0,-27.0,0.0,-12.0
52000205,D,15,6,10+,6,True,-9.903953866666654,-148.55930799999987,4,0,-152.20345836678644,2159.3570466043475,-0.07048554504042343,152.20345836678644,-28,-27,-4,-4,30.44069167335647,-140.0,-27.0,0.0,-12.0
52000206,A,16,4,10+,6,True,-6.800754312500004,-108.81206900000006,3,0,739.06034071672,2337.9413808740537,0.31611585592467584,-739.06034071672,8,8,-3,-3,-147.81206814334337,40.0,8.0,0.0,-9.0
52000206,C,16,4,10+,6,True,34.2312714375,547.700343,3,0,-2303.501719431386,2337.9413808740537,-0.9852692365495527,2303.501719431386,16,16,-3,-3,460.70034388627846,80.0,16.0,0.0,-9.0
52000206,D,16,4,10+,6,True,34.2312714375,547.700343,3,0,-2303.501719431386,2337.9413808740537,-0.9852692365495527,2303.501719431386,16,16,-3,-3,460.70034388627846,80.0,16.0,0.0,-9.0
52000204,A,14,8,10+,6,True,-6.217341928571443,-87.04278699999986,0,0,650.2139368229036,2499.5649352263044,0.26013084423591293,-650.2139368229036,8,3,0,0,-130.04278736457945,40.0,3.0,0.0,0.0
52000204,C,14,8,10+,6,True,-2.6363955000000203,-36.909537,0,0,369.5476835455902,2499.5649352263044,0.1478448022444083,-369.5476835455902,6,7,0,0,-73.90953670911858,30.0,7.0,0.0,0.0
52000204,D,14,8,10+,6,True,-13.54249285714289,-189.59490000000005,0,0,1232.9744988362836,2499.5649352263044,0.4932756422767841,-1232.9744988362836,9,12,0,0,-246.59489976725536,45.0,12.0,0.0,0.0
