seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000201,E11,11,5,True,True,332.1454748181818,0.0,5,0,0,6,1325.727374137282,1.2911063000010472,6908529c7fe3b6082bf196b9d9c2e81b8b7d9de89867b001f26ba793de232a83,7e9cf653208b6369b98e11e1af6255dc44da05552c4c45c581935d8019e78097,14583.001115510102,115,107,11,11,0,0,3653.600223
52000201,A,11,5,True,True,335.015037,0.0,11,41,0,6,1320.5297305844135,0.6072048000005452,6908529c7fe3b6082bf196b9d9c2e81b8b7d9de89867b001f26ba793de232a83,eb2d0e994050583282557220fa03033c5cda594a6f7c78588c9869b3f50cad8a,14525.827036428549,123,110,11,11,0,0,3685.165407
52000201,C,11,5,True,True,301.7610889090909,0.0,1,39,0,6,1173.8054444404802,0.5324149999996735,6908529c7fe3b6082bf196b9d9c2e81b8b7d9de89867b001f26ba793de232a83,3c872e6d799c84130d462d5d98526276f3835ab44dbe33ff68eea87487514b10,12911.859888845282,116,102,11,11,0,0,3319.371978
52000201,D,11,5,True,True,359.0849509090909,0.0,4,41,0,6,1441.3338452282371,1.2039015000009385,6908529c7fe3b6082bf196b9d9c2e81b8b7d9de89867b001f26ba793de232a83,c711e381dea09eab1327021dc246857a5a15bffbce5ed13d226d47ccd8e62b26,15854.672297510608,123,109,11,11,0,0,3949.93446
52000200,E11,10,7,True,True,310.0722417,0.0,3,0,0,6,1199.36120829754,1.6802688999996462,95ff8969675a1e278712e523a3f5fae156097a67dddd3122487536e5dd493c43,53d95b564a6158ceaff69950efd73a0209d9115e640f861972bef7a571f1d146,11993.6120829754,110,102,10,10,0,0,3100.722417
52000200,A,10,7,True,True,297.1448813,0.0,7,39,0,6,1115.2244065923724,0.5624982000008458,95ff8969675a1e278712e523a3f5fae156097a67dddd3122487536e5dd493c43,a617a9cb89c951db82bab8db9dc9b847142067db76cba93ad25f7810759cc47b,11152.244065923724,117,106,10,10,0,0,2971.448813
52000200,C,10,7,True,True,299.7377265,0.0,1,42,0,6,1118.188632382247,0.6697731000003841,95ff8969675a1e278712e523a3f5fae156097a67dddd3122487536e5dd493c43,3454be0c9bf5c6e2eb6c5c5f28cca7e550d0280c5bfa103bb76f6df51c6d6919,11181.886323822471,120,111,10,10,0,0,2997.377265
52000200,D,10,7,True,True,299.095688,0.0,1,41,0,6,1108.4784397741976,1.0837642999995296,95ff8969675a1e278712e523a3f5fae156097a67dddd3122487536e5dd493c43,2cc9be2d1d5583071bbfbb7c3d1f43b3f5d37a58556b227fc430f98e140b3b02,11084.784397741976,122,114,10,10,0,0,2990.95688
52000203,E11,13,7,True,True,279.0729226923077,35.00000000000002,4,0,0,6,1128.0569213126428,1.8075728000003437,785cd21491d5dc8835a9a441d9d0f04f1d82ee0bab5e5f9a527e8da20814ae29,777333a77c0194e4c9ddbe457dc27e3fe3eec95178f239a4979e3a15014ab40d,14664.739977064357,106,97,14,13,1,0,3627.947995
52000203,A,13,7,True,True,284.19664184615385,0.0,9,42,0,6,1154.8293630212245,0.5640791000005265,785cd21491d5dc8835a9a441d9d0f04f1d82ee0bab5e5f9a527e8da20814ae29,661445736f9f6a0c0fbbe0f9d4f2254e49d1af340397d6d107d1acc4a80969b3,15012.781719275918,106,97,13,13,0,0,3694.556344
52000203,C,13,7,True,True,262.9602981538461,0.0,1,49,0,6,1025.186106295691,0.6573879000006855,785cd21491d5dc8835a9a441d9d0f04f1d82ee0bab5e5f9a527e8da20814ae29,816497fd322193efef7a0e4a060fdbaedf92edf4b090d5fc0ffc5e3188bd6968,13327.419381843984,116,108,13,13,0,0,3418.483876
52000203,D,13,7,True,True,262.96572746153845,0.0,2,51,0,6,1037.905560319733,2.3984044999997423,785cd21491d5dc8835a9a441d9d0f04f1d82ee0bab5e5f9a527e8da20814ae29,f8edfc48d29bb44891388a0caa40fece293105151701d804565151ffadbd292c,13492.772284156528,111,100,13,13,0,0,3418.554457
52000202,E11,12,8,True,True,287.2312205,70.00000000000001,5,0,0,6,1116.989435843574,1.8792154000002483,23d50dce3aee97b6afa6f87b8ee8c8760b394849bfdb3cd1fbe1d1e3e4ef2f04,38514b1f2744e2b8279de1c1df447e8ac9a24f98fc5a01ae3c893bb77da8bde8,13403.873230122888,120,100,14,12,2,0,3446.774646
52000202,A,12,8,True,True,286.35938775,0.0,11,54,0,6,1100.546938804627,0.8492645000005723,23d50dce3aee97b6afa6f87b8ee8c8760b394849bfdb3cd1fbe1d1e3e4ef2f04,5919a11299341368eb887ada1f9ed3d0e7c519725901d2f5587b7528bcace3a2,13206.563265655524,126,105,12,12,0,0,3436.312653
52000202,C,12,8,True,True,296.94667699999997,0.0,3,46,0,6,1185.1500515657035,0.602850799999942,23d50dce3aee97b6afa6f87b8ee8c8760b394849bfdb3cd1fbe1d1e3e4ef2f04,7fb80f29eb3d7f5fe90b470eb18db63fea8ee4509d35e45874bd6833b85c1c3a,14221.800618788442,112,99,12,12,0,0,3563.360124
52000202,D,12,8,True,True,282.20633325,0.0,2,45,0,6,1120.614999698562,2.56506520000039,23d50dce3aee97b6afa6f87b8ee8c8760b394849bfdb3cd1fbe1d1e3e4ef2f04,02d86904b5e3dc353949d72ccd420d650f8546931ffcff97fbcfbde412f48532,13447.379996382744,108,97,12,12,0,0,3386.475999
52000207,E11,10,3,True,True,366.9815888,0.0,6,0,0,6,1457.4079438774438,1.2829970999991929,fd456437041357f8cbe40b80b6ed09038733822c908f52fd1c5bf7a240947587,1c58a89bdccdaab827a8b707d440a04623c53f427e370648e794b9ae729836be,14574.079438774437,119,110,10,10,0,0,3669.815888
52000207,A,10,3,True,True,349.5848848,0.0,13,35,0,6,1353.4244239583852,0.6045814999997674,fd456437041357f8cbe40b80b6ed09038733822c908f52fd1c5bf7a240947587,4b9383abe921dabdb986b1a59b8b821b1c8926eb829a81b13e9672acfd8bc982,13534.244239583852,125,114,10,10,0,0,3495.848848
52000207,C,10,3,True,True,332.0890276,0.0,3,34,0,6,1268.445137796981,0.5701872999998159,fd456437041357f8cbe40b80b6ed09038733822c908f52fd1c5bf7a240947587,7bf652d6a91a4893639050c9ea657f2cf852c178ff704829113319ad43c5aecb,12684.45137796981,124,114,10,10,0,0,3320.890276
52000207,D,10,3,True,True,354.18023830000004,0.0,3,35,0,6,1366.4011913099505,0.7318539999996574,fd456437041357f8cbe40b80b6ed09038733822c908f52fd1c5bf7a240947587,3be93ba176f5499323d2b9e07e48351ce61f03608348a963004de5740626b0cc,13664.011913099504,128,119,10,10,0,0,3541.802383
52000205,E11,15,6,True,True,242.16929986666668,139.99999999999997,4,0,0,6,937.8464994149548,2.5996259999992617,103622c8e41375f5d1fb15fb87a24c901f5b8ebc6f481ee53b9c35e3c01ad2b7,15f9f3d3d7518c6fcd85700e3923000260276f8afb2e7d19f3f3f3b2361fa6a0,14067.697491224322,124,112,19,15,4,0,3632.539498
