strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
A,N,10,3,3,1.0,-17.396704,-13.374294759999998,-12.927360399999998,52000200,0.4184468857080981,3,30,True,True,0,qualified_runs_only,3,339.2339117,339.2339117,340.6479046,361.71485196,364.34822038,366.454915116,366.9815888,366.9815888,1,13221.695584360064,117.66666666666667,109.66666666666667,0,1322.1695584360064,0.0,4.333333333333333,2.55973559999984,0,0,3,30,True,True,0,qualified_runs_only,3,320.9154655333333,320.91546553333336,316.0166305,342.87123394,346.22805937,348.913519714,349.5848848,349.5848848,1,12124.106610162453,124,114.33333333333333,0,1212.4106610162453,0.0,10,0.7891311000003043,0,0
A,N,11,3,3,0.6666666666666666,-15.467237545454509,1.035882209090925,2.8695621818181962,52000201,0.29404137660827034,3,33,True,True,0,qualified_runs_only,3,320.7968906060606,320.7968906060606,320.9675910909091,329.9098980727273,331.02768644545455,331.92191714363634,332.1454748181818,332.1454748181818,1,13893.828983707137,117.33333333333333,107.33333333333333,0.3333333333333333,1263.0753621551944,11.666666666666687,4.333333333333333,2.6714365999996517,0,0,3,33,True,True,0,qualified_runs_only,3,310.585295,310.58529500000003,305.5003535454546,329.1121003090909,332.06356865454546,334.4247433309091,335.015037,335.015037,1,13182.191224347664,123,110,0,1198.381020395242,0.0,9,0.759849199999735,0,0
A,N,12,3,3,0.6666666666666666,-0.87183275000001,7.3449444999999844,8.257919749999985,52000216,0.11862384177482625,3,36,True,True,0,qualified_runs_only,3,273.8376599722222,273.83765997222224,269.8083654166667,283.74664948333333,285.48893499166667,286.88276339833334,287.2312205,287.2312205,1,12493.59293261065,123,110.33333333333333,0.6666666666666666,1041.132744384221,23.33333333333334,4.666666666666667,1.8850227000002633,0,0,3,36,True,True,0,qualified_runs_only,3,271.7754282777778,271.7754282777778,278.06628516666666,284.70076723333335,285.53007749166665,286.1935256983333,286.35938775,286.35938775,1,12271.525697103933,127,112,0,1022.6271414253276,0.0,9.333333333333334,1.2720704000003025,0,0
A,N,13,3,3,0.6666666666666666,-17.21103276923077,2.890243961538445,5.123719153846139,52000203,0.24708304443866663,3,39,True,True,0,qualified_runs_only,3,284.4813217435898,284.4813217435898,284.9573535384615,288.5224219076923,288.9680554538462,289.3245622907693,289.41368900000003,289.41368900000003,1,14861.285914804017,111.66666666666667,99.66666666666667,1,1143.175839600309,35.00000000000004,4.666666666666667,2.991762600000584,0,0,3,39,True,True,0,qualified_runs_only,3,273.6561194615385,273.6561194615385,269.0253957692308,281.16239263076926,282.67951723846153,283.8932169246154,284.19664184615385,284.19664184615385,1,14094.31443128322,114.66666666666667,100.33333333333333,0,1084.1780331756324,0.0,10.666666666666666,0.9923956000002363,0,0
A,N,14,3,3,1.0,-11.437880857142858,-6.739395821428585,-6.217341928571443,52000204,0.43148575478445833,3,42,True,True,0,qualified_runs_only,3,260.5560909047619,260.5560909047619,258.49363392857146,283.46861181428574,286.59048405,289.0879818385714,289.7123562857143,289.7123562857143,1,14618.926362807822,110,99,1.6666666666666667,1044.2090259148445,58.333333333333336,5,3.9225908999997046,0,0,3,42,True,True,0,qualified_runs_only,3,247.27359004761905,247.27359004761905,252.276292,264.4713196,265.99569805,267.21520081,267.5200765,267.5200765,1,13550.817969859685,116,101.66666666666667,0,967.9155692756917,0.0,11,1.107081800000742,0,0
A,N,15,3,3,0.6666666666666666,-1.807642333333348,3.959064106666653,4.599809266666654,52000205,0.18045035606411408,3,45,True,True,0,qualified_runs_only,3,245.5724904,245.57249040000002,242.16929986666668,254.20335496,255.70761184666668,256.911017356,257.21186873333335,257.21186873333335,1,14607.936780591102,115.66666666666667,104.66666666666667,1.3333333333333333,973.8624520394068,46.66666666666666,5.666666666666667,2.60566370000015,0,0,3,45,True,True,0,qualified_runs_only,3,242.02738444444444,242.02738444444444,243.78438393333332,246.17216409333332,246.47063661333334,246.70941462933334,246.76910913333333,246.76910913333333,1,14177.053834538605,122,110,0,945.1369223025738,0.0,12,1.9268076999996993,0,0
A,N,16,2,2,1.0,-5.083795781249989,-3.5385331031249763,-3.366837249999975,52000213,0.29078085653351476,2,32,True,True,0,qualified_runs_only,2,222.10547465625,222.10547465625,222.10547465625,224.61114578125,224.924354671875,225.174921784375,225.2375635625,225.2375635625,1,13808.437971561418,120.5,103.5,2,863.0273732225886,69.99999999999993,6.5,2.826931199999308,0,0,2,32,True,True,0,qualified_runs_only,2,217.02167887500002,217.02167887500002,217.02167887500002,220.90091682500002,221.38582156875,221.77374536375,221.8707263125,221.8707263125,1,13274.234310060277,125.5,110,0,829.6396443787673,0.0,13.5,1.5894322999993165,0,0
A,k0,3,1,1,1.0,-17.396704,-17.396704,-17.396704,52000207,0.3087508097754185,1,10,True,True,0,qualified_runs_only,1,366.9815888,366.9815888,366.9815888,366.9815888,366.9815888,366.9815888,366.9815888,366.9815888,1,14574.079438774437,119,110,0,1457.4079438774438,0.0,6,1.2829970999991929,0,0,1,10,True,True,0,qualified_runs_only,1,349.5848848,349.5848848,349.5848848,349.5848848,349.5848848,349.5848848,349.5848848,349.5848848,1,13534.244239583852,125,114,0,1353.4244239583852,0.0,13,0.6045814999997674,0,0
A,k0,4,2,2,1.0,-10.186768197916663,-7.13935570104167,-6.800754312500004,52000206,0.46525093669623263,2,28,True,True,0,qualified_runs_only,2,238.4733892857143,241.723389875,241.723389875,259.923393175,262.1983935875,264.01839391749996,264.473394,264.473394,1,12833.137249985537,118,107.5,1.5,916.6526607132527,52.49999999999993,4,2.386365399999704,0,0,2,28,True,True,0,qualified_runs_only,2,228.77033735714284,231.53662167708333,231.53662167708333,247.02781386875,248.96421289270833,250.513332111875,250.90061191666666,250.90061191666666,1,11938.92361591761,126.5,112.5,0,852.7802582798294,0.0,10,1.2720704000003025,0,0
A,k0,5,3,3,0.6666666666666666,-3.366837249999975,2.2459222386363784,2.8695621818181962,52000201,0.30185761765953595,3,40,True,True,0,qualified_runs_only,3,274.0461709,280.78013063971446,284.9573535384615,322.70785056223775,327.42666269020975,331.2017123925874,332.1454748181818,332.1454748181818,1,14379.74472753228,120.66666666666667,106,0.6666666666666666,1078.480854564921,23.333333333333353,5.666666666666667,2.826931199999308,0,0,3,40,True,True,0,qualified_runs_only,3,267.89497995,274.8773613605769,267.74632076923075,321.56129375384614,328.2881653769231,333.66966267538464,335.015037,335.015037,1,13814.665329560563,126.33333333333333,110.66666666666667,0,1036.0998997170423,0.0,12,1.5894322999993165,0,0
A,k0,6,5,5,0.6,-15.467237545454509,7.526297653333318,8.257919749999985,52000216,0.24391011702637141,5,62,True,True,0,qualified_runs_only,5,288.1183132096774,292.6611034519913,289.7123562857143,332.77577919636366,336.71184189818183,339.8606920596364,340.6479046,340.6479046,1,13984.335419546209,120,110.2,1.2,1127.7689854472749,42.0,4.6,2.5996259999992617,0,0,5,62,True,True,0,qualified_runs_only,5,279.1013439354839,282.77449096909095,278.06628516666666,311.81011971818185,313.9133751090909,315.5959794218182,316.0166305,316.0166305,1,13388.283324671744,122,111.2,0,1079.7002681186889,0.0,8.8,1.107081800000742,0,0
A,k0,7,7,7,0.8571428571428571,-12.927360399999998,3.044310707692288,5.123719153846139,52000203,0.3012531165955712,7,91,True,True,0,qualified_runs_only,7,270.1076544945055,273.69241616210456,279.0729226923077,309.59546022545453,309.83385096272724,310.02456355254543,310.0722417,310.0722417,1,13916.283256596877,111.85714285714286,101.28571428571429,0.8571428571428571,1070.4833274305288,30.000000000000018,4.857142857142857,2.991762600000584,0,0,7,91,True,True,0,qualified_runs_only,7,260.05514315384613,263.2778370303982,269.0253957692308,293.6022491927273,295.3735652463636,296.79061808927275,297.1448813,297.1448813,1,13115.0128764749,117.57142857142857,104.85714285714286,0,1008.8471443442232,0.0,10.857142857142858,1.9268076999996993,0,0
A,k0,8,2,2,1.0,-3.5445873392857266,-1.1391082089285822,-0.87183275000001,52000202,0.18199431378638656,2,26,True,True,0,qualified_runs_only,2,271.7571354230769,272.86242721428573,272.86242721428573,284.35746184285716,285.7943411714286,286.9438446342857,287.2312205,287.2312205,1,13996.71380225685,113.5,98,1,1076.6702924812962,35.00000000000001,5.5,3.9225908999997046,0,0,2,26,True,True,0,qualified_runs_only,2,268.0069515769231,269.317839875,269.317839875,282.951078175,284.6552329625,286.0185567925,286.35938775,286.35938775,1,13572.951851611717,120.5,102,0,1044.0732193547474,0.0,12,0.9992601000012655,0,0
