seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000213,D,16,5,10+,6,True,46.27201593749999,740.3522549999998,1,0,-3991.7612750201624,1336.3284308978855,-2.987110939739626,3991.7612750201624,-9,-10,-1,-1,798.3522550040334,-45.0,-10.0,0.0,-3.0
52000206,C,16,4,10+,6,True,34.2312714375,547.700343,3,0,-2303.501719431386,2337.9413808740537,-0.9852692365495527,2303.501719431386,16,16,-3,-3,460.70034388627846,80.0,16.0,0.0,-9.0
52000206,D,16,4,10+,6,True,34.2312714375,547.700343,3,0,-2303.501719431386,2337.9413808740537,-0.9852692365495527,2303.501719431386,16,16,-3,-3,460.70034388627846,80.0,16.0,0.0,-9.0
52000201,D,11,5,10+,6,True,26.939476090909068,296.33423700000003,0,0,-1271.6711820005057,2111.029914904322,-0.6023937287777097,1271.6711820005057,8,2,0,0,254.33423640010142,40.0,2.0,0.0,0.0
52000212,D,15,7,10+,6,True,23.91082126666663,358.662319,0,0,-1418.3115968457878,1597.8938268654092,-0.887613164904762,1418.3115968457878,13,10,0,0,283.66231936915756,65.0,10.0,0.0,0.0
52000217,D,13,5,10+,6,True,22.822424538461576,296.69151899999997,1,0,-1278.4575952439645,2168.660912082494,-0.589514749918328,1278.4575952439645,7,9,-1,-1,255.6915190487939,35.0,9.0,0.0,-3.0
52000218,C,14,7,10+,6,True,19.885886714285732,278.40241400000014,3,0,-1392.012069348326,1479.0814856365068,-0.9411327792730017,1392.012069348326,0,9,-3,-3,278.40241386966454,0.0,9.0,0.0,-9.0
52000215,D,11,7,10+,6,True,17.770251272727307,195.4727640000001,1,0,-1007.3638204752115,2568.555624760529,-0.39219077475463654,1007.3638204752115,-1,2,-1,-1,201.47276409504366,-5.0,2.0,0.0,-3.0
52000219,D,15,7,10+,6,True,15.865235866666637,237.97853799999984,0,0,-819.8926879396276,3406.208741418539,-0.24070535606639826,819.8926879396276,12,14,0,0,163.9785375879237,60.0,14.0,0.0,0.0
52000212,C,15,7,10+,6,True,13.882093400000002,208.231401,0,0,-696.1570058421221,1597.8938268654092,-0.43567162857608277,696.1570058421221,12,9,0,0,139.2314011684257,60.0,9.0,0.0,0.0
