seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000301,A,13,5,10+,6,True,-16.374360076923097,-212.86668100000043,0,0,1144.3334065027502,2040.2450977501067,0.5608803607785512,-1144.3334065027502,3,1,0,0,-228.86668130055023,15.0,1.0,0.0,0.0
52000301,E,13,5,10+,6,True,3.7141331538461486,48.28373099999999,0,0,-476.4186576304837,2040.2450977501067,-0.23351050231947987,476.4186576304837,-9,-2,0,0,95.28373152609811,-45.0,-2.0,0.0,0.0
52000301,F,13,5,10+,6,True,27.768925615384603,360.9960329999999,0,0,-1879.980163565382,2040.2450977501067,-0.921448195434236,1879.980163565382,-4,5,0,0,375.99603271307797,-20.0,5.0,0.0,0.0
52000302,A,14,8,10+,6,True,-18.426448285714287,-257.970276,4,0,1434.8513792329904,3096.0594720521276,0.4634443854148394,-1434.8513792329904,8,1,-4,-4,-286.97027584659645,40.0,1.0,0.0,-12.0
52000302,E,14,8,10+,6,True,-7.041796857142856,-98.5851560000001,4,0,197.92578072575634,3096.0594720521276,0.06392828771941107,-197.92578072575634,-8,-7,-4,-4,-39.58515614514954,-40.0,-7.0,0.0,-12.0
52000302,F,14,8,10+,6,True,7.5029427857143105,105.04119900000023,4,0,-750.2059943383938,3096.0594720521276,-0.24230994304548772,750.2059943383938,-6,-3,-4,-4,150.0411988676792,-30.0,-3.0,0.0,-12.0
52000300,A,12,3,10+,6,True,-3.615974250000022,-43.391691000000264,0,0,166.95845593227205,2445.0971132092345,0.06828295491017779,-166.95845593227205,-2,0,0,0,-33.39169118645532,-10.0,0.0,0.0,0.0
52000300,E,12,3,10+,6,True,3.598626500000023,43.18351799999982,0,0,-825.9175894238106,2445.0971132092345,-0.3377851885562855,825.9175894238106,-21,-17,0,0,165.1835178847623,-105.0,-17.0,0.0,0.0
52000300,F,12,3,10+,6,True,17.35231916666669,208.2278299999998,0,0,-1681.1391503243867,2445.0971132092345,-0.68755516549519,1681.1391503243867,-23,-13,0,0,336.22783006487634,-115.0,-13.0,0.0,0.0
52000303,A,15,7,10+,6,True,-34.2115302666667,-513.1729540000001,1,0,2640.864765811868,2851.245336646043,0.9262144971776969,-2640.864765811868,3,3,-1,-1,-528.1729531623741,15.0,3.0,0.0,-3.0
52000303,E,15,7,10+,6,True,-26.63185313333335,-399.477797,1,0,1722.3889846234451,2851.245336646043,0.6040830518812925,-1722.3889846234451,-9,-7,-1,-1,-344.47779692468976,-45.0,-7.0,0.0,-3.0
52000303,F,15,7,10+,6,True,2.211513866666678,33.17270800000006,1,0,-355.86354090904206,2851.245336646043,-0.12480986337277064,355.86354090904206,-7,0,-1,-1,71.17270818180805,-35.0,0.0,0.0,-3.0
52000305,A,10,7,10+,6,True,-14.991631600000005,-149.91631599999982,0,0,724.5815827228853,2151.6826477305513,0.33675113915480276,-724.5815827228853,-1,0,0,0,-144.91631654457706,-5.0,0.0,0.0,0.0
52000305,E,10,7,10+,6,True,-13.996125399999983,-139.96125399999983,0,0,384.80627217083384,2151.6826477305513,0.17883969672604896,-384.80627217083384,-12,-3,0,0,-76.96125443416577,-60.0,-3.0,0.0,0.0
52000305,F,10,7,10+,6,True,54.04779080000003,540.4779080000003,0,0,-2837.3895358775135,2151.6826477305513,-1.318684025671815,2837.3895358775135,-6,3,0,0,567.4779071755038,-30.0,3.0,0.0,0.0
52000307,A,12,6,10+,6,True,-12.386071583333376,-148.63285900000028,0,0,798.1642943283696,1701.1712216994256,0.4691851614624801,-798.1642943283696,2,1,0,0,-159.63285886567473,10.0,1.0,0.0,0.0
52000307,E,12,6,10+,6,True,0.2478959999999688,2.9747520000000804,0,0,-274.8737608640804,1701.1712216994256,-0.16157912699080854,274.8737608640804,-10,-2,0,0,54.97475217281635,-50.0,-2.0,0.0,0.0
52000307,F,12,6,10+,6,True,31.790831999999966,381.4899839999998,0,0,-1852.4499229880075,1701.1712216994256,-1.0889262052866486,1852.4499229880075,0,11,0,0,370.48998459760105,0.0,11.0,0.0,0.0
52000306,A,11,8,10+,6,True,14.82840018181821,163.11240199999975,2,0,-360.56201284597046,1901.2902207657298,-0.18964070235461314,360.56201284597046,16,17,-2,-2,72.11240256919291,80.0,17.0,0.0,-6.0
52000306,E,11,8,10+,6,True,-14.366109636363632,-158.0272060000002,2,0,625.1360279570963,1901.2902207657298,0.32879568891135813,-625.1360279570963,-6,3,-2,-2,-125.0272055914188,-30.0,3.0,0.0,-6.0
52000306,F,11,8,10+,6,True,31.42116681818186,345.6328349999999,2,0,-1993.1641792538085,1901.2902207657298,-1.048321901351324,1993.1641792538085,-10,3,-2,-2,398.6328358507617,-50.0,3.0,0.0,-6.0
52000304,A,16,8,10+,6,True,-25.194580875000014,-403.1132940000002,2,0,2220.5664741283454,4931.137173768246,0.4503152915601102,-2220.5664741283454,8,7,-2,-2,-444.11329482566725,40.0,7.0,0.0,-6.0
52000304,E,16,8,10+,6,True,-32.75607587499999,-524.0972139999999,2,0,2380.4860732795096,4931.137173768246,0.48274586355917665,-2380.4860732795096,-7,-7,-2,-2,-476.09721465589973,-35.0,-7.0,0.0,-6.0
52000304,F,16,8,10+,6,True,1.1059344374999966,17.694950999999946,2,0,1.5252497326073353,4931.137173768246,0.0003093099378214578,-1.5252497326073353,3,9,-2,-2,-0.3050499465202847,15.0,9.0,0.0,-6.0
52000308,A,13,4,10+,6,True,-11.145377769230777,-144.8899110000002,1,0,879.4495560704363,2372.2869559564624,0.37071803386275354,-879.4495560704363,6,4,-1,-1,-175.88991121408844,30.0,4.0,0.0,-3.0
52000308,E,13,4,10+,6,True,-17.404710307692284,-226.26123400000006,1,0,861.3061706505705,2372.2869559564624,0.3630699770480792,-861.3061706505705,-9,-6,-1,-1,-172.26123413011555,-45.0,-6.0,0.0,-3.0
52000308,F,13,4,10+,6,True,24.00121707692307,312.01582199999984,1,0,-1665.0791100343122,2372.2869559564624,-0.7018877315214942,1665.0791100343122,-4,2,-1,-1,333.0158220068615,-20.0,2.0,0.0,-3.0
52000312,A,10,6,10+,6,True,-35.93547360000002,-359.35473600000023,0,0,1936.7736797731286,3540.6550500616704,0.5470099889395874,-1936.7736797731286,5,3,0,0,-387.3547359546251,25.0,3.0,0.0,0.0
52000312,E,10,6,10+,6,True,-43.174578999999994,-431.74578999999994,0,0,1923.7289497571219,3540.6550500616704,0.5433257187038355,-1923.7289497571219,-8,-7,0,0,-384.7457899514234,-40.0,-7.0,0.0,0.0
52000312,F,10,6,10+,6,True,-0.005779200000006313,-0.057792000000063126,0,0,-259.71104272959565,3540.6550500616704,-0.0733511282679379,259.71104272959565,-9,-7,0,0,51.94220854591913,-45.0,-7.0,0.0,0.0
