seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000301,E11,13,5,True,True,286.98747884615386,0.0,8,0,0,6,1158.0143172860617,1.618129399999816,2239a3e7c6b5c98451c9287515d419410e5b3afe9f3148470767d0be691bc745,04023668ba34de85e44b9f43644b5bcbaa51f3a7a22601e39a299470d2300963,15054.186124718803,111,100,13,13,0,0,3730.837225
52000301,A,13,5,True,True,270.61311876923077,0.0,11,46,0,6,1069.988670632004,0.6610436999999365,2239a3e7c6b5c98451c9287515d419410e5b3afe9f3148470767d0be691bc745,f848b3b942e1ce77c66cac6342c8366da19bf1bb1d73fa599db432877942a893,13909.852718216052,114,101,13,13,0,0,3517.970544
52000301,E,13,5,True,True,290.701612,0.0,15,33,0,6,1194.6619063345604,0.43863799999962794,2239a3e7c6b5c98451c9287515d419410e5b3afe9f3148470767d0be691bc745,3564845b13e04a997c66c592eaa565ea45f8e78c75373979aca0a8c0d9deeb2f,15530.604782349286,102,98,13,13,0,0,3779.120956
52000301,F,13,5,True,True,314.75640446153847,0.0,7,38,0,6,1302.6281760218603,0.49302820000048087,2239a3e7c6b5c98451c9287515d419410e5b3afe9f3148470767d0be691bc745,49017d464ddf5ed1c0b888516496d2b9b813783f200ac40f02bd31c84ee0b728,16934.166288284185,107,105,13,13,0,0,4091.833258
52000302,E11,14,8,True,True,283.00156442857144,140.00000000000006,5,0,0,6,1152.507822223652,1.3984598000006372,812ad5226df2fa97b65b39fac8b8e8b7a186adc1af63342a0c52ff22e07a7e78,9fb2ff6a05f1902e19fa0643d940bd0d509f13b6c6382b697318c746a5b652fe,16135.10951113113,110,103,18,14,4,0,3962.021902
52000302,A,14,8,True,True,264.57511614285715,0.0,11,60,0,6,1050.0184379927243,0.9726602999999159,812ad5226df2fa97b65b39fac8b8e8b7a186adc1af63342a0c52ff22e07a7e78,3f92fe4876ec733dd97d1581333064d304105fab791c3fee195f905d28ffc38d,14700.25813189814,118,104,14,14,0,0,3704.051626
52000302,E,14,8,True,True,275.9597675714286,0.0,14,41,0,6,1138.3702664575267,0.5361377999997785,812ad5226df2fa97b65b39fac8b8e8b7a186adc1af63342a0c52ff22e07a7e78,abf665727eb6a1a50071cc4504e1936c9a6e6f38f45e884c3edc4c6a08ba504e,15937.183730405373,102,96,14,14,0,0,3863.436746
52000302,F,14,8,True,True,290.50450721428575,0.0,8,40,0,6,1206.0939646763945,0.5152241000014328,812ad5226df2fa97b65b39fac8b8e8b7a186adc1af63342a0c52ff22e07a7e78,0c501b1b5d6a16dd4ab6536f87d9b8586a6653a5b49faee9c65b41ee79cd668c,16885.315505469523,104,100,14,14,0,0,4067.063101
52000300,E11,12,3,True,True,308.955043,0.0,5,0,0,6,1182.6918816350405,1.763108299999658,a1a0a0855044ca434a3f48dd50389b879fa15b357fd4b3a1fd9a10179cfdcfa3,9339efe7858a0c17bd9ca28b18cfc012967c56108508d3305c82f29b59571b9d,14192.302579620487,137,124,12,12,0,0,3707.460516
52000300,A,12,3,True,True,305.33906874999997,0.0,13,57,0,6,1168.778676974018,1.1158145999997942,a1a0a0855044ca434a3f48dd50389b879fa15b357fd4b3a1fd9a10179cfdcfa3,facf556f246e13b64f95b6b0637c4aa8deb5f781e83322708b7159cf4613a506,14025.344123688215,135,124,12,12,0,0,3664.068825
52000300,E,12,3,True,True,312.5536695,0.0,19,38,0,6,1251.5183474203582,0.5150435999985348,a1a0a0855044ca434a3f48dd50389b879fa15b357fd4b3a1fd9a10179cfdcfa3,9c5df28be645b5bb3c59fc569f63b62aa96df1766c217464efb702886fb5b066,15018.220169044298,116,107,12,12,0,0,3750.644034
52000300,F,12,3,True,True,326.3073621666667,0.0,7,35,0,6,1322.7868108287396,0.4861488999995345,a1a0a0855044ca434a3f48dd50389b879fa15b357fd4b3a1fd9a10179cfdcfa3,6cff272f8efc288ae414049d58841ad217c0c87e56a43e6c3fe43937dba4eb7e,15873.441729944874,114,111,12,12,0,0,3915.688346
