strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
A,N,10,3,3,1.0,-14.991631600000005,-6.324852009999995,-5.361876499999994,52000319,0.43002874574039307,3,30,True,True,0,qualified_runs_only,3,318.66851113333337,318.6685111333333,322.7872599,332.74074614,333.98493192,334.98028054400004,335.2291177,335.2291177,1,12075.09222381995,121.66666666666667,112.33333333333333,0.3333333333333333,1207.509222381995,11.666666666666655,3,1.5552635000003647,0,0,3,30,True,True,0,qualified_runs_only,3,299.90551723333334,299.90551723333334,299.2936441,313.79903554,315.61220947,317.062748614,317.4253834,317.4253834,1,11048.609195414398,125,114.33333333333333,0,1104.8609195414397,0.0,7.666666666666667,1.090680199999042,0,0
A,N,11,2,2,0.5,1.3409910000000025,13.479659263636389,14.82840018181821,52000306,0.10501565972008976,2,22,True,True,0,qualified_runs_only,2,284.5818221363636,284.5818221363636,284.5818221363636,300.6571938090909,302.66661526818183,304.27415243545454,304.67603672727273,304.67603672727273,1,12059.500216262228,112,99,1.5,1096.3182014783843,52.50000000000001,4.5,2.514721200001077,0,0,2,22,True,True,0,qualified_runs_only,2,285.92281313636363,285.92281313636363,285.92281313636363,291.20825746363636,291.86893800454544,292.3974824372727,292.5296185454545,292.5296185454545,1,11860.75472296761,121.5,110.5,0,1078.2504293606917,0.0,8.5,0.8785666999992827,0,0
A,N,12,3,3,0.6666666666666666,-3.615974250000022,5.2577044499999825,6.2436687499999834,52000314,0.1676012171824932,3,36,True,True,0,qualified_runs_only,3,280.39707730555557,280.39707730555557,291.50130525000003,305.46429545,307.20966922499997,308.605968245,308.955043,308.955043,1,13100.491303381521,115.66666666666667,104.33333333333333,0.6666666666666666,1091.7076086151267,23.333333333333346,4.333333333333333,2.190494000000399,0,0,3,36,True,True,0,qualified_runs_only,3,277.14428494444445,277.1442849444444,279.11523366666665,300.0943017333333,302.71668524166665,304.8145920483333,305.33906874999997,305.33906874999997,1,12793.657095870962,120,107,0,1066.1380913225803,0.0,10.333333333333334,1.1158145999997942,0,0
A,N,13,3,3,0.6666666666666666,-11.145377769230777,1.5772969384615614,2.99092746153849,52000315,0.2087755929128819,3,39,True,True,0,qualified_runs_only,3,274.212077,274.212077,271.9551263076923,283.98100833846155,285.4842435923077,286.68683179538465,286.98747884615386,286.98747884615386,1,14082.118338460492,115.33333333333333,105.66666666666667,0.3333333333333333,1083.2398721892687,11.666666666666698,5.333333333333333,1.6722116000000824,0,0,3,39,True,True,0,qualified_runs_only,3,266.0358068717948,266.0358068717949,266.68455330769234,269.8274056769231,270.22026222307693,270.53454746,270.61311876923077,270.61311876923077,1,13573.99411175187,115,103.66666666666667,0,1044.1533932116824,0.0,10.333333333333334,0.8101592000002711,0,0
A,N,14,3,3,1.0,-5.1554894285714,-1.5997040500000428,-1.204616785714336,52000309,0.3405412144279984,3,42,True,True,0,qualified_runs_only,3,256.8490636190476,256.8490636190476,261.8098825714286,278.7632280571429,280.88239624285717,282.57773079142856,283.00156442857144,283.00156442857144,1,14277.767787883677,111.66666666666667,103,3,1019.8405562774054,105.00000000000003,5,3.1519960000005085,0,0,3,42,True,True,0,qualified_runs_only,3,248.58687878571428,248.58687878571428,260.60526578571427,263.78114607142857,264.17813110714286,264.4957191357143,264.57511614285715,264.57511614285715,1,13377.748181233754,125,109.66666666666667,0,955.5534415166968,0.0,11.333333333333334,1.3654071999990265,0,0
A,N,15,3,3,0.6666666666666666,-3.024343000000016,4.6502928799999825,5.5030301999999836,52000310,0.48655137915616187,3,45,True,True,0,qualified_runs_only,3,235.8149596,235.8149596,224.79285846666667,260.97273665333336,265.49522142666666,269.11320924533334,270.0177062,270.0177062,1,13967.788635413213,112.33333333333333,103,1.3333333333333333,931.1859090275476,46.66666666666672,4.333333333333333,3.55886289999944,0,0,3,45,True,True,0,qualified_runs_only,3,225.23734524444444,225.23734524444444,221.76851546666666,232.99864384,234.40240988666665,235.52542272399998,235.80617593333332,235.80617593333332,1,13006.134228940646,119,107.33333333333333,0,867.0756152627097,0.0,12,1.5247251000000688,0,0
A,N,16,3,3,0.6666666666666666,-25.194580875000014,-0.033418799999981985,2.7622658750000255,52000311,0.41139682231047486,3,48,True,True,0,qualified_runs_only,3,240.66732297916667,240.66732297916667,239.7826541875,245.10334208749998,245.768428075,246.30049686499999,246.4335140625,246.4335140625,1,15516.719171548353,112.33333333333333,101.66666666666667,1.3333333333333333,969.7949482217722,46.66666666666672,5.333333333333333,3.557484900000418,0,0,3,48,True,True,0,qualified_runs_only,3,224.39757039583333,224.39757039583333,220.0565713125,238.0472503125,240.2960851875,242.09515308750002,242.5449200625,242.5449200625,1,13973.472297959335,121.66666666666667,107.33333333333333,0,873.3420186224585,0.0,12.333333333333334,1.4578755000002275,0,0
A,k0,10,1,1,0.0,5.5030301999999836,5.5030301999999836,5.5030301999999836,52000310,0.09516034156883614,1,15,True,True,0,qualified_runs_only,1,212.63431413333333,212.63431413333333,212.63431413333333,212.63431413333333,212.63431413333333,212.63431413333333,212.63431413333333,212.63431413333333,1,12372.573559014645,107,99,2,824.838237267643,70.00000000000006,3,3.55886289999944,0,0,1,15,True,True,0,qualified_runs_only,1,218.13734433333332,218.13734433333332,218.13734433333332,218.13734433333332,218.13734433333332,218.13734433333332,218.13734433333332,218.13734433333332,1,12285.300827293502,125,115,0,819.0200551529001,0.0,11,1.5247251000000688,0,0
A,k0,3,1,1,1.0,-3.615974250000022,-3.615974250000022,-3.615974250000022,52000300,0.06828295491017779,1,12,True,True,0,qualified_runs_only,1,308.955043,308.955043,308.955043,308.955043,308.955043,308.955043,308.955043,308.955043,1,14192.302579620487,137,124,0,1182.6918816350405,0.0,5,1.763108299999658,0,0,1,12,True,True,0,qualified_runs_only,1,305.33906874999997,305.33906874999997,305.33906874999997,305.33906874999997,305.33906874999997,305.33906874999997,305.33906874999997,305.33906874999997,1,14025.344123688215,135,124,0,1168.778676974018,0.0,13,1.1158145999997942,0,0
A,k0,4,1,1,1.0,-11.145377769230777,-11.145377769230777,-11.145377769230777,52000308,0.37071803386275354,1,13,True,True,0,qualified_runs_only,1,271.9551263076923,271.9551263076923,271.9551263076923,271.9551263076923,271.9551263076923,271.9551263076923,271.9551263076923,271.9551263076923,1,13867.083208729064,117,109,1,1066.6987083637741,35.00000000000009,4,1.5838686999995844,0,0,1,13,True,True,0,qualified_runs_only,1,260.8097485384615,260.8097485384615,260.8097485384615,260.8097485384615,260.8097485384615,260.8097485384615,260.8097485384615,260.8097485384615,1,12987.633652658627,123,113,0,999.0487425122021,0.0,9,0.8101592000002711,0,0
