seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000319,F,10,5,10+,6,True,98.35539380000006,983.5539380000005,1,0,-5377.769689000092,1468.693083800481,-3.6616021061965123,5377.769689000092,-16,-9,-1,-1,1075.553937800018,-80.0,-9.0,0.0,-3.0
52000314,F,12,8,10+,6,True,81.57298800000004,978.8758560000001,2,0,-4919.37928144449,1345.9508625771286,-3.6549471590851548,4919.37928144449,-1,6,-2,-2,983.8758562888975,-5.0,6.0,0.0,-6.0
52000315,F,13,5,10+,6,True,54.20669253846154,704.6870030000005,0,0,-3908.4350126435966,2888.956874465026,-1.3528879739221986,3908.4350126435966,-14,-7,0,0,781.6870025287221,-70.0,-7.0,0.0,0.0
52000305,F,10,7,10+,6,True,54.04779080000003,540.4779080000003,0,0,-2837.3895358775135,2151.6826477305513,-1.318684025671815,2837.3895358775135,-6,3,0,0,567.4779071755038,-30.0,3.0,0.0,0.0
52000310,F,15,10,10+,6,True,49.492730333333355,742.3909549999998,2,0,-4096.954774749573,917.1124260626202,-4.46723286951717,4096.954774749573,-13,-6,-2,-2,819.390954949914,-65.0,-6.0,0.0,-6.0
52000313,F,11,6,10+,6,True,49.014787818181844,539.1626660000002,1,0,-2780.813330910025,1883.7737177812924,-1.4761928700148048,2780.813330910025,-4,6,-1,-1,556.1626661820032,-20.0,6.0,0.0,-3.0
52000307,F,12,6,10+,6,True,31.790831999999966,381.4899839999998,0,0,-1852.4499229880075,1701.1712216994256,-1.0889262052866486,1852.4499229880075,0,11,0,0,370.48998459760105,0.0,11.0,0.0,0.0
52000306,F,11,8,10+,6,True,31.42116681818186,345.6328349999999,2,0,-1993.1641792538085,1901.2902207657298,-1.048321901351324,1993.1641792538085,-10,3,-2,-2,398.6328358507617,-50.0,3.0,0.0,-6.0
52000311,F,16,6,10+,6,True,29.3936221875,470.297955,2,0,-2606.4897769255367,2963.4869953533835,-0.8795347443779565,2606.4897769255367,-9,0,-2,-2,521.2979553851078,-45.0,0.0,0.0,-6.0
52000317,F,15,9,10+,6,True,28.36723333333333,425.5084999999999,1,0,-3037.5425004517,2161.0534834811388,-1.4055841392498378,3037.5425004517,-31,-24,-1,-1,607.5085000903409,-155.0,-24.0,0.0,-3.0
