seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000403,A,10,5,10+,6,True,-7.272115000000042,-72.7211500000003,1,0,508.60575240059916,2201.022648054095,0.23107701906214054,-508.60575240059916,6,2,-1,-1,-101.72115048012029,30.0,2.0,0.0,-3.0
52000403,G,10,5,10+,6,True,-6.989107000000047,-69.89107000000013,1,0,339.45534908572336,2201.022648054095,0.15422619543957572,-339.45534908572336,0,1,-1,-1,-67.89106981714531,0.0,1.0,0.0,-3.0
52000403,H,10,5,10+,6,True,0.0411640999999463,0.4116409999996904,1,0,242.94179683439143,2201.022648054095,0.11037678192415427,-242.94179683439143,9,7,-1,-1,-48.58835936687956,45.0,7.0,0.0,-3.0
52000400,A,14,6,10+,6,True,1.1972097142857194,16.76093600000013,1,0,-18.804680476892827,1375.1844803645072,-0.01367429660921453,18.804680476892827,3,1,-1,-1,3.7609360953802025,15.0,1.0,0.0,-3.0
52000400,G,14,6,10+,6,True,31.150777285714298,436.11088199999995,1,0,-2375.554407667025,1375.1844803645072,-1.7274441659182767,2375.554407667025,-5,-11,-1,-1,475.1108815334064,-25.0,-11.0,0.0,-3.0
52000400,H,14,6,10+,6,True,1.6630486428571487,23.28268100000014,1,0,3.5865927111317433,1375.1844803645072,0.0026080811428158927,-3.5865927111317433,5,2,-1,-1,-0.7173185422261668,25.0,2.0,0.0,-3.0
52000401,A,15,11,10+,6,True,-7.864772599999981,-117.97158899999977,1,0,684.8579452634476,1673.6618544784724,0.40919731989521585,-684.8579452634476,4,2,-1,-1,-136.97158905268907,20.0,2.0,0.0,-3.0
52000401,G,15,11,10+,6,True,-18.159055733333332,-272.3858359999999,1,0,1421.929182859889,1673.6618544784724,0.8495916777065905,-1421.929182859889,2,5,-1,-1,-284.38583657197705,10.0,5.0,0.0,-3.0
52000401,H,15,11,10+,6,True,7.191831866666689,107.87747800000034,1,0,275.6126086213626,1673.6618544784724,0.16467639976609605,-275.6126086213626,28,26,-1,-1,-55.12252172427225,140.0,26.0,0.0,-3.0
52000402,A,16,9,10+,6,True,2.1544989374999943,34.47198299999991,0,0,192.6400811454314,2928.7224558490325,0.06577614780830617,-192.6400811454314,12,13,0,0,-38.52801622908646,60.0,13.0,0.0,0.0
52000402,G,16,9,10+,6,True,17.864911250000006,285.8385800000001,0,0,-1314.192900360982,2928.7224558490325,-0.4487256543331278,1314.192900360982,3,8,0,0,262.8385800721949,15.0,8.0,0.0,0.0
52000402,H,16,9,10+,6,True,3.8520724374999986,61.63315899999998,0,0,26.834200901135773,2928.7224558490325,0.009162425359748394,-26.834200901135773,11,12,0,0,-5.366840180226518,55.0,12.0,0.0,0.0
52000404,A,11,5,10+,6,True,8.784450363636381,96.62895400000025,3,0,-208.14476771141926,1281.0159004634334,-0.16248414062317157,208.14476771141926,11,9,-3,-3,41.6289535422834,55.0,9.0,0.0,-9.0
52000404,G,11,5,10+,6,True,48.28757354545456,531.163309,3,0,-2405.816544621588,1281.0159004634334,-1.878053616470518,2405.816544621588,10,9,-3,-3,481.1633089243178,50.0,9.0,0.0,-9.0
52000404,H,11,5,10+,6,True,19.051743454545488,209.5691780000002,3,0,-837.8458865467692,1281.0159004634334,-0.6540479991260542,837.8458865467692,9,6,-3,-3,167.56917730935538,45.0,6.0,0.0,-9.0
52000405,A,12,7,10+,6,True,17.298399166666684,207.58078999999998,2,0,-1092.9039530783757,1266.4959980480726,-0.8629351808160173,1092.9039530783757,0,-5,-2,-2,218.5807906156747,0.0,-5.0,0.0,-6.0
52000405,G,12,7,10+,6,True,39.215729416666704,470.588753,2,0,-1987.94376451698,1266.4959980480726,-1.5696407786371256,1987.94376451698,13,14,-2,-2,397.58875290339574,65.0,14.0,0.0,-6.0
52000405,H,12,7,10+,6,True,19.694850250000002,236.3382029999998,2,0,-1086.6910174659788,1266.4959980480726,-0.8580295706743568,1086.6910174659788,6,-5,-2,-2,217.33820349319694,30.0,-5.0,0.0,-6.0
52000407,A,14,6,10+,6,True,-22.401239142857094,-313.61734799999977,0,0,1643.0867366076254,2963.137250662561,0.5545091562128043,-1643.0867366076254,3,0,0,0,-328.61734732152354,15.0,0.0,0.0,0.0
52000407,G,14,6,10+,6,True,-17.447203428571385,-244.2608479999999,0,0,1376.3042409632326,2963.137250662561,0.46447535990966643,-1376.3042409632326,5,6,0,0,-275.2608481926459,25.0,6.0,0.0,0.0
52000407,H,14,6,10+,6,True,-13.366844071428545,-187.13581699999986,0,0,860.6790842073042,2963.137250662561,0.29046210532936173,-860.6790842073042,-2,-5,0,0,-172.13581684145902,-10.0,-5.0,0.0,0.0
52000406,A,13,7,10+,6,True,14.74258546153851,191.65361100000018,0,0,-443.2680593531859,1845.0757323956532,-0.24024382932924113,443.2680593531859,18,13,0,0,88.65361187063627,90.0,13.0,0.0,0.0
52000406,G,13,7,10+,6,True,79.83702384615384,1037.8813099999998,0,0,-5229.406553439432,1845.0757323956532,-2.834250357111115,5229.406553439432,-1,-3,0,0,1045.881310687887,-5.0,-3.0,0.0,0.0
52000406,H,13,7,10+,6,True,7.385231000000033,96.00800300000037,0,0,-360.04001788839923,1845.0757323956532,-0.1951356313276756,360.04001788839923,5,-1,0,0,72.00800357767821,25.0,-1.0,0.0,0.0
52000408,A,15,3,10+,6,True,-23.343078866666644,-350.14618299999984,1,0,1720.7309140882808,3815.803463426784,0.4509485172863116,-1720.7309140882808,0,-3,-1,-1,-344.14618281765706,0.0,-3.0,0.0,-3.0
52000408,G,15,3,10+,6,True,-10.271689466666658,-154.0753420000001,1,0,680.3767092154376,3815.803463426784,0.1783049666306516,-680.3767092154376,-2,-5,-1,-1,-136.07534184309043,-10.0,-5.0,0.0,-3.0
52000408,H,15,3,10+,6,True,-24.533384599999977,-368.00076899999976,1,0,1805.003843758208,3815.803463426784,0.4730337558154065,-1805.003843758208,0,-4,-1,-1,-361.0007687516422,0.0,-4.0,0.0,-3.0
52000410,A,10,2,10+,6,True,-4.7337354000000005,-47.33735399999978,0,0,386.68676864559166,2377.9290350613865,0.16261493212963327,-386.68676864559166,5,5,0,0,-77.33735372911815,25.0,5.0,0.0,0.0
52000410,G,10,2,10+,6,True,14.794453900000008,147.94453900000008,0,0,-914.7226957316998,2377.9290350613865,-0.38467199072998665,914.7226957316998,-6,-5,0,0,182.9445391463405,-30.0,-5.0,0.0,0.0
52000410,H,10,2,10+,6,True,4.689245099999994,46.892451000000165,0,0,105.5377436164199,2377.9290350613865,0.044382209082070204,-105.5377436164199,12,8,0,0,-21.107548723284708,60.0,8.0,0.0,0.0
52000411,A,11,4,10+,6,True,1.49307409090909,16.423815000000104,0,0,-102.11907253756362,1733.5967405661795,-0.0589058978642359,102.11907253756362,0,-4,0,0,20.42381450751236,0.0,-4.0,0.0,0.0
52000411,G,11,4,10+,6,True,9.976698999999996,109.7436889999999,0,0,-508.7184433454404,1733.5967405661795,-0.293446815768295,508.7184433454404,1,3,0,0,101.74368866908753,5.0,3.0,0.0,0.0
52000411,H,11,4,10+,6,True,-3.0610532727272926,-33.671585999999934,0,0,283.35792904460686,1733.5967405661795,0.1634508893643076,-283.35792904460686,4,3,0,0,-56.67158580892192,20.0,3.0,0.0,0.0
52000409,A,16,8,10+,6,True,-3.5865991249999922,-57.385585999999876,1,0,-103.07206716992914,2279.257401680923,-0.045221775782724155,103.07206716992914,-12,-15,-1,-1,20.614413433986556,-60.0,-15.0,0.0,-3.0
52000409,G,16,8,10+,6,True,25.008596687500017,400.13754700000027,1,0,-1700.6877320188014,2279.257401680923,-0.7461586965844955,1700.6877320188014,12,3,-1,-1,340.137546403761,60.0,3.0,0.0,-3.0
52000409,H,16,8,10+,6,True,-3.5865991249999922,-57.385585999999876,1,0,-103.07206716992914,2279.257401680923,-0.045221775782724155,103.07206716992914,-12,-15,-1,-1,20.614413433986556,-60.0,-15.0,0.0,-3.0
52000412,A,12,3,10+,6,True,-5.914801583333315,-70.97761899999978,1,0,474.88809650837356,2163.4390483484585,0.21950611313542528,-474.88809650837356,4,7,-1,-1,-94.97761930167553,20.0,7.0,0.0,-3.0
52000412,G,12,3,10+,6,True,5.120556500000021,61.44667800000025,1,0,-652.2333913896819,2163.4390483484585,-0.30147990158890237,652.2333913896819,-11,-11,-1,-1,130.44667827793455,-55.0,-11.0,0.0,-3.0
52000412,H,12,3,10+,6,True,-19.499101499999995,-233.9892179999997,1,0,1469.946090294694,2163.4390483484585,0.6794488115654711,-1469.946090294694,11,8,-1,-1,-293.9892180589409,55.0,8.0,0.0,-3.0
52000414,A,14,7,10+,6,True,-3.730891071428573,-52.23247500000025,0,0,-33.83762418396691,1455.0392094868512,-0.023255472404692397,33.83762418396691,-10,-9,0,0,6.767524836791836,-50.0,-9.0,0.0,0.0
