strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
A,N,10,3,3,0.6666666666666666,-4.7337354000000005,9.955252169999964,11.587361899999962,52000417,0.034372020038502975,3,30,True,True,0,qualified_runs_only,3,324.75348080000003,324.75348080000003,329.5608192,336.44272456,337.30296273,337.99115326599997,338.1632009,338.1632009,1,12322.674041346725,123,114,1.3333333333333333,1232.2674041346725,46.666666666666686,5,1.5232238000007783,0,0,3,30,True,True,0,qualified_runs_only,3,324.61398463333336,324.6139846333333,322.2887042,331.20131324,332.31538937,333.20665027399997,333.4294655,333.4294655,1,12254.032566040212,126,115.33333333333333,0,1225.4032566040212,0.0,10.333333333333334,0.6969731000008323,0,0
A,N,11,3,3,0.3333333333333333,1.49307409090909,8.055312736363652,8.784450363636381,52000404,0.06978890702235237,3,33,True,True,0,qualified_runs_only,3,290.38639115151517,290.38639115151517,284.2496846363636,304.40472776363634,306.9241081545455,308.93961246727275,309.44348854545456,309.44348854545456,1,11919.584847218162,126.66666666666667,118,1.3333333333333333,1083.5986224743785,46.66666666666665,3,1.7750790000009147,0,0,3,33,True,True,0,qualified_runs_only,3,290.3055192727273,290.3055192727273,293.034135,307.3560771090909,309.1463198727273,310.5785140836364,310.93656263636365,310.93656263636365,1,11805.136892969562,131.33333333333334,120.66666666666667,0,1073.194262997233,0.0,8.666666666666666,1.1698952999995527,0,0
A,N,12,3,3,0.6666666666666666,-5.914801583333315,14.977079091666681,17.298399166666684,52000405,0.11873176821511255,3,36,True,True,0,qualified_runs_only,3,302.70851741666667,302.70851741666667,304.4269018333333,326.3668681666667,329.10936395833335,331.30336059166666,331.85185975,331.85185975,1,13969.177711942557,131,119.66666666666667,1.3333333333333333,1164.0981426618798,46.66666666666663,5.666666666666667,1.8055371000009472,0,0,3,36,True,True,0,qualified_runs_only,3,298.2207995,298.2207995,298.51210025,305.30650678333336,306.1558076,306.83524825333336,307.0051084166667,307.0051084166667,1,13706.58130381424,131.66666666666666,119,0,1142.2151086511867,0.0,13.333333333333334,1.2195341999995435,0,0
A,N,13,2,2,0.5,5.887667769230788,13.857093692307739,14.74258546153851,52000406,-0.07073577708110428,2,26,True,True,0,qualified_runs_only,2,254.3329135769231,254.3329135769231,254.3329135769231,263.4462286846154,264.5853930730769,265.4967245838461,265.72455746153844,265.72455746153844,1,12779.139381917481,116,104,0.5,983.0107216859601,17.499999999999993,3.5,2.2112200999999914,0,0,2,26,True,True,0,qualified_runs_only,2,260.22058134615384,260.22058134615384,260.22058134615384,276.41783060769234,278.4424867653846,280.0622116915385,280.46714292307695,280.46714292307695,1,12894.337789590805,125,114,0,991.8721376608312,0.0,7.5,1.114830799999254,0,0
A,N,14,3,3,0.6666666666666666,-3.730891071428573,0.7043996357142897,1.1972097142857194,52000400,0.2745288008597096,3,42,True,True,0,qualified_runs_only,3,248.50052597619046,248.50052597619046,248.45639542857143,258.5061270285714,259.7623434785714,260.7673166385714,261.0185599285714,261.0185599285714,1,13546.703484551079,118,108.66666666666667,0.3333333333333333,967.6216774679342,11.66666666666665,4.333333333333333,1.9902117000001454,0,0,3,42,True,True,0,qualified_runs_only,3,240.18888580952384,240.1888858095238,238.6173207857143,243.50386764285713,244.114686,244.60334068571427,244.72550435714285,244.72550435714285,1,13016.555340568824,116.66666666666667,106,0,929.7539528977732,0.0,10,0.931468999999197,0,0
A,N,15,3,3,1.0,-15.672201466666678,-8.645515486666651,-7.864772599999981,52000401,0.436845096486274,3,45,True,True,0,qualified_runs_only,3,247.292523,247.292523,237.4532608,276.8465119466666,281.77066833999993,285.70999345466663,286.6948247333333,286.6948247333333,1,14978.60589172347,107.66666666666667,98.33333333333333,0.6666666666666666,998.573726114898,23.33333333333328,6,2.5261630000004516,0,0,3,45,True,True,0,qualified_runs_only,3,231.66583868888887,231.6658386888889,221.78105933333333,255.03760856,259.1946772133333,262.520332136,263.35174586666665,263.35174586666665,1,13726.604569051407,111,99.66666666666667,0,915.1069712700938,0.0,11,0.9684719999986555,0,0
A,N,16,3,3,0.6666666666666666,-0.6266292500000077,1.876386118749994,2.1544989374999943,52000402,0.05886414360190792,3,48,True,True,0,qualified_runs_only,3,232.93508633333332,232.93508633333335,239.825269625,240.771771775,240.89008454375,240.98473475875,241.0083973125,241.0083973125,1,15026.473573189298,108.66666666666667,96.33333333333333,0.6666666666666666,939.154598324331,23.333333333333307,6.333333333333333,3.5718444000012823,0,0,3,48,True,True,0,qualified_runs_only,3,232.2488431875,232.2488431875,237.4217981875,238.8432719375,239.02095615625,239.16310353125,239.198640375,239.198640375,1,14853.240788617848,113.33333333333333,98.66666666666667,0,928.3275492886155,0.0,12.666666666666666,1.4154393000007985,0,0
A,k0,11,1,1,1.0,-7.864772599999981,-7.864772599999981,-7.864772599999981,52000401,0.40919731989521585,1,15,True,True,0,qualified_runs_only,1,217.72948346666666,217.72948346666666,217.72948346666666,217.72948346666666,217.72948346666666,217.72948346666666,217.72948346666666,217.72948346666666,1,12899.71126110807,103,93,1,859.980750740538,34.99999999999994,6,2.5261630000004516,0,0,1,15,True,True,0,qualified_runs_only,1,209.86471086666668,209.86471086666668,209.86471086666668,209.86471086666668,209.86471086666668,209.86471086666668,209.86471086666668,209.86471086666668,1,12214.853315844623,107,95,0,814.3235543896415,0.0,11,0.9684719999986555,0,0
A,k0,2,1,1,1.0,-4.7337354000000005,-4.7337354000000005,-4.7337354000000005,52000410,0.16261493212963327,1,10,True,True,0,qualified_runs_only,1,338.1632009,338.1632009,338.1632009,338.1632009,338.1632009,338.1632009,338.1632009,338.1632009,1,12893.160045860866,127,118,0,1289.3160045860866,0.0,5,1.1003842000009172,0,0,1,10,True,True,0,qualified_runs_only,1,333.4294655,333.4294655,333.4294655,333.4294655,333.4294655,333.4294655,333.4294655,333.4294655,1,12506.473277215275,132,123,0,1250.6473277215275,0.0,8,0.597222000000329,0,0
A,k0,3,2,2,1.0,-14.62894022499998,-6.7862154474999805,-5.914801583333315,52000412,0.3672068838607406,2,27,True,True,0,qualified_runs_only,2,294.5757478888889,295.56086328333333,295.56086328333333,302.6536941233333,303.54029797833334,304.24958106233333,304.4269018333333,304.4269018333333,1,15693.862982023358,130,117.5,1,1162.5083690387673,34.99999999999993,6.5,2.2030352000001585,0,0,2,27,True,True,0,qualified_runs_only,2,278.97857003703706,280.9319230583333,280.9319230583333,294.99606481166666,296.75408253083333,298.16049670616667,298.51210025,298.51210025,1,14596.053476725032,132,119.5,0,1081.1891464240764,0.0,11.5,1.2195341999995435,0,0
