seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000406,G,13,7,10+,6,True,79.83702384615384,1037.8813099999998,0,0,-5229.406553439432,1845.0757323956532,-2.834250357111115,5229.406553439432,-1,-3,0,0,1045.881310687887,-5.0,-3.0,0.0,0.0
52000417,G,10,4,10+,6,True,62.79605240000001,627.9605240000001,3,0,-3294.80261900386,1412.0964336046072,-2.3332702644063317,3294.80261900386,-3,-7,-3,-3,658.960523800773,-15.0,-7.0,0.0,-9.0
52000404,G,11,5,10+,6,True,48.28757354545456,531.163309,3,0,-2405.816544621588,1281.0159004634334,-1.878053616470518,2405.816544621588,10,9,-3,-3,481.1633089243178,50.0,9.0,0.0,-9.0
52000413,G,13,9,10+,6,True,41.27693723076922,536.6001839999999,1,0,-2863.0009181532077,1412.0711436821148,-2.027518890222238,2863.0009181532077,-6,-3,-1,-1,572.6001836306414,-30.0,-3.0,0.0,-3.0
52000405,G,12,7,10+,6,True,39.215729416666704,470.588753,2,0,-1987.94376451698,1266.4959980480726,-1.5696407786371256,1987.94376451698,13,14,-2,-2,397.58875290339574,65.0,14.0,0.0,-6.0
52000400,G,14,6,10+,6,True,31.150777285714298,436.11088199999995,1,0,-2375.554407667025,1375.1844803645072,-1.7274441659182767,2375.554407667025,-5,-11,-1,-1,475.1108815334064,-25.0,-11.0,0.0,-3.0
52000415,G,15,6,10+,6,True,26.361531733333322,395.42297599999984,0,0,-1672.1148808550952,3108.5571807499455,-0.5379070686586805,1672.1148808550952,11,6,0,0,334.4229761710212,55.0,6.0,0.0,0.0
52000417,H,10,4,10+,6,True,25.71263399999998,257.1263399999998,3,0,-945.6316977185761,1412.0964336046072,-0.6696650987954813,945.6316977185761,14,7,-3,-3,189.12633954371495,70.0,7.0,0.0,-9.0
52000409,G,16,8,10+,6,True,25.008596687500017,400.13754700000027,1,0,-1700.6877320188014,2279.257401680923,-0.7461586965844955,1700.6877320188014,12,3,-1,-1,340.137546403761,60.0,3.0,0.0,-3.0
52000405,H,12,7,10+,6,True,19.694850250000002,236.3382029999998,2,0,-1086.6910174659788,1266.4959980480726,-0.8580295706743568,1086.6910174659788,6,-5,-2,-2,217.33820349319694,30.0,-5.0,0.0,-6.0
