seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000502,A,11,4,10+,6,True,-16.395672090909102,-180.35239300000012,1,0,1161.7619625719017,2464.997629290383,0.47130348068786854,-1161.7619625719017,10,5,-1,-1,-232.3523925143786,50.0,5.0,0.0,-3.0
52000502,J,11,4,10+,6,True,-18.92431581818181,-208.16747399999986,1,2,1210.8373704692422,2464.997629290383,0.49121238742035417,-1210.8373704692422,6,1,1,1,-242.16747409384652,30.0,1.0,0.0,3.0
52000503,A,12,5,10+,6,True,-36.22368341666663,-434.6842009999996,0,0,2513.42100760255,4844.928450733432,0.5187736069089038,-2513.42100760255,13,3,0,0,-502.68420152050976,65.0,3.0,0.0,0.0
52000503,J,12,5,10+,6,True,-30.304392083333312,-363.65270499999997,0,1,1903.2635263561533,4844.928450733432,0.39283625046475856,-1903.2635263561533,3,-1,1,1,-380.65270527123084,15.0,-1.0,0.0,3.0
52000501,A,10,4,10+,6,True,-7.383104599999967,-73.83104599999979,5,0,779.1552299902705,1511.3246181111645,0.5155445895958801,-779.1552299902705,17,12,-5,-5,-155.83104599805392,85.0,12.0,0.0,-15.0
52000501,J,10,4,10+,6,True,-17.41753099999994,-174.17530999999963,5,1,835.8765514933511,1511.3246181111645,0.553075455449154,-835.8765514933511,1,0,-4,-4,-167.17531029866996,5.0,0.0,0.0,-12.0
52000500,A,16,12,10+,6,True,10.978082374999985,175.64931799999977,4,0,-553.2465922096217,1348.0338619035356,-0.410410011087104,553.2465922096217,13,12,-4,-4,110.64931844192597,65.0,12.0,0.0,-12.0
52000500,J,16,12,10+,6,True,0.6539452499999925,10.46312399999988,4,4,-22.315621456171357,1348.0338619035356,-0.016554199480315612,22.315621456171357,1,1,0,0,4.463124291233726,5.0,1.0,0.0,0.0
52000504,A,13,6,10+,6,True,-3.6162646153846083,-47.011439999999766,0,0,305.0572018735438,1122.3663394967534,0.2717982454911516,-305.0572018735438,3,-1,0,0,-61.011440374707945,15.0,-1.0,0.0,0.0
52000504,J,13,6,10+,6,True,-7.771898461538456,-101.03467999999975,0,0,320.173399159592,1122.3663394967534,0.28526639466321785,-320.173399159592,-6,-7,0,0,-64.03467983191649,-30.0,-7.0,0.0,0.0
52000505,A,14,6,10+,6,True,-1.2764389285714515,-17.87014500000032,0,0,449.3507229132865,2108.7104929751495,0.21309265753180942,-449.3507229132865,13,7,0,0,-89.87014458266003,65.0,7.0,0.0,0.0
52000505,J,14,6,10+,6,True,-8.250673000000006,-115.50942200000009,0,0,612.5471073685858,2108.7104929751495,0.29048421270212005,-612.5471073685858,1,2,0,0,-122.5094214737187,5.0,2.0,0.0,0.0
52000506,A,15,9,10+,6,True,-3.8907695999999987,-58.36154399999987,1,0,396.8077213717643,3962.8372992120403,0.10013222633456702,-396.8077213717643,4,4,-1,-1,-79.36154427435349,20.0,4.0,0.0,-3.0
52000506,J,15,9,10+,6,True,-10.172702399999991,-152.5905359999997,1,1,862.9526820924293,3962.8372992120403,0.21776132021973663,-862.9526820924293,3,5,0,0,-172.59053641848504,15.0,5.0,0.0,0.0
52000508,A,10,4,10+,6,True,-21.756794300000024,-217.567943,0,0,1147.839711279983,2354.0186782724977,0.48760858266525225,-1147.839711279983,2,2,0,0,-229.56794225599606,10.0,2.0,0.0,0.0
52000508,J,10,4,10+,6,True,-24.322285300000033,-243.2228530000002,0,1,1206.1142646172502,2354.0186782724977,0.5123639314121161,-1206.1142646172502,-1,0,1,1,-241.2228529234494,-5.0,0.0,0.0,3.0
52000507,A,16,7,10+,6,True,-3.911751562500001,-62.588025000000016,2,0,642.9401261585663,2110.0619646141276,0.3047020120454815,-642.9401261585663,13,7,-2,-2,-128.58802523171335,65.0,7.0,0.0,-6.0
52000507,J,16,7,10+,6,True,-15.651824312499997,-250.42918899999995,2,3,1267.1459472080423,2110.0619646141276,0.6005254672413227,-1267.1459472080423,0,0,1,1,-253.4291894416083,0.0,0.0,0.0,3.0
52000509,A,11,5,10+,6,True,-14.981953909090919,-164.80149299999994,1,0,1009.007465115279,2044.781598274907,0.49345488338047183,-1009.007465115279,7,5,-1,-1,-201.80149302305517,35.0,5.0,0.0,-3.0
52000509,J,11,5,10+,6,True,-18.190668363636348,-200.09735199999977,1,3,1140.4867610408528,2044.781598274907,0.5577548047199914,-1140.4867610408528,4,2,2,2,-228.09735220817038,20.0,2.0,0.0,6.0
52000510,A,12,10,10+,6,True,-1.8125532499999792,-21.750638999999865,3,0,-46.2468030647633,1012.580115034616,-0.04567224101885736,46.2468030647633,-4,-2,-3,-3,9.249360612951932,-20.0,-2.0,0.0,-9.0
52000510,J,12,10,10+,6,True,9.395711000000006,112.74853200000007,3,2,-608.742660531947,1012.580115034616,-0.6011797501189686,608.742660531947,-1,-1,-1,-1,121.74853210638912,-5.0,-1.0,0.0,-3.0
52000512,A,14,4,10+,6,True,-24.781986999999987,-346.9478180000001,2,0,2204.7390897622754,2299.183404727988,0.9589226702091275,-2204.7390897622754,17,15,-2,-2,-440.9478179524549,85.0,15.0,0.0,-6.0
52000512,J,14,4,10+,6,True,-21.37247321428569,-299.21462500000007,2,3,1831.0731247288568,2299.183404727988,0.7964015054055626,-1831.0731247288568,10,14,1,1,-366.21462494577054,50.0,14.0,0.0,3.0
52000511,A,13,8,10+,6,True,-9.388393153846124,-122.04911099999981,2,0,330.24555320302534,2294.9060174310816,0.14390373753636426,-330.24555320302534,-8,-10,-2,-2,-66.0491106406048,-40.0,-10.0,0.0,-6.0
52000511,J,13,8,10+,6,True,-10.212528769230744,-132.762874,2,3,768.8143684423994,2294.9060174310816,0.3350090864736197,-768.8143684423994,3,3,1,1,-153.76287368848034,15.0,3.0,0.0,3.0
52000515,A,10,2,10+,6,True,-16.742549899999972,-167.42549899999995,1,0,982.1274903086323,2571.646587023806,0.3819060889876236,-982.1274903086323,6,2,-1,-1,-196.4254980617293,30.0,2.0,0.0,-3.0
52000515,J,10,2,10+,6,True,-24.660771299999965,-246.60771299999988,1,2,1223.0385632995094,2571.646587023806,0.47558578595939377,-1223.0385632995094,-1,0,1,1,-244.60771265990388,-5.0,0.0,0.0,3.0
52000513,A,15,5,10+,6,True,-20.550666399999955,-308.2599959999998,1,0,1116.299981840999,3337.0917714556563,0.3345128208308348,-1116.299981840999,-14,-12,-1,-1,-223.25999636820052,-70.0,-12.0,0.0,-3.0
52000513,J,15,5,10+,6,True,-20.792965133333297,-311.8944769999998,1,0,1599.4723844111359,3337.0917714556563,0.4793012880534112,-1599.4723844111359,2,1,-1,-1,-319.894476882228,10.0,1.0,0.0,-3.0
52000516,A,11,3,10+,6,True,-4.0770820000000185,-44.847901999999976,1,0,174.2395083042593,1388.1830570247348,0.1255162331960047,-174.2395083042593,-1,-2,-1,-1,-34.847901660852585,-5.0,-2.0,0.0,-3.0
52000516,J,11,3,10+,6,True,-9.30556563636361,-102.361222,1,1,341.80611066825077,1388.1830570247348,0.2462255312356549,-341.80611066825077,-6,-4,0,0,-68.36122213365024,-30.0,-4.0,0.0,0.0
52000514,A,16,4,10+,6,True,-34.1633965625,-546.614345,0,0,2993.071723835097,3787.2359442641628,0.7903050583283987,-2993.071723835097,10,2,0,0,-598.6143447670174,50.0,2.0,0.0,0.0
52000514,J,16,4,10+,6,True,-39.20311293749998,-627.2498069999997,0,0,3321.2490343163736,3787.2359442641628,0.8769585743255488,-3321.2490343163736,7,2,0,0,-664.2498068632731,35.0,2.0,0.0,0.0
