seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000502,E11,11,4,True,True,320.43674436363636,35.00000000000005,4,0,0,6,1261.729176241513,1.1412227000000712,fffbf2ee998fe44b73cb437bf60af6d3c0dfd5c56b2996388760f5406ecc7b18,3f96c420ad1c2232ef8e0ad7883453a34729440a295eae594bd6a8d0e7906cc6,13879.020938656642,117,106,12,11,1,0,3524.804188
52000502,A,11,4,True,True,304.04107227272726,0.0,8,47,0,6,1156.1144523713401,1.1912537999996857,fffbf2ee998fe44b73cb437bf60af6d3c0dfd5c56b2996388760f5406ecc7b18,99225bc92ec94d2093e45d1caec6473c33db53fe0115713a62a67c48168c8963,12717.25897608474,127,111,11,11,0,0,3344.451795
52000502,J,11,4,True,True,301.51242854545455,70.00000000000014,4,43,0,6,1151.6530516534,1.1131059999988793,fffbf2ee998fe44b73cb437bf60af6d3c0dfd5c56b2996388760f5406ecc7b18,282ad6dd134e851e086e89f3fd201a3b0a2e7fbbcf6ff92c756357cf27345188,12668.1835681874,123,107,13,11,2,0,3316.636714
52000503,E11,12,5,True,True,323.5722858333333,0.0,8,0,0,6,1337.8614293164135,2.041979600000559,c99700089f74a86406125b912feefc1fb7d10d220f9be5c886a7f3fd57ffc561,c86071ecaf1d825f58487b137e859dc207e37c1dd3ba48697850445b3d609603,16054.337151796963,103,97,12,12,0,0,3882.86743
52000503,A,12,5,True,True,287.34860241666667,0.0,12,45,0,6,1128.4096786828677,1.1109235000003537,c99700089f74a86406125b912feefc1fb7d10d220f9be5c886a7f3fd57ffc561,07756a073f33959a48e5d3d3299d52f02992efcf500a103cbe811acaae1368fb,13540.916144194412,116,100,12,12,0,0,3448.183229
52000503,J,12,5,True,True,293.26789375,34.99999999999996,7,33,0,6,1179.2561354534007,0.5659854999994423,c99700089f74a86406125b912feefc1fb7d10d220f9be5c886a7f3fd57ffc561,f8f6795b6028127db2e4bd31b5ad9029aec56a62f4d2092b54db5ec31194ce47,14151.07362544081,106,96,13,12,1,0,3519.214725
52000501,E11,10,4,True,True,311.03191189999995,175.00000000000009,2,0,0,6,1166.1595595966967,1.825272899999618,75628a03707b58b5cddc30f9edc14b99cd592f7aceab028fe01956189837fb28,c78a80dd1fe2f2e1c9dc2a64458165e5ca03e9eb118e347fe85572abc511b168,11661.595595966966,120,113,15,10,5,0,3110.319119
52000501,A,10,4,True,True,303.6488073,0.0,11,50,0,6,1088.2440365976695,1.354889700000058,75628a03707b58b5cddc30f9edc14b99cd592f7aceab028fe01956189837fb28,8dede01d91ec952fc05139dc5c614665a7d6c5a9e42217da650798c78aeebb86,10882.440365976696,137,125,10,10,0,0,3036.488073
52000501,J,10,4,True,True,293.6143809,35.00000000000003,4,34,0,6,1082.5719044473615,0.700630799999999,75628a03707b58b5cddc30f9edc14b99cd592f7aceab028fe01956189837fb28,f3e5f4aeb5366fe1595068dba51ce8a3c6b2140fad3329b59ac6805f19b10ccd,10825.719044473615,121,113,11,10,1,0,2936.143809
52000500,E11,16,12,True,True,198.8626055,140.00000000000006,3,0,0,6,795.563027472668,4.349396199999319,85a04b5fd1a8db07f5872994620ece5f82fd35e18e93ef61775c4bcba392ea3d,6f307a5864def2e23c37cd506c211be67d21a952f6308057546871798254608b,12729.008439562687,93,79,20,16,4,0,3181.801688
52000500,A,16,12,True,True,209.840687875,0.0,10,71,0,6,830.1409394857693,1.4699084000003495,85a04b5fd1a8db07f5872994620ece5f82fd35e18e93ef61775c4bcba392ea3d,281d9f994268888f593d78ec59a0411cf24cee3ff3442b8feb05d451ec4b6efd,13282.255031772309,106,91,16,16,0,0,3357.451006
52000500,J,16,12,True,True,199.51655075,140.00000000000003,4,59,0,6,796.9577538136787,1.1390127000013308,85a04b5fd1a8db07f5872994620ece5f82fd35e18e93ef61775c4bcba392ea3d,90950776d3d3ec752d3a1b0f71b02df621ad523899c4369c53a1541c93afc158,12751.324061018859,94,80,20,16,4,0,3192.264812
