strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
A,N,10,3,3,1.0,-16.742549899999972,-8.319049129999968,-7.383104599999967,52000501,0.4519383258745966,3,30,True,True,0,qualified_runs_only,3,336.6152398,336.6152398,330.2850993,360.87998641999997,364.70434731,367.76383602199996,368.5287082,368.5287082,1,12925.761988968767,122.33333333333333,113.33333333333333,2,1292.5761988968768,70.00000000000006,3.3333333333333335,1.825272899999618,0,0,3,30,True,True,0,qualified_runs_only,3,321.3210902,321.3210902,308.528305,343.13458764,347.46037297,350.921001234,351.7861583,351.7861583,1,11956.054511775805,130.66666666666666,118.66666666666667,0,1195.6054511775806,0.0,10.666666666666666,1.354889700000058,0,0
A,N,11,3,3,1.0,-14.981953909090919,-5.167569190909109,-4.0770820000000185,52000516,0.39759646176754837,3,33,True,True,0,qualified_runs_only,3,302.0320773030303,302.0320773030303,303.2143229090909,316.9922600727273,318.7145022181818,320.09229593454546,320.43674436363636,320.43674436363636,1,12750.097583704355,121,109.33333333333333,1,1159.0997803367595,35.00000000000003,4.666666666666667,1.854264300000068,0,0,3,33,True,True,0,qualified_runs_only,3,290.21384130303034,290.2138413030303,288.232369,300.8793316181818,302.4602019454545,303.7248982072727,304.04107227272726,304.04107227272726,1,11968.427938373874,126.33333333333333,112,0,1088.038903488534,0.0,9.666666666666666,1.1912537999996857,0,0
A,N,12,3,3,1.0,-16.611860666666644,-3.2924839916666464,-1.8125532499999792,52000510,0.41345658065707297,3,36,True,True,0,qualified_runs_only,3,293.08045322222216,293.0804532222222,310.77909566666665,321.01364779999994,322.29296681666665,323.31642202999996,323.5722858333333,323.5722858333333,1,13868.160527301126,114,106.33333333333333,2.3333333333333335,1155.6800439417607,81.6666666666667,5.333333333333333,3.5432457999995677,0,0,3,36,True,True,0,qualified_runs_only,3,274.86442077777775,274.8644207777778,287.34860241666667,292.80350848333336,293.48537174166665,294.03086234833336,294.167235,294.167235,1,12676.865245156027,119,108,0,1056.4054370963356,0.0,12.333333333333334,1.2266020000006392,0,0
A,N,13,3,3,0.6666666666666666,-3.6162646153846083,12.088330038461528,13.83328499999999,52000518,-0.023182602583880604,3,39,True,True,0,qualified_runs_only,3,243.50198151282055,243.50198151282052,236.99619092307694,256.92712618461536,259.4184930923077,261.4115866184615,261.90986,261.90986,1,12102.628797650368,115,103,0.6666666666666666,930.9714459731051,23.33333333333331,2.6666666666666665,4.451171599999725,0,0,3,39,True,True,0,qualified_runs_only,3,243.7781905897436,243.7781905897436,250.82947592307693,252.18306866153847,252.35226775384615,252.48762702769233,252.52146684615386,252.52146684615386,1,12143.915721219772,115,100.33333333333333,0,934.1473631707515,0.0,9,1.4085979000010411,0,0
A,N,14,3,3,1.0,-9.901377428571493,-2.1389327785714567,-1.2764389285714515,52000505,0.4934819600970761,3,42,True,True,0,qualified_runs_only,3,267.9212861666667,267.9212861666667,270.9620842142857,271.2193393,271.2514961857143,271.27722169428574,271.2836530714286,271.2836530714286,1,15134.49002983865,111,97,0.6666666666666666,1081.035002131332,23.33333333333333,5.666666666666667,3.548604300000079,0,0,3,42,True,True,0,qualified_runs_only,3,255.93468504761907,255.93468504761904,260.24168228571426,261.15415697142856,261.26821630714284,261.35946377571423,261.3822756428571,261.3822756428571,1,13948.761286082548,123.66666666666667,105,0,996.340091863039,0.0,12.333333333333334,1.1657176999997318,0,0
A,N,15,2,2,1.0,-12.220717999999977,-4.7237644399999965,-3.8907695999999987,52000506,0.2072770418130056,2,30,True,True,0,qualified_runs_only,2,257.39971729999996,257.39971729999996,257.39971729999996,267.35415337999996,268.59845788999996,269.593901498,269.84276239999997,269.84276239999997,1,15139.97879912983,128,115,1,1009.3319199419888,35.0,5.5,3.9838055000000168,0,0,2,30,True,True,0,qualified_runs_only,2,245.17899930000002,245.1789993,245.1789993,248.46947666,248.88078633,249.209834066,249.29209600000002,249.29209600000002,1,14383.42494752345,123,111,0,958.8949965015634,0.0,10,1.590702899999087,0,0
A,N,16,3,3,0.6666666666666666,-3.911751562500001,9.489098981249985,10.978082374999985,52000500,0.425482966869216,3,48,True,True,0,qualified_runs_only,3,229.30535266666666,229.30535266666666,228.5041818125,254.1402529125,257.34476179999996,259.90836891,260.5492706875,260.5492706875,1,14717.761546646085,108.66666666666667,96,2,919.8600966653803,70.00000000000001,4.666666666666667,4.349396199999319,0,0,3,48,True,True,0,qualified_runs_only,3,220.27299741666664,220.27299741666667,224.59243025,226.02718535,226.20652973749998,226.35000524749998,226.385874125,226.385874125,1,13690.173127384738,120.66666666666667,103,0,855.6358204615461,0.0,11.666666666666666,1.6547286000004533,0,0
A,k0,10,2,2,0.5,6.010365875000005,13.05099308749999,13.83328499999999,52000518,-0.2741224588590765,2,25,True,True,0,qualified_runs_only,2,240.7852088,240.9430845448718,240.9430845448718,244.10059944230767,244.49528880448716,244.81104029423076,244.88997816666665,244.88997816666665,1,11326.575548810582,114.5,105,1.5,906.1260439048466,52.50000000000003,1.5,3.5432457999995677,0,0,2,25,True,True,0,qualified_runs_only,2,247.10849144,246.95345041987179,246.95345041987179,250.0542708224359,250.44187337275642,250.75195541301284,250.82947592307693,250.82947592307693,1,11729.280713235352,115,105.5,0,938.3424570588281,0.0,9.5,1.2266020000006392,0,0
A,k0,12,1,1,0.0,10.978082374999985,10.978082374999985,10.978082374999985,52000500,-0.410410011087104,1,16,True,True,0,qualified_runs_only,1,198.8626055,198.8626055,198.8626055,198.8626055,198.8626055,198.8626055,198.8626055,198.8626055,1,12729.008439562687,93,79,4,795.563027472668,140.00000000000006,3,4.349396199999319,0,0,1,16,True,True,0,qualified_runs_only,1,209.840687875,209.840687875,209.840687875,209.840687875,209.840687875,209.840687875,209.840687875,209.840687875,1,13282.255031772309,106,91,0,830.1409394857693,0.0,10,1.4699084000003495,0,0
A,k0,2,1,1,1.0,-16.742549899999972,-16.742549899999972,-16.742549899999972,52000515,0.3819060889876236,1,10,True,True,0,qualified_runs_only,1,368.5287082,368.5287082,368.5287082,368.5287082,368.5287082,368.5287082,368.5287082,368.5287082,1,14396.43540756229,127,118,1,1439.643540756229,35.000000000000064,4,1.2117694999997184,0,0,1,10,True,True,0,qualified_runs_only,1,351.7861583,351.7861583,351.7861583,351.7861583,351.7861583,351.7861583,351.7861583,351.7861583,1,13414.307917253658,133,120,0,1341.430791725366,0.0,12,0.8442606999997224,0,0
