seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000518,A,13,10,10+,6,True,13.83328499999999,179.8327049999998,0,0,-759.1635257847793,1925.5604962882808,-0.3942558684851223,759.1635257847793,5,3,0,0,151.83270515695676,25.0,3.0,0.0,0.0
52000500,A,16,12,10+,6,True,10.978082374999985,175.64931799999977,4,0,-553.2465922096217,1348.0338619035356,-0.410410011087104,553.2465922096217,13,12,-4,-4,110.64931844192597,65.0,12.0,0.0,-12.0
52000510,J,12,10,10+,6,True,9.395711000000006,112.74853200000007,3,2,-608.742660531947,1012.580115034616,-0.6011797501189686,608.742660531947,-1,-1,-1,-1,121.74853210638912,-5.0,-1.0,0.0,-3.0
52000500,J,16,12,10+,6,True,0.6539452499999925,10.46312399999988,4,4,-22.315621456171357,1348.0338619035356,-0.016554199480315612,22.315621456171357,1,1,0,0,4.463124291233726,5.0,1.0,0.0,0.0
52000505,A,14,6,10+,6,True,-1.2764389285714515,-17.87014500000032,0,0,449.3507229132865,2108.7104929751495,0.21309265753180942,-449.3507229132865,13,7,0,0,-89.87014458266003,65.0,7.0,0.0,0.0
52000510,A,12,10,10+,6,True,-1.8125532499999792,-21.750638999999865,3,0,-46.2468030647633,1012.580115034616,-0.04567224101885736,46.2468030647633,-4,-2,-3,-3,9.249360612951932,-20.0,-2.0,0.0,-9.0
52000518,J,13,10,10+,6,True,-3.2392109230769393,-42.1097420000001,0,0,210.54870701659456,1925.5604962882808,0.10934411430980705,-210.54870701659456,0,0,0,0,-42.10974140331791,0.0,0.0,0.0,0.0
52000504,A,13,6,10+,6,True,-3.6162646153846083,-47.011439999999766,0,0,305.0572018735438,1122.3663394967534,0.2717982454911516,-305.0572018735438,3,-1,0,0,-61.011440374707945,15.0,-1.0,0.0,0.0
52000506,A,15,9,10+,6,True,-3.8907695999999987,-58.36154399999987,1,0,396.8077213717643,3962.8372992120403,0.10013222633456702,-396.8077213717643,4,4,-1,-1,-79.36154427435349,20.0,4.0,0.0,-3.0
52000507,A,16,7,10+,6,True,-3.911751562500001,-62.588025000000016,2,0,642.9401261585663,2110.0619646141276,0.3047020120454815,-642.9401261585663,13,7,-2,-2,-128.58802523171335,65.0,7.0,0.0,-6.0
