seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000000,E11,13,8,True,True,223.5825906923077,34.999999999999986,4,0,0,6,814.0667995842487,1.9929577999992034,7c6b808f40005ba9dbf0e14ff18554faf3c074f651d225e4017de2d6b4a2d86d,9459622c9aeac62e08ec3709b2753315c3677f5346838e69f34a6e83abb1db0b,10582.868394595233,122,112,14,13,1,0,2906.573679
52000000,A,13,8,True,True,224.30302992307693,0.0,11,65,0,6,800.7459186856181,1.1547902999991493,7c6b808f40005ba9dbf0e14ff18554faf3c074f651d225e4017de2d6b4a2d86d,c18398a808989b6302c6ba10b557cd99f2de4cdd86d8fc3b090a0da2d0d15d71,10409.696942913035,130,119,13,13,0,0,2915.939389
52000002,E11,15,9,True,True,203.7003114,34.99999999999999,3,0,0,6,743.1682237437211,2.2403307000004133,31ad689f0a7ad48e02d58f44011b938008daf198d6deb9eaf78ecc125f01f060,ebd2983d63cc3e14d615c2a40183e1d9d75f191e35f7537462acca00db05a837,11147.523356155816,126,118,16,15,1,0,3055.504671
52000002,A,15,9,True,True,198.85821586666668,0.0,5,74,0,6,716.6244125635164,1.2756697000004351,31ad689f0a7ad48e02d58f44011b938008daf198d6deb9eaf78ecc125f01f060,6ccb4ecf289b58d1525823ac031876c79b126770095119843738c2d5f993c24d,10749.366188452746,128,118,15,15,0,0,2982.873238
52000003,E11,16,5,True,True,249.0334184375,34.999999999999936,8,0,0,6,1006.4170921989353,2.685589799999434,e35373d9abd96487502a8783759d04c4a92606d0ee3d084c335a3b2102986fea,e3a5455f259d082e596fd862bf1d363dc23449e03a8cc8cad3c959c726d60522,16102.673475182964,115,106,17,16,1,0,3984.534695
52000003,A,16,5,True,True,234.8153190625,0.0,15,61,0,6,921.5765954120428,0.9321694999998726,e35373d9abd96487502a8783759d04c4a92606d0ee3d084c335a3b2102986fea,e54605ba49ae326bb4d99eaa5579a1d269a6e618370096cb3b5618391b551575,14745.225526592685,123,113,16,16,0,0,3757.045105
52000001,E11,14,7,True,True,255.76399864285713,105.00000000000003,4,0,0,6,1006.6771361512822,2.9557473000004393,5f14e6ff9327095b0df0e6450ec616455a4aca540e9d14311aff3d6b2e008fa6,2fe1a7b24d93be84107f19c9f492a30664a6dcbf89d2209d890fb3cbc727af00,14093.479906117951,116,103,17,14,3,0,3580.695981
52000001,A,14,7,True,True,245.60381664285714,0.0,6,58,0,6,958.7333690030683,0.8723916999988433,5f14e6ff9327095b0df0e6450ec616455a4aca540e9d14311aff3d6b2e008fa6,527f135d69a7158cbb86ea6ee917e8a7bc3c3a8fbc3e1d4d744e9c0861bfc4f2,13422.267166042957,116,104,14,14,0,0,3438.453433
52000004,E11,10,6,True,True,291.1913679,69.99999999999999,6,0,0,6,1108.4568395467923,1.9103228000003583,eb19711cdd3e0060d01f8fb4aa15b6b7b52f2dc8e96c008e22d0fad6567d2efb,a7ff65e8822436af77e8c19f9337f84f89e3f7644c5ef2eaa2d5dcd7ae94ad95,11084.568395467923,107,104,12,10,2,0,2911.913679
52000004,A,10,6,True,True,282.597987,0.0,10,43,0,6,1031.9899350389985,0.6402371000003768,eb19711cdd3e0060d01f8fb4aa15b6b7b52f2dc8e96c008e22d0fad6567d2efb,bcad839ae95e6abf13d28d2f31edd38674daed5fc299f8a59a3b6c2d99df92f9,10319.899350389986,120,112,10,10,0,0,2825.97987
52000005,E11,11,6,True,True,293.3211781818182,0.0,6,0,0,6,1120.2422545950117,1.3155921999987186,665223a001ece76f2c7e6b97410eea5a6a5ec29ad00cf4b6baad5a9e9e8afa6a,09450b4573a7c1226139fc7088c2940fe681be834c2aa8a453ca9eeff61496fb,12322.664800545128,119,112,11,11,0,0,3226.53296
