strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
A,N,10,3,3,0.6666666666666666,-8.5933809,32.16163274999999,36.68996759999999,52000018,-0.013063938380984151,3,30,True,True,0,qualified_runs_only,3,300.95394500000003,300.953945,293.897091,312.99811908,315.38574759,317.295850398,317.7733761,317.7733761,1,11212.697250528146,120.33333333333333,111.33333333333333,1.3333333333333333,1121.2697250528145,46.666666666666686,4.666666666666667,1.9103228000003583,0,0,3,30,True,True,0,qualified_runs_only,3,305.9023006,305.9023006,304.5218562,325.37401811999996,327.98053835999997,330.065754552,330.5870586,330.5870586,1,11231.781696657828,129,117.66666666666667,0,1123.178169665783,0.0,9.666666666666666,0.956687800000509,0,0
A,N,11,3,3,1.0,-6.30001309090909,-6.060735981818169,-6.0341496363636224,52000012,0.32542588170104236,3,33,True,True,0,qualified_runs_only,3,288.67703954545453,288.67703954545453,293.3211781818182,307.0129007272727,308.72436604545453,310.0935383,310.43583136363634,310.43583136363634,1,12082.237175519585,118.66666666666667,108.66666666666667,0.6666666666666666,1098.3851977745078,23.333333333333353,4.666666666666667,1.67359260000012,0,0,3,33,True,True,0,qualified_runs_only,3,281.9689977575757,281.9689977575758,287.0211650909091,299.520928,301.0833983636364,302.3333746545455,302.6458687272727,302.6458687272727,1,11573.29487526367,124,112,0,1052.117715933061,0.0,9,0.9230296999994607,0,0
A,N,12,2,2,1.0,-34.5156380833333,-27.27247070833332,-26.46767433333332,52000006,0.6186683146233725,2,24,True,True,0,qualified_runs_only,2,315.00590366666665,315.00590366666665,315.00590366666665,316.6870707333333,316.89721661666664,317.0653333233333,317.10736249999997,317.10736249999997,1,15027.85421946843,120,110,1.5,1252.3211849557026,52.500000000000014,6.5,2.048280799999702,0,0,2,24,True,True,0,qualified_runs_only,2,280.4902655833334,280.4902655833333,280.4902655833333,285.2474695166667,285.8421200083334,286.3178404016667,286.4367705,286.4367705,1,12779.415933484208,126.5,117.5,0,1064.9513277903507,0.0,12,0.8423394999990705,0,0
A,N,13,3,3,0.6666666666666666,-0.6626722307692603,0.5821280846153938,0.7204392307692444,52000000,0.4872089230762815,3,39,True,True,0,qualified_runs_only,3,255.0209182051282,255.02091820512823,256.5036751538462,279.2819260461539,282.1292074076923,284.4070324969231,284.9764887692308,284.9764887692308,1,12779.69301644214,116.66666666666667,108,1,983.0533089570878,35.000000000000014,5,1.9929577999992034,0,0,3,39,True,True,0,qualified_runs_only,3,246.77562164102565,246.77562164102565,255.84100292307693,259.31446624615387,259.7486491615385,260.09599549384615,260.1828320769231,260.1828320769231,1,12042.08207245699,124.33333333333333,113,0,926.3140055736145,0.0,11.333333333333334,1.1547902999991493,0,0
A,N,14,3,3,1.0,-15.946111071428561,-10.738774907142849,-10.160181999999992,52000001,0.3428017042417738,3,42,True,True,0,qualified_runs_only,3,276.1764514047619,276.1764514047619,272.86247435714284,294.4947998428571,297.1988405285714,299.36207307714284,299.9028812142857,299.9028812142857,1,15642.351598007988,112.33333333333333,100.33333333333333,2,1117.310828429142,69.99999999999996,6,2.9557473000004393,0,0,3,42,True,True,0,qualified_runs_only,3,257.78149154761905,257.78149154761905,256.9163632857143,268.0427084285714,269.43350157142856,270.5461360857143,270.8242947142857,270.8242947142857,1,14306.371075005542,115,102.66666666666667,0,1021.8836482146816,0.0,10,0.8723916999988433,0,0
A,N,15,3,3,1.0,-4.842095533333321,-1.3006202533333182,-0.9071229999999844,52000009,0.532614136792831,3,45,True,True,0,qualified_runs_only,3,230.8416411111111,230.8416411111111,217.08067586666667,260.81128402666667,266.27761004666667,270.6506708626667,271.74393606666666,271.74393606666666,1,13444.78975177699,117,108.66666666666667,1.6666666666666667,896.3193167851327,58.33333333333329,5,2.866570899999715,0,0,3,45,True,True,0,qualified_runs_only,3,218.19307235555559,218.19307235555556,216.17355286666668,234.87266924,237.21005878666668,239.079970424,239.54744833333334,239.54744833333334,1,12259.480427128396,126.33333333333333,114.33333333333333,0,817.2986951418931,0.0,9.333333333333334,1.4078436999989208,0,0
A,N,16,3,3,1.0,-15.308310750000004,-14.327120512499983,-14.21809937499998,52000003,0.43155950040906993,3,48,True,True,0,qualified_runs_only,3,238.19497110416668,238.19497110416665,235.633838625,246.353502475,247.69346045625,248.76542684125,249.0334184375,249.0334184375,1,15652.264355104337,100.66666666666667,93.33333333333333,1.3333333333333333,978.266522194021,46.66666666666665,6.333333333333333,3.916882000001351,0,0,3,48,True,True,0,qualified_runs_only,3,220.55144858333333,220.55144858333333,214.6093455,230.77412435,232.79472170625002,234.41119959125,234.8153190625,234.8153190625,1,13847.449219917078,115.33333333333333,102.66666666666667,0,865.4655762448174,0.0,12,1.1773895000005723,0,0
A,k0,10,2,2,1.0,-12.155640218749994,-2.0319747218749846,-0.9071229999999844,52000009,0.457292461704702,2,31,True,True,0,qualified_runs_only,2,226.6565018064516,226.35725724583335,226.35725724583335,233.77852234916668,234.70618048708334,235.44830699741667,235.633838625,235.633838625,1,14070.878891815308,104,95.5,2,907.7986381816328,69.99999999999994,5.5,3.916882000001351,0,0,2,31,True,True,0,qualified_runs_only,2,214.1380061935484,214.20161702708333,214.20161702708333,215.77916569875,215.97635928270836,216.13411414987502,216.17355286666668,216.17355286666668,1,12590.69548040354,123,108.5,0,812.3029342195832,0.0,9,1.4078436999989208,0,0
A,k0,2,1,1,0.0,36.68996759999999,36.68996759999999,36.68996759999999,52000018,-1.0545030974306968,1,10,True,True,0,qualified_runs_only,1,293.897091,293.897091,293.897091,293.897091,293.897091,293.897091,293.897091,293.897091,1,10864.854548932964,120,113,1,1086.4854548932965,35.000000000000085,4,0.9555655999993178,0,0,1,10,True,True,0,qualified_runs_only,1,330.5870586,330.5870586,330.5870586,330.5870586,330.5870586,330.5870586,330.5870586,330.5870586,1,12494.352930685454,128,117,0,1249.4352930685454,0.0,10,0.6024940999996033,0,0
A,k0,3,2,2,1.0,-25.176782234848446,-9.528644596212096,-7.789962636363612,52000019,0.5779414234086939,2,23,True,True,0,qualified_runs_only,2,313.9166302173913,313.7715969318182,313.7715969318182,316.4402093863636,316.7737859431818,317.04064718863634,317.10736249999997,317.10736249999997,1,14117.706236975617,123.5,111.5,0,1227.6266293022275,0.0,6,1.4726949999985663,0,0,2,23,True,True,0,qualified_runs_only,2,287.9838993043478,288.5948146969697,288.5948146969697,299.83565792121215,301.24076332424244,302.36484764666665,302.6458687272727,302.6458687272727,1,12486.574208591624,128,117,0,1085.789061616663,0.0,11,0.8423394999990705,0,0
