seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000018,A,10,2,10+,6,True,36.68996759999999,366.899676,1,0,-1629.4983817524899,1545.2760506088343,-1.0545030974306968,1629.4983817524899,8,4,-1,-1,325.8996763504988,40.0,4.0,0.0,-3.0
52000000,A,13,8,10+,6,True,0.7204392307692444,9.365710000000036,1,0,173.17145168219758,675.484374609432,0.2563663323556908,-173.17145168219758,8,7,-1,-1,-34.6342903364407,40.0,7.0,0.0,-3.0
52000014,A,13,4,10+,6,True,-0.6626722307692603,-8.6147390000001,1,0,348.0736923325003,673.0363294698673,0.5171692479166298,-348.0736923325003,11,9,-1,-1,-69.6147384664996,55.0,9.0,0.0,-3.0
52000009,A,15,10,10+,6,True,-0.9071229999999844,-13.606844999999794,4,0,463.03422541605323,1410.3701839959303,0.3283068733799816,-463.03422541605323,16,11,-4,-4,-92.60684508321083,80.0,11.0,0.0,-12.0
52000002,A,15,9,10+,6,True,-4.842095533333321,-72.63143300000002,1,0,398.1571677030697,964.5590046127691,0.4127867406752514,-398.1571677030697,2,0,-1,-1,-79.63143354061413,10.0,0.0,0.0,-3.0
52000012,A,11,7,10+,6,True,-6.0341496363636224,-66.37564599999996,2,0,476.87823354512693,692.2672461167913,0.6888643601443388,-476.87823354512693,6,5,-2,-2,-95.37564670902611,30.0,5.0,0.0,-6.0
52000005,A,11,6,10+,6,True,-6.30001309090909,-69.30014399999982,0,0,456.5007211300872,1919.7175640555706,0.2377957725019141,-456.5007211300872,4,2,0,0,-91.30014422601744,20.0,2.0,0.0,0.0
52000019,A,11,3,10+,6,True,-7.789962636363612,-85.68958900000007,0,0,593.4479460925322,2079.7959811612236,0.28533950034906275,-593.4479460925322,6,3,0,0,-118.68958921850754,30.0,3.0,0.0,0.0
52000004,A,10,6,10+,6,True,-8.5933809,-85.93380899999966,2,0,764.669045077937,1564.08004526066,0.4888938052722883,-764.669045077937,13,8,-2,-2,-152.9338090155884,65.0,8.0,0.0,-6.0
52000001,A,14,7,10+,6,True,-10.160181999999992,-142.24254799999972,3,0,671.2127400749941,2160.4205295414486,0.3106861515602519,-671.2127400749941,0,1,-3,-3,-134.242548015,0.0,1.0,0.0,-9.0
