seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000600,J,11,3,10+,6,True,-6.888052000000073,-75.7685720000004,1,0,573.8428615520661,2173.702749381753,0.26399325377643246,-573.8428615520661,7,7,-1,-1,-114.76857231041276,35.0,7.0,0.0,-3.0
52000600,K,11,3,10+,6,True,3.000360090909055,33.00396099999989,1,0,19.98019460429896,2173.702749381753,0.009191778687302919,-19.98019460429896,7,5,-1,-1,-3.9960389208599736,35.0,5.0,0.0,-3.0
52000601,J,12,5,10+,6,True,-5.442584583333314,-65.31101499999977,1,2,266.55507499984924,849.377371944478,0.31382408315119725,-266.55507499984924,-2,-5,1,1,-53.311014999970666,-10.0,-5.0,0.0,3.0
52000601,K,12,5,10+,6,True,-3.3285339999999906,-39.94240799999989,1,2,164.71203875197352,849.377371944478,0.1939209168886835,-164.71203875197352,-1,-5,1,1,-32.94240775039543,-5.0,-5.0,0.0,3.0
52000602,J,13,9,10+,6,True,-5.597664000000009,-72.769632,0,1,353.8481584958681,1057.7126642322219,0.33454091121497664,-353.8481584958681,-1,0,1,1,-70.76963169917417,-5.0,0.0,0.0,3.0
52000602,K,13,9,10+,6,True,-6.715982923076922,-87.30777799999987,0,1,401.5388895901633,1057.7126642322219,0.3796294619216217,-401.5388895901633,-2,0,1,1,-80.30777791803303,-10.0,0.0,0.0,3.0
52000603,J,14,7,10+,6,True,1.0777230714285793,15.088122999999996,2,5,-10.440617466851108,2032.5899167831903,-0.005136607921077656,10.440617466851108,-1,9,3,3,2.0881234933708583,-5.0,9.0,0.0,9.0
52000603,K,14,7,10+,6,True,4.294899857142866,60.12859800000024,2,5,-350.6429921064373,2032.5899167831903,-0.172510445521333,350.6429921064373,-5,6,3,3,70.12859842128819,-25.0,6.0,0.0,9.0
52000606,J,10,5,10+,6,True,-5.435076999999978,-54.35077000000001,0,0,211.75385149213616,1339.649458403912,0.158066612249763,-211.75385149213616,-2,-2,0,0,-42.35077029842705,-10.0,-2.0,0.0,0.0
52000606,K,10,5,10+,6,True,-1.1971053999999413,-11.97105399999964,0,0,-0.14472738572840171,1339.649458403912,-0.0001080337731788681,0.14472738572840171,-2,-2,0,0,0.028945477145498444,-10.0,-2.0,0.0,0.0
52000604,J,15,7,10+,6,True,-11.11263393333337,-166.68950900000027,1,0,843.4475460887243,3730.155094211721,0.22611594552664752,-843.4475460887243,0,5,-1,-1,-168.6895092177465,0.0,5.0,0.0,-3.0
52000604,K,15,7,10+,6,True,-4.527562933333343,-67.91344400000025,1,0,334.56721955139255,3730.155094211721,0.08969257607292475,-334.56721955139255,0,2,-1,-1,-66.91344391027997,0.0,2.0,0.0,-3.0
52000605,J,16,9,10+,6,True,-37.6120444375,-601.792711,0,0,3243.963556614657,4373.288569177335,0.741767552106648,-3243.963556614657,8,7,0,0,-648.7927113229321,40.0,7.0,0.0,0.0
52000605,K,16,9,10+,6,True,-33.7499853125,-539.999765,0,0,2969.998827990881,4373.288569177335,0.679122536967546,-2969.998827990881,10,4,0,0,-593.9997655981779,50.0,4.0,0.0,0.0
52000607,J,11,7,10+,6,True,-33.89293954545451,-372.82233499999984,0,0,1819.111674017273,2844.1638302986103,0.6395945460800981,-1819.111674017273,-2,1,0,0,-363.82233480345303,-10.0,1.0,0.0,0.0
52000607,K,11,7,10+,6,True,-25.601045090909054,-281.611496,0,0,1308.0574777973598,2844.1638302986103,0.4599093286619942,-1308.0574777973598,-4,0,0,0,-261.6114955594703,-20.0,0.0,0.0,0.0
52000608,J,12,8,10+,6,True,-20.33527141666667,-244.02325699999983,0,0,1285.1162875801856,3059.7794397922353,0.4200029161799477,-1285.1162875801856,2,3,0,0,-257.0232575160371,10.0,3.0,0.0,0.0
52000608,K,12,8,10+,6,True,-18.373988499999996,-220.48786199999995,0,0,1282.4393109704815,3059.7794397922353,0.41912802416162437,-1282.4393109704815,6,6,0,0,-256.4878621940966,30.0,6.0,0.0,0.0
52000609,J,13,8,10+,6,True,-4.140085538461506,-53.821112000000085,0,2,319.10556090190585,1996.371659817598,0.15984276240981177,-319.10556090190585,1,-1,2,2,-63.82111218038108,5.0,-1.0,0.0,6.0
52000609,K,13,8,10+,6,True,-4.432605461538458,-57.62387099999978,0,3,403.1193524274895,1996.371659817598,0.2019260043314386,-403.1193524274895,3,-1,3,3,-80.62387048549817,15.0,-1.0,0.0,9.0
52000610,J,14,7,10+,6,True,-26.57690199999999,-372.0766279999998,3,3,2050.3831439568694,4929.373497766013,0.4159520768483258,-2050.3831439568694,6,8,0,0,-410.0766287913725,30.0,8.0,0.0,0.0
52000610,K,14,7,10+,6,True,-22.307806785714263,-312.309295,3,3,1746.5464767874237,4929.373497766013,0.3543140883073593,-1746.5464767874237,6,7,0,0,-349.3092953574828,30.0,7.0,0.0,0.0
52000611,J,15,6,10+,6,True,-18.798601400000024,-281.9790210000001,2,0,1169.8951025051792,3188.7940657008585,0.36687696928714975,-1169.8951025051792,-7,-7,-2,-2,-233.97902050103585,-35.0,-7.0,0.0,-6.0
52000611,K,15,6,10+,6,True,-15.850908866666686,-237.76363300000003,2,0,1148.818164219876,3188.7940657008585,0.36026727990268625,-1148.818164219876,0,-2,-2,-2,-229.76363284397576,0.0,-2.0,0.0,-6.0
52000613,J,10,4,10+,6,True,-43.493072299999994,-434.93072299999994,1,0,2104.653611530408,2649.8687162418646,0.7942482578968291,-2104.653611530408,-2,-1,-1,-1,-420.93072230608095,-10.0,-1.0,0.0,-3.0
52000613,K,10,4,10+,6,True,-42.34578190000002,-423.45781899999974,1,0,2102.289090366363,2649.8687162418646,0.7933559415531732,-2102.289090366363,0,0,-1,-1,-420.4578180732724,0.0,0.0,0.0,-3.0
52000614,J,11,3,10+,6,True,2.3218351818181873,25.54018700000006,0,1,47.2990605670002,2947.8399466060364,0.016045328587618014,-47.2990605670002,5,7,1,1,-9.459812113398584,25.0,7.0,0.0,3.0
52000614,K,11,3,10+,6,True,0.3281399090909076,3.6095390000000407,0,0,136.95230077709857,2947.8399466060364,0.04645852666959654,-136.95230077709857,5,6,0,0,-27.390460155419078,25.0,6.0,0.0,0.0
52000612,J,16,9,10+,6,True,-17.89626387499999,-286.3402219999998,1,0,1346.7011108716251,3130.796581724884,0.43014647413779666,-1346.7011108716251,-2,-4,-1,-1,-269.34022217432585,-10.0,-4.0,0.0,-3.0
52000612,K,16,9,10+,6,True,-15.722057999999976,-251.5529279999996,1,1,1307.7646417706965,3130.796581724884,0.41770987275391597,-1307.7646417706965,2,0,0,0,-261.5529283541391,10.0,0.0,0.0,0.0
52000616,J,13,5,10+,6,True,-16.100403230769217,-209.3052419999999,1,2,1201.5262071247562,2389.678971561236,0.5027981672114601,-1201.5262071247562,5,3,1,1,-240.3052414249505,25.0,3.0,0.0,3.0
52000616,K,13,5,10+,6,True,-6.973720923076911,-90.65837199999987,1,2,553.2918573107054,2389.678971561236,0.23153396916290653,-553.2918573107054,3,2,1,1,-110.65837146214108,15.0,2.0,0.0,3.0
52000615,J,12,5,10+,6,True,-9.066160999999965,-108.79393200000004,1,2,593.96965800426,2066.92859814654,0.28736825187715026,-593.96965800426,1,2,1,1,-118.79393160085101,5.0,2.0,0.0,3.0
52000615,K,12,5,10+,6,True,-6.294310249999967,-75.53172300000006,1,1,442.6586146741265,2066.92859814654,0.2141625090828334,-442.6586146741265,2,3,0,0,-88.5317229348243,10.0,3.0,0.0,0.0
52000617,J,14,4,10+,6,True,-22.08696642857143,-309.21753000000035,0,1,1496.0876483970824,4172.774050531072,0.35853550426644215,-1496.0876483970824,-2,-3,1,1,-299.21752967941757,-10.0,-3.0,0.0,3.0
52000617,K,14,4,10+,6,True,-16.93587099999999,-237.10219400000005,0,1,1155.5109689526325,4172.774050531072,0.2769167357157931,-1155.5109689526325,-1,-4,1,1,-231.1021937905275,-5.0,-4.0,0.0,3.0
52000619,J,16,9,10+,6,True,-8.105954687500002,-129.69527500000004,0,0,693.4763728534144,1706.8200529736441,0.4062972963349188,-693.4763728534144,2,-1,0,0,-138.69527457068216,10.0,-1.0,0.0,0.0
52000619,K,16,9,10+,6,True,-5.892619000000025,-94.2819040000004,0,1,621.4095192126479,1706.8200529736441,0.36407441905197924,-621.4095192126479,5,2,1,1,-124.28190384252866,25.0,2.0,0.0,3.0
52000618,J,15,7,10+,6,True,18.436536800000027,276.5480520000001,1,2,-1672.7402601036356,1097.729440099667,-1.5238183463055897,1672.7402601036356,-10,-11,1,1,334.5480520207284,-50.0,-11.0,0.0,3.0
52000618,K,15,7,10+,6,True,23.27565420000002,349.1348130000001,1,1,-2215.6740656857673,1097.729440099667,-2.01841545352432,2215.6740656857673,-16,-14,0,0,443.13481313715465,-80.0,-14.0,0.0,0.0
