seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000600,E11,11,3,True,True,310.8436854545455,35.0,6,0,0,6,1220.1275182982067,1.928423000001203,45b9553bb5d8b46cc682662da3cff5555926705398528cb8d95966aa0dd8eda8,45fb84f902450c6d98696d2298a20b240b1df619d3f489bf30d97bc0711adc82,13421.402701280274,114,107,12,11,1,0,3419.28054
52000600,J,11,3,True,True,303.9556334545454,0.0,5,38,0,6,1167.9599854298372,0.7842636000004859,45b9553bb5d8b46cc682662da3cff5555926705398528cb8d95966aa0dd8eda8,64390bf99e88ed773c6195e1fed2155d818a4d8b651c5e448da91291292cde7c,12847.559839728208,121,114,11,11,0,0,3343.511968
52000600,K,11,3,True,True,313.84404554545455,0.0,6,38,0,6,1218.3111369705432,0.6961670000000595,45b9553bb5d8b46cc682662da3cff5555926705398528cb8d95966aa0dd8eda8,ab9df1552b309720861ce44d90accc529406d48d78845ba50ba467ea171fac05,13401.422506675975,121,112,11,11,0,0,3452.284501
52000601,E11,12,5,True,True,262.57040624999996,34.999999999999986,4,0,0,6,973.2686979898093,1.7247547999995732,1cd7fc8b3f32a05869ada7d195057827d155e8cf1091e25e4adaa56efbfc9d04,ac6f05f4b1c4651692f821ccc02b427287de75647a84c24e3192860d398b154d,11679.224375877711,127,117,13,12,1,0,3150.844875
52000601,J,12,5,True,True,257.12782166666665,69.99999999999993,5,46,0,6,951.0557750731551,0.8687779000010778,1cd7fc8b3f32a05869ada7d195057827d155e8cf1091e25e4adaa56efbfc9d04,3e72f145200f5207fd9f834dd9415a5135d6ba068ecb903565ba5e216e00cbf0,11412.669300877862,125,112,14,12,2,0,3085.53386
52000601,K,12,5,True,True,259.24187225,69.99999999999986,6,47,0,6,959.5426947604782,0.8142036000008375,1cd7fc8b3f32a05869ada7d195057827d155e8cf1091e25e4adaa56efbfc9d04,2a610279506afee89e20d1da73ba909a738c8a998cbc5ed20f1452f285d2ec8b,11514.512337125738,126,112,14,12,2,0,3110.902467
52000602,E11,13,9,True,True,232.43809630769232,0.0,3,0,0,6,904.1135583181738,3.3599011999995128,d5db03d35f91683dd06c1bb14ca7bcfb91aff1dc71082804e7023a6346bf5c70,6d6a4611d313110c8925554347ad0023f1bcc9a46e16fee0fa60f26bff9c8982,11753.47625813626,103,91,13,13,0,0,3021.695252
52000602,J,13,9,True,True,226.8404323076923,35.00000000000006,3,46,0,6,876.8944692031071,0.9566049999993993,d5db03d35f91683dd06c1bb14ca7bcfb91aff1dc71082804e7023a6346bf5c70,3681f1fe5194a2d7bfdad8b7de8a9a2a9b8214091932e165b6801453898a4d0a,11399.628099640391,102,91,14,13,1,0,2948.92562
52000602,K,13,9,True,True,225.7221133846154,35.00000000000006,4,45,0,6,873.2259514266227,0.9636819000006653,d5db03d35f91683dd06c1bb14ca7bcfb91aff1dc71082804e7023a6346bf5c70,ad9cb1f9c226ad75e11a038efbf6f47ab9c65de56b19eaca62f8c7ed02751d7f,11351.937368546096,101,91,14,13,1,0,2934.387474
52000603,E11,14,7,True,True,260.78932392857143,70.00000000000006,6,0,0,6,1026.8037624652438,3.291506499999741,842723e8851eb7957b49d95af37309d9bb8edac442333ba0fbf6ca07cfa528b8,dc798d8871462caf1c07926c9e2ab59662b9e4d0eb6a066548a044463353f420,14375.252674513415,120,100,16,14,2,0,3651.050535
52000603,J,14,7,True,True,261.867047,175.00000000000014,6,58,0,6,1027.5495208557334,1.104000499999529,842723e8851eb7957b49d95af37309d9bb8edac442333ba0fbf6ca07cfa528b8,83ba1589d5b96fc2e81e6d6f3539780e296670935a22e1219b25d9163228e046,14385.693291980266,119,109,19,14,5,0,3666.138658
52000603,K,14,7,True,True,265.0842237857143,174.99999999999994,6,54,0,6,1051.8496904728465,0.9753780999999435,842723e8851eb7957b49d95af37309d9bb8edac442333ba0fbf6ca07cfa528b8,20a57650ae51f9471b0888a166caaa4853ca7b3489d6cf910d5a9e9c207c34de,14725.895666619852,115,106,19,14,5,0,3711.179133
52000606,E11,10,5,True,True,280.17311209999997,0.0,3,0,0,6,1030.8655605783956,1.5138595000007626,85d9b2b17d9d73bac2ccc8ec8cb389d11eda787b178128c8fadb839c493755f9,0c0e596a39bdc8b7c5cc5804e5e32d52cb9c23385c437c034fcaf398115c9f5a,10308.655605783955,116,110,10,10,0,0,2801.731121
52000606,J,10,5,True,True,274.7380351,0.0,5,29,0,6,1009.6901754291819,0.4880874999998923,85d9b2b17d9d73bac2ccc8ec8cb389d11eda787b178128c8fadb839c493755f9,0639ab107e6012eb2e54b71ca9c390223b2184162439b682d00091f0078596a5,10096.901754291819,114,108,10,10,0,0,2747.380351
52000606,K,10,5,True,True,278.9760067,0.0,5,29,0,6,1030.8800333169684,0.46753939999871363,85d9b2b17d9d73bac2ccc8ec8cb389d11eda787b178128c8fadb839c493755f9,322733d33e3acf1cdb4e9794c299c465e25cfdfc1123a43a79f2753fd72510a0,10308.800333169684,114,108,10,10,0,0,2789.760067
52000604,E11,15,7,True,True,264.58082,34.999999999999936,6,0,0,6,1066.23743324996,3.0856745000000956,d2f63b7ec02dd5088e0a8051840bc2a9c2a2009abc06d5ae737d6c1d763aabd2,35bbb4020b51ed4bc3f3f0793375b4153c445cae0419bef7b93f0cb850ddc394,15993.561498749403,117,107,16,15,1,0,3968.7123
52000604,J,15,7,True,True,253.46818606666665,0.0,7,52,0,6,1010.0075968440452,0.911077300001125,d2f63b7ec02dd5088e0a8051840bc2a9c2a2009abc06d5ae737d6c1d763aabd2,c9fa3de7b3a22098a6279f489767400b22886e309ff83a7dc419510b9d729035,15150.113952660678,117,112,15,15,0,0,3802.022791
52000604,K,15,7,True,True,260.0532570666667,0.0,9,52,0,6,1043.932951946534,0.931698200000028,d2f63b7ec02dd5088e0a8051840bc2a9c2a2009abc06d5ae737d6c1d763aabd2,fdbd9afd0273627602e6c69fb8bb02a59ca4a4bb3858eb0665cbb68c7b7ca1f5,15658.99427919801,117,109,15,15,0,0,3900.798856
52000605,E11,16,9,True,True,244.305916875,0.0,5,0,0,6,1011.2170844269167,3.0399475999984134,d60eb452a6a0c48685201bf254b2cd6fbfc441dd7d87c51be39461a95a94ae1b,8c39b20ca4b788a3d8def43036463586cd3c5753a84ab300d649fb7c10b758d8,16179.473350830667,101,88,16,16,0,0,3908.89467
52000605,J,16,9,True,True,206.6938724375,0.0,6,58,0,6,808.4693621385006,0.9844744999991235,d60eb452a6a0c48685201bf254b2cd6fbfc441dd7d87c51be39461a95a94ae1b,3b44c3ea467f20cbd3153ce07a9f0fe820ce0a7271094ad7511e2cb3330b28ed,12935.50979421601,109,95,16,16,0,0,3307.101959
52000605,K,16,9,True,True,210.5559315625,0.0,7,75,0,6,825.5921576774866,1.526773100000355,d60eb452a6a0c48685201bf254b2cd6fbfc441dd7d87c51be39461a95a94ae1b,b7e7538d9f6aa88327b2f3dee65c3b3e9f1d140b88c82fa97d2ab44b670cd352,13209.474522839786,111,92,16,16,0,0,3368.894905
52000607,E11,11,7,True,True,326.918936,0.0,5,0,0,6,1271.8674071425644,2.220826400000078,8b86d4de5b72706d62211031fafdc5fe8f8fd62be2afc6b1f4ec248657844536,b996df70e42340ed6ed786c61283ae7c05ab2e89817f107e229df1a1bd49fb8f,13990.541478568208,125,118,11,11,0,0,3596.108296
52000607,J,11,7,True,True,293.02599645454546,0.0,5,47,0,6,1106.4936185955396,0.9295545000004495,8b86d4de5b72706d62211031fafdc5fe8f8fd62be2afc6b1f4ec248657844536,358bf17df9beedd285425ac37a8e40ee6a22f525e3329a3669e7bd3032329bce,12171.429804550935,123,119,11,11,0,0,3223.285961
52000607,K,11,7,True,True,301.3178909090909,0.0,5,45,0,6,1152.953090979168,0.8938099000006332,8b86d4de5b72706d62211031fafdc5fe8f8fd62be2afc6b1f4ec248657844536,f1b3be23fe60725d485cabf45e28e6b65c98fd67799b0788a80e89673c6678d4,12682.484000770848,121,118,11,11,0,0,3314.4968
52000608,E11,12,8,True,True,288.716204,0.0,5,0,0,6,1155.6643533554454,1.9218186999987665,009cad71ddf283ca3bb7888d9f6281b76ec87f68279800a71bc2a93c2971141e,bc6e264c2547ca83911144355d392dd017a0183807608ed79c48afc119b22cc3,13867.972240265344,106,101,12,12,0,0,3464.594448
52000608,J,12,8,True,True,268.38093258333333,0.0,7,37,0,6,1048.5713293904298,0.5664980000001378,009cad71ddf283ca3bb7888d9f6281b76ec87f68279800a71bc2a93c2971141e,2921adaf1d70349259dba84d737495eace189e8eada3bc75e827b18f0f06d843,12582.855952685159,108,104,12,12,0,0,3220.571191
52000608,K,12,8,True,True,270.3422155,0.0,6,41,0,6,1048.7944107745718,0.7805081999995309,009cad71ddf283ca3bb7888d9f6281b76ec87f68279800a71bc2a93c2971141e,4b093a79e8db673f382d7925b715369d55ce359efe23b6a15c73e8d0f862d34a,12585.532929294863,112,107,12,12,0,0,3244.106586
52000609,E11,13,8,True,True,261.3522363076923,0.0,3,0,0,6,1031.761181505641,2.41791000000012,e672e7c739c5eec4c372cf64cae0fb3f96996efc09bd5175108c2a0d77526b4d,c7bd8629eb1d374a511af6a0e132ac668da889289ed7cf605714083853e2d011,13412.895359573331,110,100,13,13,0,0,3397.579072
52000609,J,13,8,True,True,257.2121507692308,69.99999999999991,4,47,0,6,1007.2145998978019,0.8041322000008222,e672e7c739c5eec4c372cf64cae0fb3f96996efc09bd5175108c2a0d77526b4d,d38037a322480923f9ecefe17d436acde6c113c825727473e7a791cd17749ae6,13093.789798671425,111,99,15,13,2,0,3343.75796
52000609,K,13,8,True,True,256.91963084615384,104.99999999999983,5,49,0,6,1000.7520005496801,0.8194199999998091,e672e7c739c5eec4c372cf64cae0fb3f96996efc09bd5175108c2a0d77526b4d,03e98f5bb5b0321b62d75e6b27f674375ee23bddee2476ca6dc3e177a3f475c2,13009.776007145842,113,99,16,13,3,0,3339.955201
52000610,E11,14,7,True,True,282.46397135714284,105.0,5,0,0,6,1147.6769997979125,2.514135899999019,c5ba470caf5861bd83755579df81987b72c3786665faee641215f7b6fc288085,792fb455927b2d696fd404b0833b8ff09ebc748b97c8d8c15cf480b23e8e4f8e,16067.477997170776,112,102,17,14,3,0,3954.495599
52000610,J,14,7,True,True,255.88706935714285,104.99999999999997,6,55,0,6,1001.2210609438505,1.094568900000013,c5ba470caf5861bd83755579df81987b72c3786665faee641215f7b6fc288085,3860941450a8bccf8b1ea00e50c2e19054ceea9c016e2c491f3cdcbd2056d6af,14017.094853213906,118,110,17,14,3,0,3582.418971
52000610,K,14,7,True,True,260.1561645714286,105.0,6,55,0,6,1022.9236800273823,0.9337232000016229,c5ba470caf5861bd83755579df81987b72c3786665faee641215f7b6fc288085,b70741187a4a39c5af35c0eec2790640175ae2bff752222562a3b0282b167bab,14320.931520383352,118,109,17,14,3,0,3642.186304
52000611,E11,15,6,True,True,254.9240134,70.00000000000003,6,0,0,6,992.9534002631074,2.3358652999995684,206604b1af12e979c79254f35fb285d4f45d7071d99be0e30f2714ee24c486b6,378f36b7f569164e121fd1fc018e4fe00c18ce9d96fedb966259c6a41dc87340,14894.30100394661,130,114,17,15,2,0,3823.860201
52000611,J,15,6,True,True,236.12541199999998,0.0,7,55,0,6,914.9603934294287,1.1002392000009422,206604b1af12e979c79254f35fb285d4f45d7071d99be0e30f2714ee24c486b6,f62d2a401d7b20deeafa885bc9cf64942c779e1af2d4ff07dde0f717b48fc7f8,13724.40590144143,123,107,15,15,0,0,3541.88118
52000611,K,15,6,True,True,239.07310453333332,0.0,7,62,0,6,916.365522648449,1.2377675000007002,206604b1af12e979c79254f35fb285d4f45d7071d99be0e30f2714ee24c486b6,276cee241427f88ff88f3fd5046ae125bab26233cde56766f79860b8b9344a0b,13745.482839726734,130,112,15,15,0,0,3586.096568
52000613,E11,10,4,True,True,333.0503883,35.0,3,0,0,6,1230.2519412671486,0.693484499999613,f2fadfb2cb3bdd7291b65906083d523e31afbc6e174f14c82d60c799974333ec,4d0f64252a706c83ea9bbfb2d565c21b3d1f97f5039a73a731e73768f3fe975a,12302.519412671487,138,127,11,10,1,0,3330.503883
52000613,J,10,4,True,True,289.557316,0.0,4,40,0,6,1019.7865801141079,0.7091909999999189,f2fadfb2cb3bdd7291b65906083d523e31afbc6e174f14c82d60c799974333ec,bd6aa65979a11d0b820e12b3f0b285ed26dee2d25bc20474828f4d0099f84976,10197.865801141079,136,126,10,10,0,0,2895.57316
52000613,K,10,4,True,True,290.7046064,0.0,4,42,0,6,1020.0230322305124,0.8044917000006535,f2fadfb2cb3bdd7291b65906083d523e31afbc6e174f14c82d60c799974333ec,0867c1f0a6a99ad7913101209abd2f65163050b8286b4fda1c565431aac1e9b9,10200.230322305124,138,127,10,10,0,0,2907.046064
52000614,E11,11,3,True,True,307.66906836363637,0.0,5,0,0,6,1180.163523421476,1.2108817000007548,445331a5e53b0fd48da6ab48166e2391f914502f0bba764ed973d9bad7dec476,5fd3b2d8e0784b1142c76f03ae2ecbe9ab10530b212620a0f553447f169a63f7,12981.798757636236,124,113,11,11,0,0,3384.359752
52000614,J,11,3,True,True,309.99090354545456,35.00000000000009,7,40,0,6,1175.863608824476,0.677661600000647,445331a5e53b0fd48da6ab48166e2391f914502f0bba764ed973d9bad7dec476,c1756a374ec4c30b35c11fdd0501017644c2f162222fc41c19650ad7be05d7fe,12934.499697069235,129,120,12,11,1,0,3409.899939
52000614,K,11,3,True,True,307.9972082727273,0.0,10,40,0,6,1167.7133142599216,0.6359565000002476,445331a5e53b0fd48da6ab48166e2391f914502f0bba764ed973d9bad7dec476,3545438e719df585e85e56cfa66d899dff0736e9ce20247805c2cc9718a07a70,12844.846456859137,129,119,11,11,0,0,3387.969291
