seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000618,K,15,7,10+,6,True,23.27565420000002,349.1348130000001,1,1,-2215.6740656857673,1097.729440099667,-2.01841545352432,2215.6740656857673,-16,-14,0,0,443.13481313715465,-80.0,-14.0,0.0,0.0
52000618,J,15,7,10+,6,True,18.436536800000027,276.5480520000001,1,2,-1672.7402601036356,1097.729440099667,-1.5238183463055897,1672.7402601036356,-10,-11,1,1,334.5480520207284,-50.0,-11.0,0.0,3.0
52000603,K,14,7,10+,6,True,4.294899857142866,60.12859800000024,2,5,-350.6429921064373,2032.5899167831903,-0.172510445521333,350.6429921064373,-5,6,3,3,70.12859842128819,-25.0,6.0,0.0,9.0
52000600,K,11,3,10+,6,True,3.000360090909055,33.00396099999989,1,0,19.98019460429896,2173.702749381753,0.009191778687302919,-19.98019460429896,7,5,-1,-1,-3.9960389208599736,35.0,5.0,0.0,-3.0
52000614,J,11,3,10+,6,True,2.3218351818181873,25.54018700000006,0,1,47.2990605670002,2947.8399466060364,0.016045328587618014,-47.2990605670002,5,7,1,1,-9.459812113398584,25.0,7.0,0.0,3.0
52000603,J,14,7,10+,6,True,1.0777230714285793,15.088122999999996,2,5,-10.440617466851108,2032.5899167831903,-0.005136607921077656,10.440617466851108,-1,9,3,3,2.0881234933708583,-5.0,9.0,0.0,9.0
52000614,K,11,3,10+,6,True,0.3281399090909076,3.6095390000000407,0,0,136.95230077709857,2947.8399466060364,0.04645852666959654,-136.95230077709857,5,6,0,0,-27.390460155419078,25.0,6.0,0.0,0.0
52000606,K,10,5,10+,6,True,-1.1971053999999413,-11.97105399999964,0,0,-0.14472738572840171,1339.649458403912,-0.0001080337731788681,0.14472738572840171,-2,-2,0,0,0.028945477145498444,-10.0,-2.0,0.0,0.0
52000601,K,12,5,10+,6,True,-3.3285339999999906,-39.94240799999989,1,2,164.71203875197352,849.377371944478,0.1939209168886835,-164.71203875197352,-1,-5,1,1,-32.94240775039543,-5.0,-5.0,0.0,3.0
52000609,J,13,8,10+,6,True,-4.140085538461506,-53.821112000000085,0,2,319.10556090190585,1996.371659817598,0.15984276240981177,-319.10556090190585,1,-1,2,2,-63.82111218038108,5.0,-1.0,0.0,6.0
