seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000700,J,13,4,10+,6,True,10.257101230769194,133.34231599999976,1,1,-606.7115786926079,2546.2448732767552,-0.2382769956888838,606.7115786926079,2,2,0,0,121.34231573852094,10.0,2.0,0.0,0.0
52000700,L,13,4,10+,6,True,-19.35754000000003,-251.6480200000001,1,1,1323.24010213385,2546.2448732767552,0.5196829715874798,-1323.24010213385,2,3,0,0,-264.64802042676865,10.0,3.0,0.0,0.0
52000701,J,14,6,10+,6,True,8.616353571428533,120.6289499999998,1,2,-393.1447517006036,1390.322839458564,-0.28277227457020465,393.1447517006036,6,9,1,1,78.62895034011899,30.0,9.0,0.0,3.0
52000701,L,14,6,10+,6,True,7.27740842857142,101.88371800000004,1,1,-369.41858996190604,1390.322839458564,-0.26570705700682395,369.41858996190604,4,8,0,0,73.88371799237939,20.0,8.0,0.0,0.0
52000702,J,15,7,10+,6,True,-21.449256666666685,-321.7388500000002,1,1,1448.6942484710216,3255.1763554051704,0.4450432450658125,-1448.6942484710216,-6,-2,0,0,-289.73884969420624,-30.0,-2.0,0.0,0.0
52000702,L,15,7,10+,6,True,1.0559392666666554,15.839089000000058,1,2,-124.19544531247811,3255.1763554051704,-0.03815321560266727,124.19544531247811,-2,-2,1,1,24.839089062495987,-10.0,-2.0,0.0,3.0
52000703,J,16,8,10+,6,True,-15.416189062499996,-246.65902499999993,0,1,1323.2951242685176,3041.2857535884796,0.4351104208827246,-1323.2951242685176,2,5,1,1,-264.6590248537027,10.0,5.0,0.0,3.0
52000703,L,16,8,10+,6,True,-3.3063400624999986,-52.90144099999998,0,2,684.5072062312211,3041.2857535884796,0.2250716511671276,-684.5072062312211,14,8,2,2,-136.90144124624476,70.0,8.0,0.0,6.0
52000704,J,10,5,10+,6,True,-15.012185599999953,-150.12185599999975,2,2,695.6092803250231,2673.1040476260823,0.26022529162034547,-695.6092803250231,-2,-1,0,0,-139.12185606500543,-10.0,-1.0,0.0,0.0
52000704,L,10,5,10+,6,True,-12.636249999999961,-126.36249999999973,2,1,611.8125037543377,2673.1040476260823,0.22887717531896049,-611.8125037543377,1,-6,-1,-1,-122.36250075086946,5.0,-6.0,0.0,-3.0
52000705,J,11,8,10+,6,True,-27.78866609090909,-305.6753269999999,1,1,1603.3766336162298,2203.108021162956,0.7277793999269515,-1603.3766336162298,3,0,0,0,-320.6753267232448,15.0,0.0,0.0,0.0
52000705,L,11,8,10+,6,True,-0.9236946363636775,-10.160640999999941,1,0,-54.19679783992615,2203.108021162956,-0.02460015456315086,54.19679783992615,-3,-3,-1,-1,10.839359567985866,-15.0,-3.0,0.0,-3.0
52000706,J,12,6,10+,6,True,9.446532416666685,113.35838899999999,5,1,-631.7919428083787,1317.4414404114705,-0.479559791751392,631.7919428083787,0,-1,-4,-4,126.35838856167493,0.0,-1.0,0.0,-12.0
