seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000700,E11,13,4,True,True,276.07166776923077,34.99999999999999,6,0,0,6,1096.5121851293575,3.3415962000000263,793aff3ad254813915b3be9f56ac99cde80545a6992c0113dd78b34291319998,788641c85d2f376406301cf121e79595eb3b9342b4b0994eaa0505b0e1a5f21a,14254.658406681649,114,100,14,13,1,0,3588.931681
52000700,J,13,4,True,True,286.32876899999997,35.0000000000001,8,48,0,6,1143.1823065672504,1.0262988000000064,793aff3ad254813915b3be9f56ac99cde80545a6992c0113dd78b34291319998,a33ce69a9753ffa2dfa153cd131685275f757cbb95ecf6ef524104a46332dbe4,14861.369985374256,116,102,14,13,1,0,3722.273997
52000700,L,13,4,True,True,256.71412776923074,34.99999999999999,8,46,0,6,994.7244849652153,1.5100414999999998,793aff3ad254813915b3be9f56ac99cde80545a6992c0113dd78b34291319998,8ba62e772c62dca87a901a80891f16d2f519cd3f4a75f428bebf683064a75217,12931.418304547798,116,103,14,13,1,0,3337.283661
52000701,E11,14,6,True,True,228.72277035714288,34.99999999999993,6,0,0,6,891.82813741189,3.213903999999985,c05ca2226f701c8bad74415b31b4928d51374078041f2463e01c56ec356d8ef9,bc7f88695346faa33304e5e07e9c14cb4bf4cc469f42373051a361b59819405d,12485.59392376646,108,92,15,14,1,0,3202.118785
52000701,J,14,6,True,True,237.3391239285714,69.99999999999993,6,50,0,6,919.9099053905046,0.8279973999999868,c05ca2226f701c8bad74415b31b4928d51374078041f2463e01c56ec356d8ef9,23bc73a8aba0b604d914d3b7b3b3f77ac3c198aa0e494de3d12b6a800ed902ba,12878.738675467064,114,101,16,14,2,0,3322.747735
52000701,L,14,6,True,True,236.0001787857143,34.99999999999993,8,51,0,6,918.2151795520261,1.83118189999999,c05ca2226f701c8bad74415b31b4928d51374078041f2463e01c56ec356d8ef9,c8aa9b5342aadd32194fe01d83e2d95c988da7a5ff6a9d946f4d15c218a8d1df,12855.012513728367,112,100,15,14,1,0,3304.002503
52000702,E11,15,7,True,True,274.85557873333335,34.999999999999936,6,0,0,6,1117.2778935744611,3.157916599999993,cd4cf645b6c1a5a6169386b972471381561c04e2068b0ffc60fe868b6af29a39,fd02ecf782000db5fdef23f10e63bc28b5ad95e9279babd27ab1feef284ff017,16759.168403616917,118,103,16,15,1,0,4122.833681
52000702,J,15,7,True,True,253.40632206666666,34.99999999999991,7,53,0,6,1020.6982770097263,0.9495472999999777,cd4cf645b6c1a5a6169386b972471381561c04e2068b0ffc60fe868b6af29a39,d3add1d88423eb8bd173db2ddb1a4dbd03e852dd528d0b3d0056635ff3709f4a,15310.474155145896,112,101,16,15,1,0,3801.094831
52000702,L,15,7,True,True,275.911518,70.00000000000003,6,57,0,6,1125.5575899286264,1.9355568999999946,cd4cf645b6c1a5a6169386b972471381561c04e2068b0ffc60fe868b6af29a39,0f1ea278b965b0d45bdda2ea4efd629be4a9d179e350d772c904e34bdb7ba993,16883.363848929395,116,101,17,15,2,0,4138.67277
52000703,E11,16,8,True,True,221.314398625,0.0,5,0,0,6,904.6969931970957,4.165208800000016,c2335c22ae953965f7cc8084d48db53ea0a07f82b4a420987a7e954eebaaf02f,7f428f4084798ac6c96916c135fdfdd7c94ff84c877bc9d8643b9387777a12bd,14475.151891153531,96,86,16,16,0,0,3541.030378
52000703,J,16,8,True,True,205.8982095625,34.99999999999996,6,48,0,6,821.9910479303134,0.8237526000000059,c2335c22ae953965f7cc8084d48db53ea0a07f82b4a420987a7e954eebaaf02f,f0d9874326098965c3775de878ab7bdd450c40137194455cff428e8e5e062e8c,13151.856766885014,98,91,17,16,1,0,3294.371353
52000703,L,16,8,True,True,218.0080585625,69.99999999999999,6,59,0,6,861.9152928076444,2.048216200000013,c2335c22ae953965f7cc8084d48db53ea0a07f82b4a420987a7e954eebaaf02f,442b422594601907078fb1354ecf4a9c48f38ad640bc0f8f26eaaa4ba8543c2b,13790.64468492231,110,94,18,16,2,0,3488.128937
52000704,E11,10,5,True,True,345.2426392,69.99999999999997,5,0,0,6,1338.213196183701,0.8513817999999844,94237727b1dad2081af174b2d65209fd8867ae3eaa2ef3be446a959830354c51,aa985e6212437706b49feb6ccf085f83f0f98228e89bb12169d01b87436afda7,13382.13196183701,121,115,12,10,2,0,3452.426392
52000704,J,10,5,True,True,330.23045360000003,70.00000000000003,7,30,0,6,1268.6522681511988,0.49724760000000856,94237727b1dad2081af174b2d65209fd8867ae3eaa2ef3be446a959830354c51,7a471b89fe737ca90dbf6ad20780582b02de4f52f767580255d5d970042c05ae,12686.522681511988,119,114,12,10,2,0,3302.304536
52000704,L,10,5,True,True,332.6063892,35.000000000000036,7,40,0,6,1277.0319458082672,1.8220268999999973,94237727b1dad2081af174b2d65209fd8867ae3eaa2ef3be446a959830354c51,6e3d491a6528ca14b3c4bbf6fab1da9e15f0415d4a3f71dd2bea9ae2f281290d,12770.319458082673,122,109,11,10,1,0,3326.063892
52000705,E11,11,8,True,True,292.3136304545455,34.99999999999997,2,0,0,6,1123.8408793315587,2.529176299999989,e9c9c921e05aa4b21068619219d8261a9ee804b5fa87e05bba51b08c3926c78d,f08de848e5b403d021e83b6514722303e89808e19a5c4d365db2772766a2bc52,12362.249672647145,115,110,12,11,1,0,3215.449935
52000705,J,11,8,True,True,264.5249643636364,34.99999999999999,4,45,0,6,978.0793671846287,0.888352000000026,e9c9c921e05aa4b21068619219d8261a9ee804b5fa87e05bba51b08c3926c78d,04237a27bf103001adae7f446e5ef17e65ec0070825442c73de64696b9cd4ad8,10758.873039030916,118,110,12,11,1,0,2909.774608
