seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000706,L,12,6,10+,6,True,36.95298383333335,443.43580599999996,5,1,-1797.1790267122597,1317.4414404114705,-1.3641433854934417,1797.1790267122597,17,11,-4,-4,359.4358053424521,85.0,11.0,0.0,-12.0
52000711,L,10,4,10+,6,True,22.456451600000037,224.56451600000037,1,2,-1057.8225791497262,928.910660750902,-1.1387775206440367,1057.8225791497262,3,-5,1,1,211.56451582994578,15.0,-5.0,0.0,3.0
52000718,L,10,3,10+,6,True,19.67472369999996,196.74723700000004,0,0,-1003.7361822339008,1883.9519095353753,-0.5327822738752629,1003.7361822339008,-1,1,0,0,200.74723644678124,-5.0,1.0,0.0,0.0
52000707,L,13,7,10+,6,True,14.996520384615394,194.95476499999995,2,0,-1174.7738254822398,1315.9213888296217,-0.8927386054018634,1174.7738254822398,-6,-4,-2,-2,234.95476509644914,-30.0,-4.0,0.0,-6.0
52000714,L,13,7,10+,6,True,13.941250076923097,181.23625100000027,0,1,-951.1812576522516,2464.4926549605225,-0.385954186447956,951.1812576522516,-1,-7,1,1,190.23625153045032,-5.0,-7.0,0.0,3.0
52000710,J,16,11,10+,6,True,10.634740312500014,170.15584500000023,0,2,-345.7792235681645,1688.012955514072,-0.20484393940143664,345.7792235681645,15,20,2,2,69.15584471363263,75.0,20.0,0.0,6.0
52000700,J,13,4,10+,6,True,10.257101230769194,133.34231599999976,1,1,-606.7115786926079,2546.2448732767552,-0.2382769956888838,606.7115786926079,2,2,0,0,121.34231573852094,10.0,2.0,0.0,0.0
52000706,J,12,6,10+,6,True,9.446532416666685,113.35838899999999,5,1,-631.7919428083787,1317.4414404114705,-0.479559791751392,631.7919428083787,0,-1,-4,-4,126.35838856167493,0.0,-1.0,0.0,-12.0
52000701,J,14,6,10+,6,True,8.616353571428533,120.6289499999998,1,2,-393.1447517006036,1390.322839458564,-0.28277227457020465,393.1447517006036,6,9,1,1,78.62895034011899,30.0,9.0,0.0,3.0
52000701,L,14,6,10+,6,True,7.27740842857142,101.88371800000004,1,1,-369.41858996190604,1390.322839458564,-0.26570705700682395,369.41858996190604,4,8,0,0,73.88371799237939,20.0,8.0,0.0,0.0
