seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52000805,J,13,9,10+,6,True,17.284101769230773,224.69332299999996,0,1,-943.466614579278,1227.5651023547962,-0.7685674778221198,943.466614579278,6,3,1,1,188.69332291585624,30.0,3.0,0.0,3.0
52000805,M,13,9,10+,6,True,11.865369692307695,154.2498059999998,0,2,-406.2490287620076,1227.5651023547962,-0.3309388870559402,406.2490287620076,12,7,2,2,81.24980575240352,60.0,7.0,0.0,6.0
52000814,J,15,4,10+,6,True,7.596652266666666,113.94978399999991,0,0,-519.7489169658111,1765.9211180027542,-0.2943217064834945,519.7489169658111,2,0,0,0,103.9497833931623,10.0,0.0,0.0,0.0
52000808,M,16,7,10+,6,True,6.828314375000019,109.25303000000031,3,3,-46.26515122569981,2344.939690891717,-0.0197297829899013,46.26515122569981,17,15,0,0,9.253030245140053,85.0,15.0,0.0,0.0
52000807,M,15,10,10+,6,True,6.42828506666666,96.42427599999974,1,1,-232.12137554831133,2453.7248028567956,-0.09459959620494508,232.12137554831133,9,5,0,0,46.42427510966127,45.0,5.0,0.0,0.0
52000808,J,16,7,10+,6,True,1.913260062500001,30.612161000000015,3,3,46.93919395170997,2344.939690891717,0.020017228645168382,-46.93919395170997,7,5,0,0,-9.387838790341902,35.0,5.0,0.0,0.0
52000811,J,12,9,10+,6,True,-0.45385208333334504,-5.44622500000014,0,0,27.231121634145893,954.2907476107339,0.0285354559942289,-27.231121634145893,0,0,0,0,-5.446224326828542,0.0,0.0,0.0,0.0
52000814,M,15,4,10+,6,True,-2.0935551999999973,-31.403327999999874,0,1,307.01664319049814,1765.9211180027542,0.17385637447822816,-307.01664319049814,5,2,1,1,-61.40332863809999,25.0,2.0,0.0,3.0
52000803,J,11,9,10+,6,True,-3.4460142727272682,-37.906156999999894,1,1,279.53078408913643,1221.844319063899,0.22877774175297183,-279.53078408913643,3,3,0,0,-55.90615681782765,15.0,3.0,0.0,0.0
52000809,J,10,5,10+,6,True,-3.7144850999999903,-37.14485100000002,0,1,200.72425492310322,748.803883522949,0.2680598476315882,-200.72425492310322,0,0,1,1,-40.144850984620916,0.0,0.0,0.0,3.0
