seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52000900,E11,10,3,True,True,369.02232349999997,0.0,7,0,0,6,1438.611617542625,1.2833110999999917,cfb01dd3c552e7e2f25e82cf03ddb3a2a39d9ec8cba70f02fadc22dfbedb7634,2c9538c4ed9d949cf27084005e909c9bdf6ae0d67e7cb88d75c7d4062961d3a5,14386.11617542625,129,118,10,10,0,0,3690.223235
52000900,J,10,3,True,True,365.93815589999997,35.00000000000002,6,30,0,6,1436.6907796201342,0.4701238000000103,cfb01dd3c552e7e2f25e82cf03ddb3a2a39d9ec8cba70f02fadc22dfbedb7634,677d9484e8bd1470fd9c3758a032396605db2ead815ad1dcc231b210deaf73db,14366.907796201342,124,113,11,10,1,0,3659.381559
52000900,M,10,3,True,True,365.93815589999997,35.00000000000002,6,30,0,6,1436.6907796201342,0.4697696000000633,cfb01dd3c552e7e2f25e82cf03ddb3a2a39d9ec8cba70f02fadc22dfbedb7634,cdf1ea3ff25c84d29fd3f34bc8c911827c547f4a3ffbe619f5403fed7a41ecf4,14366.907796201342,124,113,11,10,1,0,3659.381559
52000901,E11,11,7,True,True,308.8794824545455,0.0,4,0,0,6,1211.215594254666,2.1182612000000063,5793cef939c1e6fa30018eca06b4fa6cae73ccde31506f69cce60a46e0c61260,d1e5e5c97a1ed31db63d04c1cc7253eb6c133c890d0bd5743d10a257a3b5404a,13323.371536801327,114,108,11,11,0,0,3397.674307
52000901,J,11,7,True,True,274.008264,0.0,5,39,0,6,1039.5867747217296,0.7284508999999844,5793cef939c1e6fa30018eca06b4fa6cae73ccde31506f69cce60a46e0c61260,a0be95e9f46c7eacf94b817f292fe8d028a34a9350fc8bfc4d38e7774a46c43f,11435.454521939026,113,107,11,11,0,0,3014.090904
52000901,M,11,7,True,True,272.8557379090909,69.99999999999997,4,36,0,6,1028.3695988055222,0.5713808000000427,5793cef939c1e6fa30018eca06b4fa6cae73ccde31506f69cce60a46e0c61260,9bcd4b34c4ffe4df3f3a19173e6192b4b43efb8ebd3797950f705ab64152c92d,11312.065586860743,115,103,13,11,2,0,3001.413117
52000902,E11,12,8,True,True,247.63578025,70.00000000000006,4,0,0,6,922.762234649926,2.4595933999999033,75de9981e99926b5a8e03b96befd120f4169b3952bcc0b45bd018e5560594fc9,0ad55189d0d5e69f86e043594592643f091d6cc5793c1acbedcc8d5f9cab9f30,11073.146815799111,117,106,14,12,2,0,2971.629363
52000902,J,12,8,True,True,240.53246475,70.00000000000006,4,49,0,6,887.2456571093891,0.9287590000000137,75de9981e99926b5a8e03b96befd120f4169b3952bcc0b45bd018e5560594fc9,e1b5e858959cdeb47a9a14a4a259442c659647626aadcdd4c09180352398364d,10646.94788531267,117,106,14,12,2,0,2886.389577
52000902,M,12,8,True,True,234.62151866666667,35.000000000000014,1,44,0,6,871.0242598975718,0.8323197000000846,75de9981e99926b5a8e03b96befd120f4169b3952bcc0b45bd018e5560594fc9,64d474b0b7cd887ad270d0515b9917f25af688d2e5d8f0803b2f70211c2ab7d7,10452.291118770861,112,102,13,12,1,0,2815.458224
52000903,E11,13,6,True,True,252.61003546153844,35.000000000000036,5,0,0,6,962.665561969592,2.6286944999999378,983644a81daa4fb15299e95af9ef248ef442c8854465015f15de91a04e243052,947162cbe823962e445cabd508f91c3e71fe013dd8da3fee05634aff4add3b60,12514.652305604695,122,103,14,13,1,0,3283.930461
