seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001000,M,12,6,10+,6,True,-24.606157749999966,-295.27389300000004,5,0,1691.3694684232541,3071.6924516389754,0.5506311243890264,-1691.3694684232541,10,8,-5,-5,-338.27389368464947,50.0,8.0,0.0,-15.0
52001000,N,12,6,10+,6,True,-23.366648083333303,-280.39977699999963,5,1,1651.9988879293105,3071.6924516389754,0.5378138970416282,-1651.9988879293105,11,7,-4,-4,-330.3997775858611,55.0,7.0,0.0,-12.0
52001001,M,13,8,10+,6,True,-6.970395384615358,-90.61513999999988,2,2,213.0757017146534,942.2131197245963,0.2261438492566674,-213.0757017146534,-9,-3,0,0,-42.61514034293077,-45.0,-3.0,0.0,0.0
52001001,N,13,8,10+,6,True,-6.970395384615358,-90.61513999999988,2,2,213.0757017146534,942.2131197245963,0.2261438492566674,-213.0757017146534,-9,-3,0,0,-42.61514034293077,-45.0,-3.0,0.0,0.0
52001002,M,14,6,10+,6,True,-16.47776478571427,-230.6887069999998,0,1,1073.4435352743603,1929.716637703199,0.5562700317244514,-1073.4435352743603,-3,-4,1,1,-214.68870705487143,-15.0,-4.0,0.0,3.0
52001002,N,14,6,10+,6,True,-12.276684928571427,-171.8735889999998,0,1,289.3679453070472,1929.716637703199,0.14995359404241898,-289.3679453070472,-19,-22,1,1,-57.87358906140889,-95.0,-22.0,0.0,3.0
52001003,M,15,6,10+,6,True,0.22327639999997473,3.349145999999564,1,2,-61.74573320158379,3066.302685968225,-0.02013686824987624,61.74573320158379,-2,-2,1,1,12.34914664031703,-10.0,-2.0,0.0,3.0
52001003,N,15,6,10+,6,True,-34.47820033333335,-517.1730050000001,1,1,2630.8650207920255,3066.302685968225,0.8579926022408632,-2630.8650207920255,2,-1,0,0,-526.1730041584042,10.0,-1.0,0.0,0.0
52001005,M,10,4,10+,6,True,-3.484206200000017,-34.84206200000017,0,0,229.210311659308,2737.016433785351,0.08374458729219442,-229.210311659308,2,1,0,0,-45.8420623318616,10.0,1.0,0.0,0.0
52001005,N,10,4,10+,6,True,-3.484206200000017,-34.84206200000017,0,0,229.210311659308,2737.016433785351,0.08374458729219442,-229.210311659308,2,1,0,0,-45.8420623318616,10.0,1.0,0.0,0.0
52001006,M,11,3,10+,6,True,-10.040199818181861,-110.44219800000019,1,2,772.2109891587097,2547.4954805365905,0.30312555804654673,-772.2109891587097,7,6,1,1,-154.4421978317423,35.0,6.0,0.0,3.0
52001006,N,11,3,10+,6,True,-10.040199818181861,-110.44219800000019,1,2,772.2109891587097,2547.4954805365905,0.30312555804654673,-772.2109891587097,7,6,1,1,-154.4421978317423,35.0,6.0,0.0,3.0
52001007,M,12,5,10+,6,True,5.921452666666653,71.05743200000006,2,2,-215.28716242360315,1291.6681199471423,-0.1666737446708936,215.28716242360315,5,3,0,0,43.057432484722085,25.0,3.0,0.0,0.0
52001007,N,12,5,10+,6,True,4.527690666666672,54.33228800000006,2,1,-171.66144143552447,1291.6681199471423,-0.13289903093880587,171.66144143552447,4,3,-1,-1,34.33228828710617,20.0,3.0,0.0,-3.0
52001004,M,16,6,10+,6,True,-7.2028940625000075,-115.24630500000012,1,1,686.2315253399593,2307.0436152621314,0.29745060769559317,-686.2315253399593,5,-3,0,0,-137.24630506799167,25.0,-3.0,0.0,0.0
52001004,N,16,6,10+,6,True,-7.478441625000016,-119.65506600000026,1,1,573.2753290694127,2307.0436152621314,0.24848915957935883,-573.2753290694127,1,-10,0,0,-114.65506581388263,5.0,-10.0,0.0,0.0
52001008,M,13,8,10+,6,True,-12.443023923076908,-161.7593109999998,1,2,1213.7965543006321,1376.5163055100784,0.8817887223289017,-1213.7965543006321,13,13,1,1,-242.75931086012633,65.0,13.0,0.0,3.0
52001008,N,13,8,10+,6,True,-12.443023923076908,-161.7593109999998,1,2,1213.7965543006321,1376.5163055100784,0.8817887223289017,-1213.7965543006321,13,13,1,1,-242.75931086012633,65.0,13.0,0.0,3.0
52001009,M,14,8,10+,6,True,-0.9681427857142637,-13.553998999999749,1,3,52.769992875357275,2297.5436777238556,0.022968004215543694,-52.769992875357275,-1,-4,2,2,-10.553998575071546,-5.0,-4.0,0.0,6.0
52001009,N,14,8,10+,6,True,1.3609901428571618,19.05386200000021,1,2,-100.26930875877588,2297.5436777238556,-0.043641959772495506,100.26930875877588,0,-4,1,1,20.05386175175545,0.0,-4.0,0.0,3.0
52001010,M,15,5,10+,6,True,-22.04445853333334,-330.66687800000045,2,1,1608.3343884038604,3899.874764189237,0.4124066760226401,-1608.3343884038604,-1,-1,-1,-1,-321.66687768077236,-5.0,-1.0,0.0,-3.0
52001010,N,15,5,10+,6,True,-17.072846266666716,-256.0926940000004,2,2,1215.4634716884666,3899.874764189237,0.3116673086144998,-1215.4634716884666,-2,-3,0,0,-243.0926943376926,-10.0,-3.0,0.0,0.0
52001011,M,16,7,10+,6,True,-23.05872549999998,-368.9396079999997,1,4,2014.6980376973079,3016.868622063863,0.6678109954682208,-2014.6980376973079,4,5,3,3,-402.9396075394625,20.0,5.0,0.0,9.0
52001011,N,16,7,10+,6,True,-21.525484437499983,-344.40775099999973,1,3,1997.0387548911967,3016.868622063863,0.6619574814381567,-1997.0387548911967,8,9,2,2,-399.40775097824053,40.0,9.0,0.0,6.0
52001015,M,13,5,10+,6,True,-25.676814769230816,-333.7985920000001,3,0,1323.9929587427614,3236.984080139013,0.40902053453593207,-1323.9929587427614,-11,-5,-3,-3,-264.7985917485503,-55.0,-5.0,0.0,-9.0
52001015,N,13,5,10+,6,True,-25.676814769230816,-333.7985920000001,3,0,1323.9929587427614,3236.984080139013,0.40902053453593207,-1323.9929587427614,-11,-5,-3,-3,-264.7985917485503,-55.0,-5.0,0.0,-9.0
52001014,M,12,7,10+,6,True,18.65199074999998,223.82388899999978,1,3,-1369.1194439467272,2179.3520469831765,-0.6282231665333582,1369.1194439467272,-10,-6,2,2,273.82388878934717,-50.0,-6.0,0.0,6.0
52001014,N,12,7,10+,6,True,18.65199074999998,223.82388899999978,1,3,-1369.1194439467272,2179.3520469831765,-0.6282231665333582,1369.1194439467272,-10,-6,2,2,273.82388878934717,-50.0,-6.0,0.0,6.0
52001012,M,10,8,10+,6,True,-12.95000779999998,-129.50007800000003,0,0,582.5003881637622,1228.4902127885507,0.47415956765462886,-582.5003881637622,-2,-3,0,0,-116.50007763275221,-10.0,-3.0,0.0,0.0
52001012,N,10,8,10+,6,True,-12.95000779999998,-129.50007800000003,0,0,582.5003881637622,1228.4902127885507,0.47415956765462886,-582.5003881637622,-2,-3,0,0,-116.50007763275221,-10.0,-3.0,0.0,0.0
52001013,M,11,8,10+,6,True,-34.70923818181819,-381.8016200000002,2,1,1769.0081012592582,2918.5779607013137,0.6061198724443797,-1769.0081012592582,-4,-5,-1,-1,-353.8016202518511,-20.0,-5.0,0.0,-3.0
52001013,N,11,8,10+,6,True,-34.70923818181819,-381.8016200000002,2,1,1769.0081012592582,2918.5779607013137,0.6061198724443797,-1769.0081012592582,-4,-5,-1,-1,-353.8016202518511,-20.0,-5.0,0.0,-3.0
52001019,M,10,5,10+,6,True,-53.547488799999996,-535.4748879999997,0,1,2657.374440734002,2959.5838946672284,0.8978878569795682,-2657.374440734002,-1,-2,1,1,-531.4748881467992,-5.0,-2.0,0.0,3.0
52001019,N,10,5,10+,6,True,-53.547488799999996,-535.4748879999997,0,1,2657.374440734002,2959.5838946672284,0.8978878569795682,-2657.374440734002,-1,-2,1,1,-531.4748881467992,-5.0,-2.0,0.0,3.0
52001017,M,15,7,10+,6,True,-22.700238400000018,-340.50357600000007,2,4,1672.517880528152,2587.9139597502035,0.6462803271441029,-1672.517880528152,-2,-2,2,2,-334.5035761056324,-10.0,-2.0,0.0,6.0
52001017,N,15,7,10+,6,True,-22.700238400000018,-340.50357600000007,2,4,1672.517880528152,2587.9139597502035,0.6462803271441029,-1672.517880528152,-2,-2,2,2,-334.5035761056324,-10.0,-2.0,0.0,6.0
52001016,M,14,5,10+,6,True,-8.600135785714258,-120.40190099999973,4,2,657.0095038454547,4646.848878170311,0.14138817961821712,-657.0095038454547,4,-3,-2,-2,-131.40190076909266,20.0,-3.0,0.0,-6.0
52001016,N,14,5,10+,6,True,-7.740862785714285,-108.37207899999976,4,3,611.8603958572294,4646.848878170311,0.13167210983158728,-611.8603958572294,4,-3,-1,-1,-122.3720791714477,20.0,-3.0,0.0,-3.0
52001018,M,16,11,10+,6,True,-22.322034374999987,-357.1525499999998,2,2,2300.7627506209265,2345.2572295132886,0.9810278896777578,-2300.7627506209265,17,18,0,0,-460.1525501241854,85.0,18.0,0.0,0.0
52001018,N,16,11,10+,6,True,-22.322034374999987,-357.1525499999998,2,2,2300.7627506209265,2345.2572295132886,0.9810278896777578,-2300.7627506209265,17,18,0,0,-460.1525501241854,85.0,18.0,0.0,0.0
