seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52001000,E11,12,6,True,True,315.49203174999997,175.00000000000003,4,0,0,6,1279.9601588424769,1.6002888999998959,259ff8a1eede8acc8aee6722472af958932da26c889c0541554fec954cf89ef1,6f7d2bdbc789308dd23d4f3a2ce4acea967618281f2809c8d65ad547285212ec,15359.521906109723,108,99,17,12,5,0,3785.904381
52001000,M,12,6,True,True,290.885874,0.0,6,45,0,6,1139.012703140539,0.9181651999999758,259ff8a1eede8acc8aee6722472af958932da26c889c0541554fec954cf89ef1,2d95fd90b6cd659ae917daab7ece5b2ff5917a5bcf245c47dddce7c17e666d7a,13668.152437686469,118,107,12,12,0,0,3490.630488
52001000,N,12,6,True,True,292.12538366666666,35.000000000000036,6,46,0,6,1142.2935848483678,0.9112318999999616,259ff8a1eede8acc8aee6722472af958932da26c889c0541554fec954cf89ef1,6e1dce900121a1db66832973d082f878c4a71ad9e6e457f503b26b9f42932274,13707.523018180413,119,106,13,12,1,0,3505.504604
52001001,E11,13,8,True,True,249.46990330769228,70.00000000000001,4,0,0,6,950.8110549880398,2.4672739000000092,5ffa32e0cd733644901128e4d2f299ce7f991d97f0e05eee2ee07e0a37baa563,2c97433c68c4928a5bb07953072593665cc8d502c04808f90ff95c558e4e87c5,12360.543714844518,119,105,15,13,2,0,3243.108743
52001001,M,13,8,True,True,242.49950792307692,69.99999999999996,5,46,0,6,934.420616394605,0.7628032999999732,5ffa32e0cd733644901128e4d2f299ce7f991d97f0e05eee2ee07e0a37baa563,b7f74251c93d65ad286b9f51aa52e73ef9b4b4e3ad7f0f66dfcc9cd524bebfcd,12147.468013129865,110,102,15,13,2,0,3152.493603
52001001,N,13,8,True,True,242.49950792307692,69.99999999999996,5,46,0,6,934.420616394605,0.9018993999999338,5ffa32e0cd733644901128e4d2f299ce7f991d97f0e05eee2ee07e0a37baa563,72fe4ee9df5cafa753bb4c7689cd2711dbb047c2cc4c46f6fe083f00750c5630,12147.468013129865,110,102,15,13,2,0,3152.493603
52001002,E11,14,6,True,True,249.74173585714286,0.0,5,0,0,6,948.7086791988042,2.8238837000000103,1adf8f33a855d7cfc82a0cf501cae5a5a0fe3fbbe595c879462bb2f0ba179cc6,bb6b2a4fca677b799052603ef7ac8d2109f07a7b14a46d971eb1759d1ce98370,13281.92150878326,130,120,14,14,0,0,3496.384302
52001002,M,14,6,True,True,233.26397107142859,35.0,5,56,0,6,872.0341409649214,1.0517639000000827,1adf8f33a855d7cfc82a0cf501cae5a5a0fe3fbbe595c879462bb2f0ba179cc6,cdef8744f050b84dd8a63166705a08be59abf11371f48dbf78e6523333e39127,12208.4779735089,127,116,15,14,1,0,3265.695595
52001002,N,14,6,True,True,237.46505092857143,35.0,6,53,0,6,928.0395402483009,0.9827776999999287,1adf8f33a855d7cfc82a0cf501cae5a5a0fe3fbbe595c879462bb2f0ba179cc6,8a1d8d3dd7cd78e117595118db5942c6eb0517ed2ad17c87ffdd3793eb09fc7e,12992.553563476213,111,98,15,14,1,0,3324.510713
52001003,E11,15,6,True,True,260.4522066,34.99999999999993,7,0,0,6,1028.5943661719607,2.685386400000084,2c31bc8c1fe5b7b18827c7f07ed5996bbf3d974965eb394df38963f8fd9a64e4,d7eb6ae1320726f96604143b54fa111544fdbcb672af0fc102a22c0f660c0289,15428.91549257941,126,113,16,15,1,0,3906.783099
52001003,M,15,6,True,True,260.675483,70.00000000000009,8,58,0,6,1032.7107483853995,1.079219299999977,2c31bc8c1fe5b7b18827c7f07ed5996bbf3d974965eb394df38963f8fd9a64e4,6a27c312a8543d4be8e2a2d9461a3fd0eeda6626e56494e269ddf48b5ba9c890,15490.661225780994,124,111,17,15,2,0,3910.132245
52001003,N,15,6,True,True,225.97400626666666,34.99999999999998,9,65,0,6,853.2033647858257,1.268592099999978,2c31bc8c1fe5b7b18827c7f07ed5996bbf3d974965eb394df38963f8fd9a64e4,9e1ae78f7e60aedb9bf2b2744f2607367125b457c3f1d0e1304dd7fdec9c9d12,12798.050471787385,128,112,16,15,1,0,3389.610094
52001005,E11,10,4,True,True,333.9630944,0.0,5,0,0,6,1281.3154720080988,1.8373788000000104,096e93f8c5baac21257ee11141632dbd4dc63ce71594447ae20e9e66c8967184,e88f4045b3ccbdb9d731c83985655c0ea7207da16b7ecdd16a7dc313ec53974c,12813.154720080987,123,112,10,10,0,0,3339.630944
52001005,M,10,4,True,True,330.4788882,0.0,6,36,0,6,1258.394440842168,0.7129764000000023,096e93f8c5baac21257ee11141632dbd4dc63ce71594447ae20e9e66c8967184,4dcee652cf19829875bcd88f5bfa8e190ee993b28f5113f66cfe001d2b4abe08,12583.94440842168,125,113,10,10,0,0,3304.788882
52001005,N,10,4,True,True,330.4788882,0.0,6,36,0,6,1258.394440842168,0.6878997000000027,096e93f8c5baac21257ee11141632dbd4dc63ce71594447ae20e9e66c8967184,b0bd0e00a3c97ef1a1146aad281fc084920377b1330803d7d06409892d2b6efb,12583.94440842168,125,113,10,10,0,0,3304.788882
52001006,E11,11,3,True,True,329.16577863636365,34.99999999999994,5,0,0,6,1271.2834387091625,0.8840856000000485,606ddd50801fae7a3fd302a85a2d9bdc53f1fadb43fd20cb98284c1633dda856,388f54bd62a7d3d2de80a434012eaf8536c96de5e27f7b6cb509855b2e378be7,13984.117825800788,129,121,12,11,1,0,3620.823565
52001006,M,11,3,True,True,319.1255788181818,69.99999999999997,7,44,0,6,1201.0824396947344,0.8887141000000156,606ddd50801fae7a3fd302a85a2d9bdc53f1fadb43fd20cb98284c1633dda856,1472bb0f8c79dabca3bfcbfd4af114abc62ec8304ea63bb95ffb406dc97a9119,13211.906836642078,136,127,13,11,2,0,3510.381367
