strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
M,N,10,3,3,1.0,-12.95000779999998,-4.430786360000013,-3.484206200000017,52001005,0.5009443732031459,3,30,True,True,0,qualified_runs_only,3,318.5208269666667,318.5208269666667,333.9630944,334.92738008,335.04791579,335.144344358,335.1684515,335.1684515,1,12029.374681641513,123,114.33333333333333,0,1202.9374681641514,0.0,4.333333333333333,2.1966467000000875,0,0,3,30,True,True,0,qualified_runs_only,3,295.1935927,295.1935927,281.6209627,320.7073031,325.59309564999995,329.50172969,330.4788882,330.4788882,1,10873.01296812249,122.66666666666667,113,0.3333333333333333,1087.301296812249,11.666666666666671,4.666666666666667,0.8569886000000224,0,0
M,N,11,2,2,1.0,-22.374719000000027,-11.273651736363679,-10.040199818181861,52001006,0.4649076009930918,2,22,True,True,0,qualified_runs_only,2,312.4836150454546,312.4836150454546,312.4836150454546,325.82934591818184,327.4975622772727,328.8321353645455,329.16577863636365,329.16577863636365,1,13231.598828782633,123.5,114,1.5,1202.8726207984212,52.500000000000014,5,2.5291402999999946,0,0,2,22,True,True,0,qualified_runs_only,2,290.1088960454545,290.10889604545457,290.10889604545457,313.3222422636363,316.22391054090906,318.54524516272727,319.1255788181818,319.1255788181818,1,11960.98928357365,125,114.5,1.5,1087.3626621430592,52.49999999999999,6,0.8887141000000156,0,0
M,N,12,3,3,0.3333333333333333,5.921452666666653,17.378936941666648,18.65199074999998,52001014,0.016348396802473887,3,36,True,True,0,qualified_runs_only,3,305.0257706944445,305.0257706944444,308.33019533333334,314.0596644666666,314.7758481083333,315.34879502166666,315.49203174999997,315.49203174999997,1,14671.546242067345,111.33333333333333,101.33333333333333,2.6666666666666665,1222.628853505612,93.33333333333334,4.333333333333333,2.4345120000000406,0,0,3,36,True,True,0,qualified_runs_only,3,305.0148659166667,305.0148659166667,297.17653766666666,321.02105639999996,324.00162124166667,326.386073115,326.9821860833333,326.9821860833333,1,14635.89195471637,113,103,1.6666666666666667,1219.6576628930309,58.33333333333334,6,0.9181651999999758,0,0
M,N,13,3,3,1.0,-12.443023923076908,-7.517658238461514,-6.970395384615358,52001001,0.49514166130008513,3,39,True,True,0,qualified_runs_only,3,266.5455971025641,266.5455971025641,249.46990330769228,292.9982201076923,298.4392597076923,302.7920913876923,303.8802993076923,303.8802993076923,1,13527.13047719663,117,103.66666666666667,2,1040.5484982458945,70.00000000000004,3.6666666666666665,2.4672739000000092,0,0,3,39,True,True,0,qualified_runs_only,3,251.51551907692308,251.51551907692308,242.49950792307692,271.0626892153846,274.633086876923,277.4894050061538,278.2034845384615,278.2034845384615,1,12610.175405610615,114.66666666666667,105.33333333333333,1.3333333333333333,970.013492739278,46.666666666666636,5.666666666666667,1.2693505999999388,0,0
M,N,14,3,3,1.0,-8.600135785714258,-1.7313420857142638,-0.9681427857142637,52001009,0.20094670835037287,3,42,True,True,0,qualified_runs_only,3,254.38058321428574,254.3805832142857,249.74173585714286,275.59546094285713,278.8271765785714,281.41254908714285,282.0588922142857,282.0588922142857,1,13863.307491266487,121,108.66666666666667,1.6666666666666667,990.2362493761777,58.33333333333337,4,3.2648867999999993,0,0,3,42,True,True,0,qualified_runs_only,3,245.69856876190477,245.6985687619048,233.26397107142859,265.4197993571429,269.43927789285715,272.6548607214286,273.45875642857146,273.45875642857146,1,13268.899813934764,121,105,2,947.7785581381974,70.00000000000004,7.333333333333333,1.1020117000000482,0,0
M,N,15,3,3,0.6666666666666666,-22.04445853333334,-2.0034970933333582,0.22327639999997473,52001003,0.33693486880313817,3,45,True,True,0,qualified_runs_only,3,269.1967988888889,269.1967988888889,261.3716146666667,280.88758325333333,283.3270793266667,285.2786761853334,285.7665754,285.7665754,1,16243.093249801717,120.33333333333333,107.66666666666667,1.6666666666666667,1082.8728833201146,58.333333333333336,7,2.8178108000000748,0,0,3,45,True,True,0,qualified_runs_only,3,254.35632537777775,254.35632537777778,260.675483,263.11279009333333,263.41745348,263.66118418933337,263.7221168666667,263.7221168666667,1,15170.057737891575,118.66666666666667,106,2.3333333333333335,1011.3371825261049,81.66666666666666,7.333333333333333,1.079219299999977,0,0
M,N,16,3,3,1.0,-22.322034374999987,-8.714808093750007,-7.2028940625000075,52001004,0.6521817434449725,3,48,True,True,0,qualified_runs_only,3,231.414087,231.414087,231.771634375,239.158533125,240.08189546875,240.82058534375,241.0052578125,241.0052578125,1,14738.126960210257,113.66666666666667,102.66666666666667,1.3333333333333333,921.132935013141,46.66666666666671,5,3.953902599999992,0,0,3,48,True,True,0,qualified_runs_only,3,213.88620235416667,213.88620235416667,214.26247475,217.2097208,217.57812655625,217.87285116125,217.9465323125,217.9465323125,1,13070.896188990859,122.33333333333333,109.33333333333333,2.3333333333333335,816.9310118119287,81.66666666666669,6,1.9283071000000973,0,0
M,k0,11,1,1,1.0,-22.322034374999987,-22.322034374999987,-22.322034374999987,52001018,0.9810278896777578,1,16,True,True,0,qualified_runs_only,1,231.771634375,231.771634375,231.771634375,231.771634375,231.771634375,231.771634375,231.771634375,231.771634375,1,14791.730752202811,113,99,2,924.4831720126757,70.0,5,3.953902599999992,0,0,1,16,True,True,0,qualified_runs_only,1,209.4496,209.4496,209.4496,209.4496,209.4496,209.4496,209.4496,209.4496,1,12490.968001581885,130,117,2,780.6855000988678,70.0,4,1.9283071000000973,0,0
M,k0,3,1,1,1.0,-10.040199818181861,-10.040199818181861,-10.040199818181861,52001006,0.30312555804654673,1,11,True,True,0,qualified_runs_only,1,329.16577863636365,329.16577863636365,329.16577863636365,329.16577863636365,329.16577863636365,329.16577863636365,329.16577863636365,329.16577863636365,1,13984.117825800788,129,121,1,1271.2834387091625,34.99999999999994,5,0.8840856000000485,0,0,1,11,True,True,0,qualified_runs_only,1,319.1255788181818,319.1255788181818,319.1255788181818,319.1255788181818,319.1255788181818,319.1255788181818,319.1255788181818,319.1255788181818,1,13211.906836642078,136,127,2,1201.0824396947344,69.99999999999997,7,0.8887141000000156,0,0
M,k0,4,1,1,1.0,-3.484206200000017,-3.484206200000017,-3.484206200000017,52001005,0.08374458729219442,1,10,True,True,0,qualified_runs_only,1,333.9630944,333.9630944,333.9630944,333.9630944,333.9630944,333.9630944,333.9630944,333.9630944,1,12813.154720080987,123,112,0,1281.3154720080988,0.0,5,1.8373788000000104,0,0,1,10,True,True,0,qualified_runs_only,1,330.4788882,330.4788882,330.4788882,330.4788882,330.4788882,330.4788882,330.4788882,330.4788882,1,12583.94440842168,125,113,0,1258.394440842168,0.0,6,0.7129764000000023,0,0
M,k0,5,5,5,0.8,-22.04445853333334,3.0171349761904676,5.921452666666653,52001007,0.37614214367765064,5,64,True,True,0,qualified_runs_only,5,297.3830085625,299.6258606843956,291.255085,322.6531906230769,328.91082106153846,333.9169254123077,335.1684515,335.1684515,1,15182.512547813247,118.4,107.4,2.2,1186.13379279791,77.00000000000001,4.8,3.2648867999999993,0,0,5,64,True,True,0,qualified_runs_only,5,277.862933140625,278.83637164007325,278.2034845384615,290.95430768,294.06542267333333,296.554314668,297.17653766666666,297.17653766666666,1,13976.227721952751,117.6,105.8,1.2,1091.8927907775587,41.99999999999997,7,1.1020117000000482,0,0
M,k0,6,4,4,0.75,-11.84032942410714,-0.8906491693750249,0.22327639999997473,52001003,0.32668710424882136,4,57,True,True,0,qualified_runs_only,4,258.46522250877194,261.7878357549107,255.09697122857142,298.98008420499997,307.23605797749997,313.84083699549996,315.49203174999997,315.49203174999997,1,14496.897102876486,119.5,109.75,1.75,1017.3261124825605,61.25000000000001,4.75,2.8238837000000103,0,0,4,57,True,True,0,qualified_runs_only,4,247.27470042105261,249.77195070535714,246.9697270357143,281.8227567,286.35431535,289.97956227,290.885874,290.885874,1,13649.57240391749,122,109.5,1,957.8647300994729,35.00000000000002,6.25,1.5175615000000562,0,0
M,k0,7,3,3,0.6666666666666666,-22.700238400000018,14.516767834999975,18.65199074999998,52001014,0.29779758249593774,3,43,True,True,0,qualified_runs_only,3,266.89815555813954,270.23568927083335,261.3716146666667,298.9384792,303.63433726666665,307.39102372,308.33019533333334,308.33019533333334,1,15362.701149437493,115,102.33333333333333,1.3333333333333333,1071.8163592630808,46.66666666666673,6,2.8178108000000748,0,0,3,43,True,True,0,qualified_runs_only,3,255.60468358139534,261.2000315541667,238.67137626666667,309.32002411999997,318.15110510166664,325.21596988699997,326.9821860833333,326.9821860833333,1,14590.002324677915,112.33333333333333,101.33333333333333,3.6666666666666665,1017.9071389310172,128.33333333333334,6.666666666666667,1.010409999999979,0,0
M,k0,8,5,5,1.0,-12.443023923076908,-2.1685933054944835,-0.9681427857142637,52001009,0.4371792239348176,5,61,True,True,0,qualified_runs_only,5,259.044842852459,261.8660000051948,249.46990330769228,292.0532448727273,293.9273481636364,295.42663079636367,295.8014514545455,295.8014514545455,1,12020.735413429575,117.2,105.6,1.2,985.3061814286536,42.00000000000003,3.8,2.9294961000000512,0,0,5,61,True,True,0,qualified_runs_only,5,246.30336501639346,248.25783839014986,242.49950792307692,268.5254416290909,271.00318441454544,272.9853786429091,273.4809272,273.4809272,1,11254.505265766842,116.6,105.2,1.6,922.5004316202329,56.000000000000014,5.2,1.2693505999999388,0,0
M,activity_group,10+,20,20,0.85,-12.696515861538444,6.557979570833329,18.65199074999998,52001014,0.3730636140860159,20,262,True,True,0,qualified_runs_only,20,273.71063737786255,278.0109110845729,283.9127338071429,329.6455102127273,334.023362255,334.939433651,335.1684515,335.1684515,1,14084.046748205856,118.3,107.15,1.55,1075.1180723821265,54.25000000000002,4.75,3.953902599999992,0,0,20,262,True,True,0,qualified_runs_only,20,259.77006165648856,263.86065073266127,262.407165069697,319.91123954469697,327.15702118916664,329.8145147978333,330.4788882,330.4788882,1,13140.439038747365,119.35,107.7,1.65,1003.0869495226997,57.75000000000001,6.15,1.9283071000000973,0,0
M,chosen_template,6,20,20,0.85,-12.696515861538444,6.557979570833329,18.65199074999998,52001014,0.3730636140860159,20,262,True,True,0,qualified_runs_only,20,273.71063737786255,278.0109110845729,283.9127338071429,329.6455102127273,334.023362255,334.939433651,335.1684515,335.1684515,1,14084.046748205856,118.3,107.15,1.55,1075.1180723821265,54.25000000000002,4.75,3.953902599999992,0,0,20,262,True,True,0,qualified_runs_only,20,259.77006165648856,263.86065073266127,262.407165069697,319.91123954469697,327.15702118916664,329.8145147978333,330.4788882,330.4788882,1,13140.439038747365,119.35,107.7,1.65,1003.0869495226997,57.75000000000001,6.15,1.9283071000000973,0,0
