seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001014,M,12,7,10+,6,True,18.65199074999998,223.82388899999978,1,3,-1369.1194439467272,2179.3520469831765,-0.6282231665333582,1369.1194439467272,-10,-6,2,2,273.82388878934717,-50.0,-6.0,0.0,6.0
52001014,N,12,7,10+,6,True,18.65199074999998,223.82388899999978,1,3,-1369.1194439467272,2179.3520469831765,-0.6282231665333582,1369.1194439467272,-10,-6,2,2,273.82388878934717,-50.0,-6.0,0.0,6.0
52001007,M,12,5,10+,6,True,5.921452666666653,71.05743200000006,2,2,-215.28716242360315,1291.6681199471423,-0.1666737446708936,215.28716242360315,5,3,0,0,43.057432484722085,25.0,3.0,0.0,0.0
52001007,N,12,5,10+,6,True,4.527690666666672,54.33228800000006,2,1,-171.66144143552447,1291.6681199471423,-0.13289903093880587,171.66144143552447,4,3,-1,-1,34.33228828710617,20.0,3.0,0.0,-3.0
52001009,N,14,8,10+,6,True,1.3609901428571618,19.05386200000021,1,2,-100.26930875877588,2297.5436777238556,-0.043641959772495506,100.26930875877588,0,-4,1,1,20.05386175175545,0.0,-4.0,0.0,3.0
52001003,M,15,6,10+,6,True,0.22327639999997473,3.349145999999564,1,2,-61.74573320158379,3066.302685968225,-0.02013686824987624,61.74573320158379,-2,-2,1,1,12.34914664031703,-10.0,-2.0,0.0,3.0
52001009,M,14,8,10+,6,True,-0.9681427857142637,-13.553998999999749,1,3,52.769992875357275,2297.5436777238556,0.022968004215543694,-52.769992875357275,-1,-4,2,2,-10.553998575071546,-5.0,-4.0,0.0,6.0
52001005,M,10,4,10+,6,True,-3.484206200000017,-34.84206200000017,0,0,229.210311659308,2737.016433785351,0.08374458729219442,-229.210311659308,2,1,0,0,-45.8420623318616,10.0,1.0,0.0,0.0
52001005,N,10,4,10+,6,True,-3.484206200000017,-34.84206200000017,0,0,229.210311659308,2737.016433785351,0.08374458729219442,-229.210311659308,2,1,0,0,-45.8420623318616,10.0,1.0,0.0,0.0
52001001,M,13,8,10+,6,True,-6.970395384615358,-90.61513999999988,2,2,213.0757017146534,942.2131197245963,0.2261438492566674,-213.0757017146534,-9,-3,0,0,-42.61514034293077,-45.0,-3.0,0.0,0.0
