seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001103,M,10,4,10+,6,True,-60.99705740000002,-609.9705739999999,0,4,3649.852869872082,3390.4116201088127,1.0765220506632591,-3649.852869872082,19,13,4,4,-729.9705739744163,95.0,13.0,0.0,12.0
52001103,O,10,4,10+,6,True,-48.3503058,-483.5030579999998,0,3,3002.5152890735208,3390.4116201088127,0.8855901953808066,-3002.5152890735208,19,13,3,3,-600.5030578147039,95.0,13.0,0.0,9.0
52001100,M,14,7,10+,6,True,-30.45833350000001,-426.41666899999973,4,2,2592.0833465158175,2741.2316569106297,0.9455907675592429,-2592.0833465158175,16,18,-2,-2,-518.4166693031616,80.0,18.0,0.0,-6.0
52001100,O,14,7,10+,6,True,-25.007708857142887,-350.1079239999999,4,1,1895.5396208864167,2741.2316569106297,0.6914919489229493,-1895.5396208864167,5,13,-3,-3,-379.10792417728317,25.0,13.0,0.0,-9.0
52001101,M,15,9,10+,6,True,-4.751174333333324,-71.26761499999975,0,2,646.3380770035637,1941.25842149247,0.33294798355937016,-646.3380770035637,8,12,2,2,-129.2676154007131,40.0,12.0,0.0,6.0
52001101,O,15,9,10+,6,True,-3.6045932000000107,-54.06889799999999,0,3,535.3444920502661,1941.25842149247,0.2757718839095543,-535.3444920502661,6,14,3,3,-107.06889841005295,30.0,14.0,0.0,9.0
52001104,M,11,5,10+,6,True,-24.13540209090911,-265.489423,2,3,1587.4471142527182,2641.8101372075016,0.6008937174912626,-1587.4471142527182,9,4,1,1,-317.489422850545,45.0,4.0,0.0,3.0
52001104,O,11,5,10+,6,True,-48.93037590909091,-538.2341350000002,2,1,2556.170675380219,2641.8101372075016,0.9675830368650917,-2556.170675380219,-4,-4,-1,-1,-511.2341350760448,-20.0,-4.0,0.0,-3.0
52001102,M,16,8,10+,6,True,-38.27942837500001,-612.4708540000001,2,2,3017.354271074828,4618.259944859796,0.6533530609149006,-3017.354271074828,-1,-4,0,0,-603.4708542149679,-5.0,-4.0,0.0,0.0
52001102,O,16,8,10+,6,True,-40.45487237500001,-647.2779580000001,2,1,3281.389789993251,4618.259944859796,0.7105251391588503,-3281.389789993251,2,2,-1,-1,-656.2779579986518,10.0,2.0,0.0,-3.0
52001105,M,12,7,10+,6,True,-26.720481416666644,-320.6457770000002,0,3,1673.2288841798545,2832.8019324033976,0.5906621515046265,-1673.2288841798545,0,5,3,3,-334.6457768359687,0.0,5.0,0.0,9.0
52001105,O,12,7,10+,6,True,-23.481100416666663,-281.77320499999996,0,3,1513.866025829313,2832.8019324033976,0.5344058857461041,-1513.866025829313,2,2,3,3,-302.7732051658595,10.0,2.0,0.0,9.0
