seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52001103,E11,10,4,True,True,343.1140501,0.0,6,0,0,6,1356.070250537739,1.1558476000000155,05a3bf72780c603be0681ef0f1b75dd2de2e8a1d79f0b66e34bfaaa0f607b9fe,d9074fc8a5cd56d146946d2e8709854c36927f34e67c2931d07fe8b13b17f113,13560.702505377389,113,104,10,10,0,0,3431.140501
52001103,M,10,4,True,True,282.11699269999997,139.99999999999994,4,42,0,6,991.0849635505307,0.721270299999901,05a3bf72780c603be0681ef0f1b75dd2de2e8a1d79f0b66e34bfaaa0f607b9fe,d18b6592c227a10a15a19ae02384380f07858d18b44c2bcb5ca7d3d5c9b9ef01,9910.849635505307,132,117,14,10,4,0,2821.169927
52001103,O,10,4,True,True,294.7637443,104.99999999999989,7,42,0,6,1055.8187216303868,0.7272352999999612,05a3bf72780c603be0681ef0f1b75dd2de2e8a1d79f0b66e34bfaaa0f607b9fe,19a8314b186241d0800566372830fefa58d4e867b45f1358b428116b4b0fa4fa,10558.187216303868,132,117,13,10,3,0,2947.637443
52001100,E11,14,7,True,True,264.756275,139.99999999999997,3,0,0,6,1066.9956608403645,2.4607114000000365,0771571f511353818594cff5005f21f53a96d977d524ca96f174ebb58a9636ca,47f3921f3712ed038f9e729aa42583d7fffb9bf8c174f41097ad1206ab041703,14937.939251765103,109,92,18,14,4,0,3706.58785
52001100,M,14,7,True,True,234.2979415,70.00000000000009,4,57,0,6,881.846850374949,1.1092777999999726,0771571f511353818594cff5005f21f53a96d977d524ca96f174ebb58a9636ca,0e58b56e2a20b86f38bda2c4fcbb737a57c9f2c2cb2d38beb0600c017660baf2,12345.855905249286,125,110,16,14,2,0,3280.171181
52001100,O,14,7,True,True,239.74856614285713,35.00000000000001,8,49,0,6,931.5999736341919,0.918012200000021,0771571f511353818594cff5005f21f53a96d977d524ca96f174ebb58a9636ca,e7222a0b8d2a9e4b5585ae272a9b3d69fd11ff398051094d17d327a0fdbb1246,13042.399630878686,114,105,15,14,1,0,3356.479926
52001101,E11,15,9,True,True,235.86320806666666,0.0,6,0,0,6,949.6493737323186,3.369260899999972,b394ea69f57beb41b22f78923e564ddef3c0ec2eb2c6f5de2f761fe15a939552,77108c28dd9f4e4089a67deeea54406c584a7a6c5d796edb4478f1fe43f5b1a9,14244.74060598478,105,89,15,15,0,0,3537.948121
52001101,M,15,9,True,True,231.11203373333333,69.99999999999994,3,58,0,6,906.5601685987477,1.145574599999918,b394ea69f57beb41b22f78923e564ddef3c0ec2eb2c6f5de2f761fe15a939552,8f07b410731afc38d63e42112b90916371e29771bb04af5916e27bd7b0283e45,13598.402528981216,113,101,17,15,2,0,3466.680506
52001101,O,15,9,True,True,232.25861486666665,105.00000000000009,5,56,0,6,913.9597409289676,1.0268403999999691,b394ea69f57beb41b22f78923e564ddef3c0ec2eb2c6f5de2f761fe15a939552,0a2595801c327f324b4f20567e9faaceb9e48933f751ff61b9d4a5fc5871bd30,13709.396113934514,111,103,18,15,3,0,3483.879223
52001104,E11,11,5,True,True,330.3699762727273,70.0,6,0,0,6,1319.577154152626,2.063361699999973,af8f2aab97701721ee1f4a4941d486ebe39428250a12749f55ad5a8bb8fae710,bd676fd0fc3a6575afef3cd6071f123f5dfee8c964933843c0bb6064cb43c636,14515.348695678886,113,105,13,11,2,0,3634.069739
52001104,M,11,5,True,True,306.2345741818182,104.99999999999991,7,40,0,6,1175.2637801296516,0.7264890999999807,af8f2aab97701721ee1f4a4941d486ebe39428250a12749f55ad5a8bb8fae710,02981b643bb62c50d128d5ff4a91718d15bed0bc45e4d0fa551c6a603712f768,12927.901581426167,122,109,14,11,3,0,3368.580316
52001104,O,11,5,True,True,281.4396003636364,34.999999999999936,8,33,0,6,1087.1980018453332,0.6335955999999214,af8f2aab97701721ee1f4a4941d486ebe39428250a12749f55ad5a8bb8fae710,4260536b4a5e62144d6c48188e7923b210aaaa6da621d124d708ca6785a925c4,11959.178020298667,109,101,12,11,1,0,3095.835604
52001102,E11,16,8,True,True,235.828999375,69.99999999999991,7,0,0,6,960.707496855699,4.416005200000086,a23ab3595c202c71d682ce7a58e62a95072f9ebc5829f3643c01516615c4073c,6043ca36a80197c23a42c29790f2e6ab65c2e5a54d288dcb405148ef2088d7b4,15371.319949691184,104,93,18,16,2,0,3773.26399
52001102,M,16,8,True,True,197.549571,69.99999999999999,8,62,0,6,772.1228549135222,1.2574030000000675,a23ab3595c202c71d682ce7a58e62a95072f9ebc5829f3643c01516615c4073c,cc76853c8c5c2fd62fd122abb1042cb64ae7587d8c90090707a1f52237dfd7eb,12353.965678616356,103,89,18,16,2,0,3160.793136
52001102,O,16,8,True,True,195.374127,34.999999999999986,5,65,0,6,755.6206349811208,1.4484546999999566,a23ab3595c202c71d682ce7a58e62a95072f9ebc5829f3643c01516615c4073c,a5ee812d7d5c36b237399f9d915feaaf1d746846da27a3e757504ccfc715f435,12089.930159697933,106,95,17,16,1,0,3125.986032
