strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
M,N,10,3,3,1.0,-25.368561399999976,-22.52211141999996,-22.205839199999957,52001117,0.8345737778350083,3,30,True,True,0,qualified_runs_only,3,340.9025197333333,340.9025197333333,343.1140501,354.26954834,355.66398562,356.779535444,357.0584229,357.0584229,1,13203.459320529028,120.33333333333333,114.66666666666667,0.6666666666666666,1320.345932052903,23.333333333333343,4.666666666666667,1.9688585000000103,0,0,3,30,True,True,0,qualified_runs_only,3,304.7120337333333,304.7120337333333,300.329247,325.4177386,328.55380005,331.06264921,331.6898615,331.6898615,1,11103.935019663386,129.66666666666666,119,3,1110.3935019663388,105.0,5,0.9601602000000184,0,0
M,N,11,3,3,1.0,-19.504555090909093,-16.308485481818174,-15.953366636363626,52001111,0.6302001726994921,3,33,True,True,0,qualified_runs_only,3,309.21318915151517,309.21318915151517,305.6871320909091,325.43340743636367,327.90169185454545,329.8763193890909,330.3699762727273,330.3699762727273,1,13130.058736697652,121,112.33333333333333,1,1193.6417033361502,35.0,4.666666666666667,2.063361699999973,0,0,3,33,True,True,0,qualified_runs_only,3,289.34874787878783,289.3487478787879,286.182577,302.22417474545455,304.22937446363636,305.8335342381818,306.2345741818182,306.2345741818182,1,11884.181133111608,126.33333333333333,115.33333333333333,1.3333333333333333,1080.3801030101463,46.666666666666636,5,1.355656799999906,0,0
M,N,12,3,3,1.0,-27.51558216666666,-26.799991491666646,-26.720481416666644,52001105,0.6480974862932697,3,36,True,True,0,qualified_runs_only,3,285.7900466111111,285.7900466111111,285.14893566666666,311.61117626666663,314.91895634166667,317.5651804016667,318.22673641666665,318.22673641666665,1,13502.402795930453,113.33333333333333,101.33333333333333,0.3333333333333333,1125.2002329942045,11.666666666666691,4.666666666666667,2.2979426000001695,0,0,3,36,True,True,0,qualified_runs_only,3,258.43944325,258.43944325,258.42845425,284.25461425,287.48288425,290.06550025,290.71115425,290.71115425,1,11664.69992862849,119,107.33333333333333,2,972.0583273857075,70.00000000000001,4.666666666666667,1.2135328000000527,0,0
M,N,13,2,2,1.0,-13.726045269230767,-6.946242773076918,-6.1929313846153775,52001113,0.4619507208289502,2,26,True,True,0,qualified_runs_only,2,253.45020765384618,253.45020765384615,253.45020765384615,261.8182174076923,262.86421862692305,263.70101960230767,263.91021984615384,263.91021984615384,1,12649.263498123284,117,104.5,3.5,973.0202690864064,122.50000000000003,6,4.304973099999984,0,0,2,26,True,True,0,qualified_runs_only,2,239.7241623846154,239.7241623846154,239.7241623846154,242.0656810307692,242.35837086153845,242.59252272615385,242.65106069230768,242.65106069230768,1,11859.570555040518,114.5,105.5,0.5,912.2746580800399,17.500000000000004,5,1.097355799999832,0,0
M,N,14,3,3,1.0,-14.841055428571451,-4.646822928571437,-3.514130428571434,52001107,0.4998672396264463,3,42,True,True,0,qualified_runs_only,3,262.65862538095234,262.6586253809524,264.756275,268.5004876285714,268.96851420714285,269.34293547,269.43654078571427,269.43654078571427,1,14622.77044357726,115,100.66666666666667,2.3333333333333335,1044.4836031126613,81.6666666666667,4.666666666666667,3.335194999999999,0,0,3,42,True,True,0,qualified_runs_only,3,246.38745226190474,246.38745226190474,238.9420049285714,260.52632927142855,263.2243698142857,265.3828022485714,265.92241035714284,265.92241035714284,1,13292.121659555278,121.33333333333333,109.33333333333333,1.6666666666666667,949.4372613968056,58.33333333333332,6.333333333333333,1.2482345999999325,0,0
M,N,15,3,3,1.0,-16.523717599999998,-5.928428659999993,-4.751174333333324,52001101,0.5585010084660018,3,45,True,True,0,qualified_runs_only,3,239.38256686666665,239.38256686666668,240.39852413333335,241.58847954666666,241.73722397333333,241.85621951466666,241.8859684,241.8859684,1,14323.692516831466,110.33333333333333,97.33333333333333,0.6666666666666666,954.9128344554312,23.33333333333329,4.666666666666667,3.45617500000003,0,0,3,45,True,True,0,qualified_runs_only,3,225.08707391111113,225.0870739111111,225.3622508,229.96207714666667,230.53705544,230.99703807466668,231.11203373333333,231.11203373333333,1,13058.197209260263,116,104.66666666666667,1.6666666666666667,870.5464806173508,58.333333333333314,3.3333333333333335,1.5204281999999694,0,0
M,N,16,3,3,1.0,-25.55828593749999,-6.735917068750002,-4.644542749999999,52001109,0.545826288195245,3,48,True,True,0,qualified_runs_only,3,235.63384929166668,235.63384929166668,235.828999375,242.245461925,243.04751974375,243.68916599875,243.8495775625,243.8495775625,1,15294.041276044041,106.66666666666667,93,1.6666666666666667,955.8775797527525,58.33333333333332,6,4.424551999999949,0,0,3,48,True,True,0,qualified_runs_only,3,212.80643027083332,212.80643027083335,218.291291625,221.72100087500002,222.14971453125,222.49268545625,222.5784281875,222.5784281875,1,13514.514421331145,105,91,2,844.6571513331966,70.00000000000003,6.666666666666667,1.4069899999999507,0,0
M,k0,3,1,1,1.0,-25.368561399999976,-25.368561399999976,-25.368561399999976,52001110,0.46865484723359313,1,10,True,True,0,qualified_runs_only,1,357.0584229,357.0584229,357.0584229,357.0584229,357.0584229,357.0584229,357.0584229,357.0584229,1,13747.921144539443,128,125,2,1374.7921144539444,70.00000000000003,5,1.9688585000000103,0,0,1,10,True,True,0,qualified_runs_only,1,331.6898615,331.6898615,331.6898615,331.6898615,331.6898615,331.6898615,331.6898615,331.6898615,1,12594.493073914266,124,119,3,1259.4493073914266,105.00000000000006,6,0.6477370000000064,0,0
M,k0,4,3,3,1.0,-22.205839199999957,-16.578613892727258,-15.953366636363626,52001111,1.051602131274604,3,31,True,True,0,qualified_runs_only,3,318.19027138709674,319.07719846363636,322.53508619999997,338.99825732,341.05615371,342.702470822,343.1140501,343.1140501,1,12558.164022064242,122,113.66666666666667,0.3333333333333333,1215.3061956836364,11.666666666666666,4.333333333333333,1.4437246999999616,0,0,3,31,True,True,0,qualified_runs_only,3,285.6897552903226,286.0251107181818,282.11699269999997,296.68679614,298.50802157,299.965001914,300.329247,300.329247,1,10503.970689837523,134.33333333333334,121,2.3333333333333335,1016.5132925649216,81.66666666666664,4,1.355656799999906,0,0
M,k0,5,3,3,1.0,-19.504555090909093,-15.307405394805215,-14.841055428571451,52001114,0.5159981865186208,3,36,True,True,0,qualified_runs_only,3,293.0441954722222,296.61338957359305,305.6871320909091,325.43340743636367,327.90169185454545,329.8763193890909,330.3699762727273,330.3699762727273,1,13854.318394776537,115,105.66666666666667,1.6666666666666667,1154.526532898045,58.33333333333337,5,2.812272299999904,0,0,3,36,True,True,0,qualified_runs_only,3,273.9382425555556,277.1197187034632,286.182577,302.22417474545455,304.22937446363636,305.8335342381818,306.2345741818182,306.2345741818182,1,12614.627887151755,118,109.33333333333333,1.6666666666666667,1051.2189905959794,58.333333333333286,6.333333333333333,0.9511229000002004,0,0
M,k0,6,3,3,1.0,-21.259159153846156,-5.288633301098908,-3.514130428571434,52001107,0.44003106491361804,3,39,True,True,0,qualified_runs_only,3,282.60680169230767,283.85783234951157,269.43654078571427,308.4686972904762,313.3477168535714,317.2509325040476,318.22673641666665,318.22673641666665,1,14501.10877754755,119.33333333333333,105,2.3333333333333335,1115.4699059651962,81.66666666666669,6,3.335194999999999,0,0,3,39,True,True,0,qualified_runs_only,3,265.7925996153846,266.4282084331502,265.92241035714284,285.75340547142855,288.2322798607143,290.2153793721428,290.71115425,290.71115425,1,13323.185641897782,122.66666666666667,108.33333333333333,1.3333333333333333,1024.8604339921371,46.66666666666664,6.666666666666667,1.2482345999999325,0,0
M,k0,7,4,4,1.0,-27.26811395833333,-18.053232172499996,-16.523717599999998,52001115,0.6573973682735619,4,53,True,True,0,qualified_runs_only,4,260.4641173018868,261.4464117041667,259.375371375,279.0311374666667,282.09003656666664,284.5371558466667,285.14893566666666,285.14893566666666,1,13601.997771481434,112,100,1.5,1026.5658695457687,52.5,3.75,3.45617500000003,0,0,4,53,True,True,0,qualified_runs_only,4,235.39417073584906,236.06684195,230.238331375,251.18930042500003,254.8088773375,257.7045388675,258.42845425,258.42845425,1,11754.863811010558,118,107.25,1.5,887.1595329064572,52.50000000000005,3.75,1.5204281999999694,0,0
M,k0,8,4,4,1.0,-23.584936435416665,-8.505729716923078,-6.1929313846153775,52001113,0.6774219362369934,4,60,True,True,0,qualified_runs_only,4,240.6617939,240.76682413309294,241.6943597974359,243.59176293221154,243.72067024735577,243.82379609947117,243.8495775625,243.8495775625,1,14419.634542842628,110,98.75,0.75,961.308969522842,26.249999999999957,5.75,4.416005200000086,0,0,4,60,True,True,0,qualified_runs_only,4,216.89370488333333,217.85626597548077,218.5391144125,231.39416601384616,234.09571504538462,236.25695427061538,236.79726407692308,236.79726407692308,1,12563.277866117389,112,100.5,1.75,837.5518577411592,61.249999999999964,5.25,1.4069899999999507,0,0
M,k0,9,2,2,1.0,-4.697858541666662,-4.649874329166666,-4.644542749999999,52001109,0.20744375343265256,2,31,True,True,0,qualified_runs_only,2,231.40373083870966,231.54308950208332,231.54308950208332,234.99918435375,235.43119621020833,235.776805695375,235.86320806666666,235.86320806666666,1,14476.289140037796,104.5,87,1.5,933.9541380669546,52.50000000000003,5.5,4.424551999999949,0,0,2,31,True,True,0,qualified_runs_only,2,226.70759216129034,226.84523096041667,226.84523096041667,230.25867317875,230.68535345604167,231.026697677875,231.11203373333333,231.11203373333333,1,14039.83839282216,106,92.5,2,905.7960253433652,70.00000000000006,5,1.145574599999918,0,0
M,activity_group,10+,20,20,1.0,-21.90871306666665,-4.58802213392857,-3.514130428571434,52001107,0.6055035740563472,20,260,True,True,0,qualified_runs_only,20,270.8598478923077,276.3821403206714,264.33324742307695,331.6443836554546,343.81126874,354.408992068,357.0584229,357.0584229,1,13876.390113253814,114.7,103.35,1.35,1067.4146240964471,47.25000000000001,5,4.424551999999949,0,0,20,260,True,True,0,qualified_runs_only,20,249.68622248076923,254.4895934343571,240.79653281043954,300.9197797181818,307.5073385477273,326.8533569095454,331.6898615,331.6898615,1,12363.604461236577,119.05,107.55,1.8,951.0464970181982,62.99999999999999,5.15,1.5204281999999694,0,0
M,chosen_template,6,20,20,1.0,-21.90871306666665,-4.58802213392857,-3.514130428571434,52001107,0.6055035740563472,20,260,True,True,0,qualified_runs_only,20,270.8598478923077,276.3821403206714,264.33324742307695,331.6443836554546,343.81126874,354.408992068,357.0584229,357.0584229,1,13876.390113253814,114.7,103.35,1.35,1067.4146240964471,47.25000000000001,5,4.424551999999949,0,0,20,260,True,True,0,qualified_runs_only,20,249.68622248076923,254.4895934343571,240.79653281043954,300.9197797181818,307.5073385477273,326.8533569095454,331.6898615,331.6898615,1,12363.604461236577,119.05,107.55,1.8,951.0464970181982,62.99999999999999,5.15,1.5204281999999694,0,0
M,clear_failures,0,3,3,1.0,-21.259159153846156,-19.6800154972028,-19.504555090909093,52001118,0.6017316651837002,3,36,True,True,0,qualified_runs_only,3,273.3701367777778,274.5306065623543,263.91021984615384,297.331749641958,301.5094408664335,304.851593846014,305.6871320909091,305.6871320909091,1,12707.208206722016,113.66666666666667,102.66666666666667,2.6666666666666665,1058.9340172268348,93.33333333333337,4.666666666666667,2.2979426000001695,0,0,3,36,True,True,0,qualified_runs_only,3,250.4615775277778,251.67078631410254,242.65106069230768,277.47627373846154,281.82942536923076,285.31194667384614,286.182577,286.182577,1,11306.02798412861,115.66666666666667,106,0,942.1689986773841,0.0,5.333333333333333,0.9946915000000445,0,0
