seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001117,O,10,4,10+,6,True,0.41666620000000876,4.166662000000088,0,2,444.16669365854614,1695.495676828279,0.2619686382742288,-444.16669365854614,16,7,2,2,-88.83333873170932,80.0,7.0,0.0,6.0
52001107,M,14,6,10+,6,True,-3.514130428571434,-49.19782600000008,0,1,400.98912872550136,3193.844456883313,0.12555061279245994,-400.98912872550136,5,3,1,1,-80.197825745101,25.0,3.0,0.0,3.0
52001101,O,15,9,10+,6,True,-3.6045932000000107,-54.06889799999999,0,3,535.3444920502661,1941.25842149247,0.2757718839095543,-535.3444920502661,6,14,3,3,-107.06889841005295,30.0,14.0,0.0,9.0
52001109,O,16,9,10+,6,True,-4.307662875000005,-68.92260600000009,3,2,449.6130309742439,2266.6363933044668,0.1983613394289348,-449.6130309742439,3,9,-1,-1,-89.9226061948475,15.0,9.0,0.0,-3.0
52001109,M,16,9,10+,6,True,-4.644542749999999,-74.31268399999999,3,2,226.56341742770928,2266.6363933044668,0.09995578386412861,-226.56341742770928,-5,-1,-1,-1,-45.312683485541584,-25.0,-1.0,0.0,-3.0
52001101,M,15,9,10+,6,True,-4.751174333333324,-71.26761499999975,0,2,646.3380770035637,1941.25842149247,0.33294798355937016,-646.3380770035637,8,12,2,2,-129.2676154007131,40.0,12.0,0.0,6.0
52001113,M,13,8,10+,6,True,-6.1929313846153775,-80.508108,0,1,397.54053792503873,1601.9292971462892,0.24816359787740064,-397.54053792503873,-1,1,1,1,-79.50810758500802,-5.0,1.0,0.0,3.0
52001113,O,13,8,10+,6,True,-10.391752615384632,-135.0927840000004,0,1,1115.463920170805,1601.9292971462892,0.6963253135815146,-1115.463920170805,15,10,1,1,-223.09278403416147,75.0,10.0,0.0,3.0
52001114,M,14,5,10+,6,True,-14.841055428571451,-207.7747760000002,3,2,998.8738768246258,2050.9370425176203,0.48703292988382607,-998.8738768246258,-2,5,-1,-1,-199.7747753649246,-10.0,5.0,0.0,-3.0
52001111,O,11,4,10+,6,True,-15.42786872727271,-169.70655599999964,1,2,538.5327779253621,774.2748132025554,0.6955318302268969,-538.5327779253621,-10,-15,1,1,-107.70655558507178,-50.0,-15.0,0.0,3.0
