seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001202,O,11,3,10+,6,True,-27.637674272727224,-304.01441699999987,8,0,930.0720873688551,2130.3446558432897,0.4365829185515943,-930.0720873688551,-16,-14,-8,-8,-186.01441747376975,-80.0,-14.0,0.0,-24.0
52001202,P,11,3,10+,6,True,-23.685427727272668,-260.5397049999997,8,1,642.6985257493543,2130.3446558432897,0.3016875809210056,-642.6985257493543,-20,-11,-7,-7,-128.53970514987031,-100.0,-11.0,0.0,-21.0
52001201,O,10,4,10+,6,True,-38.24167789999996,-382.4167789999997,0,0,1937.0838952457943,3639.390783727513,0.5322549872651507,-1937.0838952457943,2,-5,0,0,-387.4167790491597,10.0,-5.0,0.0,0.0
52001201,P,10,4,10+,6,True,-39.836302099999955,-398.36302099999966,0,1,1876.8151049249718,3639.390783727513,0.5156948556655717,-1876.8151049249718,-4,-6,1,1,-375.3630209849953,-20.0,-6.0,0.0,3.0
52001203,O,12,8,10+,6,True,-1.747482500000018,-20.969790000000103,1,2,-65.15105259800839,234.20196711887365,-0.2781831997377705,65.15105259800839,-6,-7,1,1,13.030210519603543,-30.0,-7.0,0.0,3.0
52001203,P,12,8,10+,6,True,-1.0847491666666826,-13.016990000000078,1,1,-869.9150509553128,234.20196711887365,-3.7143797793712423,869.9150509553128,-32,-27,0,0,173.9830101910636,-160.0,-27.0,0.0,0.0
52001200,O,16,10,10+,6,True,-26.498873000000003,-423.98196800000005,0,2,2094.9098415523877,3214.647973395202,0.6516762827190111,-2094.9098415523877,-2,-1,2,2,-418.98196831047517,-10.0,-1.0,0.0,6.0
52001200,P,16,10,10+,6,True,-23.261730437500006,-372.1876870000001,0,1,930.9384374527071,3214.647973395202,0.28959265373915316,-930.9384374527071,-33,-24,1,1,-186.1876874905388,-165.0,-24.0,0.0,3.0
52001204,O,13,7,10+,6,True,12.006708384615365,156.0872089999998,0,3,-495.43604242559195,928.6962248785512,-0.5334748103346515,495.43604242559195,7,13,3,3,99.08720848511712,35.0,13.0,0.0,9.0
52001204,P,13,7,10+,6,True,23.166357384615367,301.16264599999977,0,4,-1850.8132276541128,928.6962248785512,-1.9929156359994356,1850.8132276541128,-15,-6,4,4,370.1626455308219,-75.0,-6.0,0.0,12.0
