seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52001202,E11,11,3,True,True,329.4455664545454,279.9999999999999,5,0,0,6,1274.5005597275106,0.7651691000000937,9117e845a84b86bf44e2fbb2b91288fa4c9f90ba71eb9356091aa9cc0731b89b,415b81fb4ec201cdac0cbcb51e971c2ff9de87a409dea089d3818d5a482a0ab8,14019.506157002617,126,111,19,11,8,0,3623.901231
52001202,O,11,3,True,True,301.8078921818182,0.0,9,32,0,6,1189.9485517848875,0.37320909999994,9117e845a84b86bf44e2fbb2b91288fa4c9f90ba71eb9356091aa9cc0731b89b,16b0e19bc2679f7ca625f6143043698ecd24ea1df71feb1fd72eca8f0992e884,13089.434069633762,110,97,11,11,0,0,3319.886814
52001202,P,11,3,True,True,305.76013872727276,35.00000000000008,11,28,0,6,1216.073421023024,0.31927730000006704,9117e845a84b86bf44e2fbb2b91288fa4c9f90ba71eb9356091aa9cc0731b89b,c47cb389ff0c376654254bf09574a5af493b0cc45f977892f08fec183a1f74c7,13376.807631253263,106,100,12,11,1,0,3363.361526
52001201,E11,10,4,True,True,361.99406519999997,0.0,6,0,0,6,1438.4703259752907,0.8875914000000193,c01e90a562126fac1d14208b5414888948060e9c1755f2c56939a4baa1e41023,f74269c40a642b99b14157aaca71093ed635ee21184cf77a251182be0d8a5360,14384.703259752907,116,113,10,10,0,0,3619.940652
52001201,O,10,4,True,True,323.7523873,0.0,8,32,0,6,1244.7619364507113,0.43941319999998996,c01e90a562126fac1d14208b5414888948060e9c1755f2c56939a4baa1e41023,ac106da861041c678a95c8cfafd105b3709348a4d64f6d286549432121d9e36f,12447.619364507113,118,108,10,10,0,0,3237.523873
52001201,P,10,4,True,True,322.1577631,34.99999999999999,8,26,0,6,1250.7888154827936,0.3371589999999287,c01e90a562126fac1d14208b5414888948060e9c1755f2c56939a4baa1e41023,d3923a4d5006cf8588a8217c76e6c77814b4ac41f4a2eba8109fdcd3d816beb7,12507.888154827935,112,107,11,10,1,0,3221.577631
52001203,E11,12,8,True,True,233.31203908333336,34.999999999999936,1,0,0,6,822.3935286665181,1.8034033999999792,c211075eb1f8d54b70d5ed5a4e10fa72291bde8378f78212066b938f8ae2fc52,2043d989e84440891da0c1b767f5554160f389d64a2ec123c3afbd59034e9468,9868.722343998217,129,118,13,12,1,0,2799.744469
52001203,O,12,8,True,True,231.56455658333334,70.00000000000004,2,59,0,6,827.8227830496854,0.8805969999998524,c211075eb1f8d54b70d5ed5a4e10fa72291bde8378f78212066b938f8ae2fc52,d15973dc1107bc35d6302ba282f780e2279b3fecb6c8cfa8df7e8147bc4cb9db,9933.873396596226,123,111,14,12,2,0,2778.774679
52001203,P,12,8,True,True,232.22728991666668,35.000000000000014,7,33,0,6,894.8864495794609,0.42288600000006227,c211075eb1f8d54b70d5ed5a4e10fa72291bde8378f78212066b938f8ae2fc52,9c50b97071263da42fa8a1f1d595cc692911ea91922d05493b0c18f53cf9a576,10738.63739495353,97,91,13,12,1,0,2786.727479
52001200,E11,16,10,True,True,219.073420875,0.0,5,0,0,6,890.3671045042584,2.0629701000000296,666566d8474bca33cc39c27a5217138fa0e3db5173160e460ab6b9d8f696e33a,b87776affb63097ff1e7824a633e155965ef743399cd1dddbce8f9460fa6c11e,14245.873672068134,98,86,16,16,0,0,3505.174734
52001200,O,16,10,True,True,192.574547875,69.99999999999991,5,72,0,6,759.4352394072341,1.2106937999999445,666566d8474bca33cc39c27a5217138fa0e3db5173160e460ab6b9d8f696e33a,96b41551c38409fbfdd510a047b9da18dc4418202773e7d9a4d22096da9345ee,12150.963830515746,96,85,18,16,2,0,3081.192766
52001200,P,16,10,True,True,195.8116904375,34.99999999999997,8,40,0,6,832.1834521634642,0.5291688000002068,666566d8474bca33cc39c27a5217138fa0e3db5173160e460ab6b9d8f696e33a,6087fb8d193ba70651564d5ca8ca8d9a05505dbaacddd51695c897c451cb7886,13314.935234615426,65,62,17,16,1,0,3132.987047
52001204,E11,13,7,True,True,226.35379630769233,0.0,5,0,0,6,831.3843662635848,2.346394700000019,c9fb88632603e6c65d8e9b9313938c51cba1fe748f829196237a94f92144a787,8d38ef33853fb95e4d89a6b104431794bb0660f91861a88103f06c81b9733224,10807.996761426602,122,106,13,13,0,0,2942.599352
52001204,O,13,7,True,True,238.3605046923077,104.99999999999994,7,59,0,6,869.4948310655534,1.1217225000000326,c9fb88632603e6c65d8e9b9313938c51cba1fe748f829196237a94f92144a787,1335f4f53aa145af209093cc77cc920c8757466f75168805f2ade860f49fe4fa,11303.432803852194,129,119,16,13,3,0,3098.686561
52001204,P,13,7,True,True,249.5201536923077,139.99999999999997,10,37,0,6,973.7546145446704,0.5420297000000573,c9fb88632603e6c65d8e9b9313938c51cba1fe748f829196237a94f92144a787,64b8701d622de139d5f5d4eb0bde43645fc263ab3f257274949dad72d8e85ddc,12658.809989080715,107,100,17,13,4,0,3243.761998
52001205,E11,14,9,True,True,236.62664571428573,104.99999999999997,3,0,0,6,858.4903713641654,2.3466538999998647,a91febc5dc8c93f4e4b59bb2e204d1577fb4ef258d49518570baada35a424156,12ba20df542ac03515bc17a65680b14599ecce7786c9883f940b918982898f0c,12018.865199098316,141,125,17,14,3,0,3312.77304
52001205,O,14,9,True,True,221.5535192142857,70.00000000000003,5,79,0,6,783.1247388917325,2.0275219000000106,a91febc5dc8c93f4e4b59bb2e204d1577fb4ef258d49518570baada35a424156,fc8eff34a844a4cfb399afa5ff8a17c3142a9a3b2be2897b8ba4fb262adea905,10963.746344484254,141,128,16,14,2,0,3101.749269
52001205,P,14,9,True,True,239.00474485714287,69.99999999999993,9,36,0,6,960.3808669666325,0.5039321000001564,a91febc5dc8c93f4e4b59bb2e204d1577fb4ef258d49518570baada35a424156,cf5561c2973de756c60af7842bcc94b78dcab8736db16c4d49fbe95362a98dd6,13445.332137532856,98,91,16,14,2,0,3346.066428
52001207,E11,16,7,True,True,212.26555475,34.99999999999989,4,0,0,6,818.8277738704993,3.0561912999999095,a0a0da086209c563fed5c325165763e25c56899d132ee9b3725a51494b09043a,3bd1d8e1c61a84b1caa3489d59d843cd3dcdf3a65f5b504b1705d9cd026b4386,13101.244381927989,117,108,17,16,1,0,3396.248876
52001207,O,16,7,True,True,210.0779034375,105.00000000000011,7,54,0,6,861.6395173021914,0.8217824000000746,a0a0da086209c563fed5c325165763e25c56899d132ee9b3725a51494b09043a,76be5b001c5296898ffc9add3e56f2925b6e39ec75b4ad61688e2c0d8f5b90fa,13786.232276835062,88,75,19,16,3,0,3361.246455
52001207,P,16,7,True,True,211.243281125,70.00000000000009,9,40,0,6,892.4664056472983,0.5368565000001126,a0a0da086209c563fed5c325165763e25c56899d132ee9b3725a51494b09043a,42b5bec6ce365d0126aee745f1d43415fed552b04e1c02b0bade11b95e390bbb,14279.462490356773,74,68,18,16,2,0,3379.892498
52001208,E11,10,6,True,True,317.63908630000003,0.0,5,0,0,6,1218.1954313163362,1.9961742000000413,b0a48afaef6d2af4af3f2e07c55cde53aba3dd38b43b1caf3b16aaf0de0c18ae,44de4cf124c1ecd8e125f9d935560b3be059838bfceb3f6e52bc2e78888b6f67,12181.954313163362,117,105,10,10,0,0,3176.390863
52001208,O,10,6,True,True,272.4403829,0.0,5,34,0,6,999.7019143483327,0.6728130999999848,b0a48afaef6d2af4af3f2e07c55cde53aba3dd38b43b1caf3b16aaf0de0c18ae,b058de6bd04ad35d052c2cf7bf25eab33f662a062965abe4b8efaee74267a49a,9997.019143483327,115,100,10,10,0,0,2724.403829
52001208,P,10,6,True,True,312.8325373,0.0,9,22,0,6,1235.162686643221,0.3126600000000508,b0a48afaef6d2af4af3f2e07c55cde53aba3dd38b43b1caf3b16aaf0de0c18ae,958ddf481dd69ca1ebe62c5e7e3d162670809b0ac06d682e7c4e4a6ae2256daf,12351.626866432209,102,98,10,10,0,0,3128.325373
52001206,E11,15,8,True,True,260.95947886666664,70.00000000000003,6,0,0,6,1056.4640610202334,3.803425400000151,68a044bbb92ae6f6675aa57f7daf40eb28ce032cc4d7ed002b6c3a04c9941bfa,5b372e50e8986b7901458fb239104ab1b604e964f493cf8947c3c52638f024cf,15846.960915303502,113,99,17,15,2,0,3914.392183
52001206,O,15,8,True,True,229.93888946666667,70.00000000000014,7,58,0,6,895.6944472502031,1.0977489000001697,68a044bbb92ae6f6675aa57f7daf40eb28ce032cc4d7ed002b6c3a04c9941bfa,feee35db9306767382b6fa2f492888a93417e3751379d0646322643ebbdfb0fa,13435.416708753046,115,106,17,15,2,0,3449.083342
52001206,P,15,8,True,True,233.62366493333332,105.00000000000011,9,38,0,6,955.7849912830562,0.4727100000000064,68a044bbb92ae6f6675aa57f7daf40eb28ce032cc4d7ed002b6c3a04c9941bfa,55964874b79323ca3c40d0d02b407956601e2e6fc525a01f952dde094b40372d,14336.774869245843,93,88,18,15,3,0,3504.354974
52001209,E11,11,4,True,True,280.69838599999997,69.99999999999991,2,0,0,6,1069.855566449486,1.4872474999999667,83ef34abdc7fb73e8f9fad8cbae6a5610c7abf2d7e6f5de9fae14a4a52234ad4,f54d8f81e238a5dc465c91adc75278e13827ae9bd29a6ce607b924e3b9aee00f,11768.411230944346,113,108,13,11,2,0,3087.682246
52001209,O,11,4,True,True,280.9500842727273,0.0,7,44,0,6,1039.2958758162197,0.7527177000001757,83ef34abdc7fb73e8f9fad8cbae6a5610c7abf2d7e6f5de9fae14a4a52234ad4,4c5aea2c7d302730cdcb5cb6f46c54d50aa55b0e34644eeacd7bc3e1acd58d18,11432.254633978417,126,119,11,11,0,0,3090.450927
