strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
O,N,10,3,3,1.0,-38.24167789999996,-24.04931627000001,-22.472387200000014,52001215,0.6631960855449938,3,30,True,True,0,qualified_runs_only,3,337.42624033333334,337.42624033333334,332.6455695,356.12436606,359.05921563,361.40709528599996,361.99406519999997,361.99406519999997,1,13122.978682741728,117.66666666666667,109.33333333333333,0.6666666666666666,1312.2978682741727,23.33333333333336,4.666666666666667,1.9961742000000413,0,0,3,30,True,True,0,qualified_runs_only,3,302.12198416666666,302.12198416666666,310.1731823,321.0365463,322.39446680000003,323.4808032,323.7523873,323.7523873,1,11397.765874299525,117,105.66666666666667,0.3333333333333333,1139.7765874299525,11.666666666666677,6,0.6728130999999848,0,0
O,N,11,3,3,0.6666666666666666,-2.5931991818181928,-0.03279147272724048,0.25169827272731027,52001209,0.20204425499929943,3,33,True,True,0,qualified_runs_only,3,301.98733406060603,301.98733406060603,295.81804972727275,322.7200631090909,326.0828147818182,328.77301611999997,329.4455664545454,329.4455664545454,1,12727.63670761886,120.33333333333333,109.66666666666667,3.3333333333333335,1157.0578825108055,116.6666666666666,3.6666666666666665,2.2143281000001025,0,0,3,33,True,True,0,qualified_runs_only,3,291.9942756666667,291.9942756666667,293.22485054545456,300.09128385454545,300.9495880181818,301.6362313490909,301.8078921818182,301.8078921818182,1,12411.351828334171,114,104.66666666666667,0,1128.3047116667428,0.0,7.333333333333333,0.7527177000001757,0,0
O,N,12,3,3,1.0,-11.228861833333355,-2.695620433333353,-1.747482500000018,52001203,0.6088175351055302,3,36,True,True,0,qualified_runs_only,3,258.6669297777778,258.6669297777778,263.85416833333335,275.8384992,277.3365405583333,278.534973645,278.83458191666665,278.83458191666665,1,11780.015785624886,116.33333333333333,103.33333333333333,1,981.667982135407,34.999999999999986,3.6666666666666665,2.5213644000000386,0,0,3,36,True,True,0,qualified_runs_only,3,250.15899880555557,250.15899880555554,252.6253065,263.55476796666665,264.92095065,266.01389679666664,266.2871333333333,266.2871333333333,1,11187.873262768353,118.33333333333333,107.66666666666667,1.6666666666666667,932.3227718973628,58.33333333333334,4.666666666666667,0.8805969999998524,0,0
O,N,13,3,3,0.6666666666666666,-1.0179074615384422,10.704246799999984,12.006708384615365,52001204,-0.08658055406992711,3,39,True,True,0,qualified_runs_only,3,233.6132932820513,233.6132932820513,235.28131430769233,238.42007824615385,238.81242373846152,239.12630013230768,239.20476923076922,239.20476923076922,1,11343.197397206879,119,107.33333333333333,0.3333333333333333,872.5536459389906,11.66666666666667,4,3.0570787999999993,0,0,3,39,True,True,0,qualified_runs_only,3,234.74959041025642,234.74959041025642,238.18686176923077,238.32577610769232,238.3431404,238.35703183384615,238.3605046923077,238.3605046923077,1,11437.05670968546,117.33333333333333,107.66666666666667,1.6666666666666667,879.7735930527277,58.33333333333329,7,1.1404860000000099,0,0
O,N,14,3,3,1.0,-37.57323435714284,-17.323137285714314,-15.07312650000003,52001205,0.7442490897125476,3,42,True,True,0,qualified_runs_only,3,262.15447771428575,262.1544777142857,258.36258964285713,284.85187615714284,288.1630369714286,290.81196562285714,291.4741977857143,291.4741977857143,1,14377.48010748867,121.66666666666667,110.33333333333333,2,1026.9628648206192,69.99999999999996,5,3.3177781000001687,0,0,3,42,True,True,0,qualified_runs_only,3,231.7915525952381,231.7915525952381,221.5535192142857,246.73613047142857,249.8839568785714,252.40221800428571,253.03178328571428,253.03178328571428,1,12267.075348662836,121.33333333333333,109,2,876.2196677616312,70.0,5.666666666666667,2.0275219000000106,0,0
O,N,15,2,2,1.0,-19.958092766666667,-10.00184579666669,-8.895596133333356,52001213,0.527390224387507,2,30,True,True,0,qualified_runs_only,2,253.84043903333333,253.84043903333333,253.84043903333333,259.53567089999996,260.2475748833333,260.81709807,260.95947886666664,260.95947886666664,1,15205.532926830321,116,104,2.5,1013.7021951220214,87.5,6,3.803425400000151,0,0,2,30,True,True,0,qualified_runs_only,2,233.88234626666664,233.88234626666667,233.88234626666667,237.03711170666665,237.43145738666666,237.74693393066664,237.82580306666665,237.82580306666665,1,13683.675969319604,117,104,2.5,912.2450646213069,87.50000000000009,6.5,1.0977489000001697,0,0
O,N,16,3,3,1.0,-26.498873000000003,-4.61877348125001,-2.1876513125000088,52001207,0.4049952616113035,3,48,True,True,0,qualified_runs_only,3,234.2981705,234.2981705,219.073420875,261.059112875,266.30732437499995,270.50589357499996,271.555535875,271.555535875,1,15038.853641063768,111.33333333333333,101.33333333333333,1,939.9283525664855,34.99999999999996,5.666666666666667,3.0561912999999095,0,0,3,48,True,True,0,qualified_runs_only,3,214.02847854166666,214.02847854166666,210.0779034375,233.5619681375,236.49747622499999,238.845882695,239.4329843125,239.4329843125,1,13775.611616883947,99,87.33333333333333,2.3333333333333335,860.9757260552466,81.6666666666667,6.333333333333333,1.2106937999999445,0,0
O,k0,10,1,1,1.0,-26.498873000000003,-26.498873000000003,-26.498873000000003,52001200,0.6516762827190111,1,16,True,True,0,qualified_runs_only,1,219.073420875,219.073420875,219.073420875,219.073420875,219.073420875,219.073420875,219.073420875,219.073420875,1,14245.873672068134,98,86,0,890.3671045042584,0.0,5,2.0629701000000296,0,0,1,16,True,True,0,qualified_runs_only,1,192.574547875,192.574547875,192.574547875,192.574547875,192.574547875,192.574547875,192.574547875,192.574547875,1,12150.963830515746,96,85,2,759.4352394072341,69.99999999999991,5,1.2106937999999445,0,0
O,k0,3,1,1,1.0,-27.637674272727224,-27.637674272727224,-27.637674272727224,52001202,0.4365829185515943,1,11,True,True,0,qualified_runs_only,1,329.4455664545454,329.4455664545454,329.4455664545454,329.4455664545454,329.4455664545454,329.4455664545454,329.4455664545454,329.4455664545454,1,14019.506157002617,126,111,8,1274.5005597275106,279.9999999999999,5,0.7651691000000937,0,0,1,11,True,True,0,qualified_runs_only,1,301.8078921818182,301.8078921818182,301.8078921818182,301.8078921818182,301.8078921818182,301.8078921818182,301.8078921818182,301.8078921818182,1,13089.434069633762,110,97,0,1189.9485517848875,0.0,9,0.37320909999994,0,0
O,k0,4,2,2,0.5,-18.994989813636323,-1.6729705359090516,0.25169827272731027,52001209,0.4035234948726781,2,21,True,True,0,qualified_runs_only,2,319.41061419047617,321.34622559999997,321.34622559999997,353.86449727999997,357.92928123999997,361.181108408,361.99406519999997,361.99406519999997,1,13076.557245348627,114.5,110.5,1,1245.386404318917,34.99999999999996,4,1.4872474999999667,0,0,2,21,True,True,0,qualified_runs_only,2,301.33213333333333,302.35123578636365,302.35123578636365,319.47215699727275,321.61227214863635,323.3243642697273,323.7523873,323.7523873,1,11939.936999242764,122,113.5,0,1137.1368570707393,0.0,7.5,0.7527177000001757,0,0
