seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001204,P,13,7,10+,6,True,23.166357384615367,301.16264599999977,0,4,-1850.8132276541128,928.6962248785512,-1.9929156359994356,1850.8132276541128,-15,-6,4,4,370.1626455308219,-75.0,-6.0,0.0,12.0
52001213,P,15,7,10+,6,True,12.605882666666673,189.08824000000004,3,3,-1350.4412005771683,2072.150164441149,-0.651710104678334,1350.4412005771683,-14,-11,0,0,270.0882401154349,-70.0,-11.0,0.0,0.0
52001204,O,13,7,10+,6,True,12.006708384615365,156.0872089999998,0,3,-495.43604242559195,928.6962248785512,-0.5334748103346515,495.43604242559195,7,13,3,3,99.08720848511712,35.0,13.0,0.0,9.0
52001217,P,12,7,10+,6,True,11.39337608333335,136.7205130000002,0,3,-703.6025634984599,1100.3617930078108,-0.6394283843454618,703.6025634984599,-3,2,3,3,140.72051269969324,-15.0,2.0,0.0,9.0
52001218,P,13,8,10+,6,True,7.625754153846174,99.13480400000026,0,1,-865.674023245856,765.654018851079,-1.1306334217965244,865.674023245856,-14,-7,1,1,173.1348046491712,-70.0,-7.0,0.0,3.0
52001216,P,11,7,10+,6,True,7.399000181818167,81.38900199999989,0,2,-891.9450124667983,571.8400280317201,-1.5597806532307352,891.9450124667983,-18,-13,2,2,178.38900249335984,-90.0,-13.0,0.0,6.0
52001205,P,14,9,10+,6,True,2.3780991428571383,33.29338800000005,3,2,-1426.4669384345398,798.8707981000425,-1.7856040574109249,1426.4669384345398,-43,-34,-1,-1,285.2933876869083,-215.0,-34.0,0.0,-3.0
52001209,O,11,4,10+,6,True,0.25169827272731027,2.768681000000015,2,0,336.15659696592957,1994.0866248902657,0.1685767271943004,-336.15659696592957,13,11,-2,-2,-67.231319393185,65.0,11.0,0.0,-6.0
52001218,O,13,8,10+,6,True,-1.0179074615384422,-13.232796999999664,0,1,36.16398491761356,765.654018851079,0.047232802319617316,-36.16398491761356,-2,1,1,1,-7.232796983521894,-10.0,1.0,0.0,3.0
52001207,P,16,7,10+,6,True,-1.0222736249999969,-16.35637799999995,1,2,-1178.218108428784,2354.1949483527515,-0.5004760159107436,1178.218108428784,-43,-40,1,1,235.6436216857578,-215.0,-40.0,0.0,3.0
