seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001300,O,11,2,10+,6,True,-37.50639327272728,-412.570326,2,0,2572.851631864356,3331.687055184111,0.7722368845720351,-2572.851631864356,19,13,-2,-2,-514.5703263728724,95.0,13.0,0.0,-6.0
52001300,Q,11,2,10+,6,True,-40.79949509090909,-448.7944459999999,2,1,2618.9722327787968,3331.687055184111,0.7860799016833442,-2618.9722327787968,14,8,-1,-1,-523.7944465557603,70.0,8.0,0.0,-3.0
52001301,O,12,8,10+,6,True,-48.49636891666668,-581.9564270000001,1,2,2614.7821348555717,3204.0735278779975,0.8160805649760781,-2614.7821348555717,-10,-12,1,1,-522.9564269711136,-50.0,-12.0,0.0,3.0
52001301,Q,12,8,10+,6,True,-46.666634000000016,-559.9996080000001,1,2,2479.998042764568,3204.0735278779975,0.7740140858774323,-2479.998042764568,-11,-12,1,1,-495.9996085529124,-55.0,-12.0,0.0,3.0
52001302,O,13,8,10+,6,True,-28.627528076923056,-372.15786500000013,1,2,1955.789322090157,1497.7806438034095,1.3057915591188953,-1955.789322090157,2,6,1,1,-391.15786441803266,10.0,6.0,0.0,3.0
52001302,Q,13,8,10+,6,True,-28.627528076923056,-372.15786500000013,1,2,1955.789322090157,1497.7806438034095,1.3057915591188953,-1955.789322090157,2,6,1,1,-391.15786441803266,10.0,6.0,0.0,3.0
52001303,O,14,6,10+,6,True,-12.973582357142874,-181.63015300000006,3,0,968.150761727793,2451.5974339531367,0.3949060919706851,-968.150761727793,3,6,-3,-3,-193.6301523455586,15.0,6.0,0.0,-9.0
52001303,Q,14,6,10+,6,True,-9.311781642857142,-130.36494300000004,3,1,751.8247127254672,2451.5974339531367,0.30666727836844304,-751.8247127254672,4,6,-2,-2,-150.36494254509307,20.0,6.0,0.0,-6.0
52001306,O,10,7,10+,6,True,-8.721835700000042,-87.2183570000002,1,0,146.09178584150686,1477.127677893357,0.09890261216272066,-146.09178584150686,-9,-10,-1,-1,-29.21835716830219,-45.0,-10.0,0.0,-3.0
52001306,Q,10,7,10+,6,True,-4.774863100000005,-47.74863099999993,1,1,-11.256844132263723,1477.127677893357,-0.007620765828664151,11.256844132263723,-8,-10,0,0,2.251368826452108,-40.0,-10.0,0.0,0.0
52001307,O,11,5,10+,6,True,-26.351611090909046,-289.86772199999996,0,1,1394.338610064895,1895.1621441823936,0.7357357861674877,-1394.338610064895,-3,1,1,1,-278.86772201297845,-15.0,1.0,0.0,3.0
52001307,Q,11,5,10+,6,True,-26.6526107272727,-293.1787180000001,0,1,1410.8935894933493,1895.1621441823936,0.7444711756323276,-1410.8935894933493,-3,1,1,1,-282.1787178986692,-15.0,1.0,0.0,3.0
52001305,O,16,9,10+,6,True,-15.218026312499973,-243.48842099999956,0,0,642.4421060198147,2701.733277765892,0.2377888710580123,-642.4421060198147,-19,-20,0,0,-128.4884212039633,-95.0,-20.0,0.0,0.0
52001305,Q,16,9,10+,6,True,-21.633653312499973,-346.1384529999996,0,1,1165.6922676444137,2701.733277765892,0.43146089854152586,-1165.6922676444137,-20,-16,1,1,-233.13845352888347,-100.0,-16.0,0.0,3.0
52001304,O,15,12,10+,6,True,0.98076553333334,14.711483000000044,0,1,186.44258599960267,1382.8116397247777,0.13482862064764692,-186.44258599960267,8,9,1,1,-37.28851719992008,40.0,9.0,0.0,3.0
52001304,Q,15,12,10+,6,True,-17.57843226666668,-263.6764840000001,0,1,998.3824199318169,1382.8116397247777,0.7219945155585513,-998.3824199318169,-12,-7,1,1,-199.67648398636265,-60.0,-7.0,0.0,3.0
52001308,O,12,5,10+,6,True,-50.33494433333334,-604.0193319999998,3,2,2735.09665682155,3254.791113313515,0.8403293979861909,-2735.09665682155,-8,-14,-1,-1,-547.0193313643094,-40.0,-14.0,0.0,-3.0
52001308,Q,12,5,10+,6,True,-50.33494433333334,-604.0193319999998,3,2,2735.09665682155,3254.791113313515,0.8403293979861909,-2735.09665682155,-8,-14,-1,-1,-547.0193313643094,-40.0,-14.0,0.0,-3.0
52001309,O,13,7,10+,6,True,10.66097838461539,138.59271900000022,1,2,-897.9635933472018,648.115887492093,-1.3854985052471145,897.9635933472018,-7,-9,1,1,179.59271866944118,-35.0,-9.0,0.0,3.0
52001309,Q,13,7,10+,6,True,10.66097838461539,138.59271900000022,1,2,-897.9635933472018,648.115887492093,-1.3854985052471145,897.9635933472018,-7,-9,1,1,179.59271866944118,-35.0,-9.0,0.0,3.0
52001310,O,14,2,10+,6,True,-36.334153499999985,-508.67814899999985,1,2,2998.3907435252604,3503.0112297368414,0.8559466547158372,-2998.3907435252604,15,13,1,1,-599.678148705053,75.0,13.0,0.0,3.0
52001310,Q,14,2,10+,6,True,-38.088257571428585,-533.2356060000002,1,1,3086.1780303937303,3503.0112297368414,0.8810071758250044,-3086.1780303937303,14,14,0,0,-617.2356060787474,70.0,14.0,0.0,0.0
52001313,O,10,3,10+,6,True,-35.02710830000001,-350.2710830000001,0,0,1676.355415250493,1436.4989575898599,1.16697294237029,-1676.355415250493,-2,-5,0,0,-335.27108305009915,-10.0,-5.0,0.0,0.0
52001313,Q,10,3,10+,6,True,-35.74999210000004,-357.4999210000001,0,0,1697.4996069149074,1436.4989575898599,1.1816921954213955,-1697.4996069149074,-3,-3,0,0,-339.4999213829824,-15.0,-3.0,0.0,0.0
52001311,O,15,6,10+,6,True,-13.181783999999993,-197.72676,0,2,483.6337971727571,2635.347029827981,0.18351806866374093,-483.6337971727571,-19,-12,2,2,-96.72675943455124,-95.0,-12.0,0.0,6.0
52001311,Q,15,6,10+,6,True,-19.80131533333335,-297.01973,0,3,1015.09865003704,2635.347029827981,0.3851859502933469,-1015.09865003704,-18,-13,3,3,-203.01973000740736,-90.0,-13.0,0.0,9.0
52001314,O,11,4,10+,6,True,-40.94575136363636,-450.4032649999999,2,0,1932.0163253400879,1940.0116615165844,0.995878717465932,-1932.0163253400879,-9,-13,-2,-2,-386.4032650680183,-45.0,-13.0,0.0,-6.0
52001314,Q,11,4,10+,6,True,-44.71903718181818,-491.90940899999987,2,0,2164.5470422656963,1940.0116615165844,1.1157391912652648,-2164.5470422656963,-8,-13,-2,-2,-432.9094084531398,-40.0,-13.0,0.0,-6.0
52001312,O,16,8,10+,6,True,-33.967702062500024,-543.4832330000004,2,1,2357.4161647756955,3261.250382774524,0.7228565390830595,-2357.4161647756955,-13,-4,-1,-1,-471.4832329551391,-65.0,-4.0,0.0,-3.0
52001312,Q,16,8,10+,6,True,-20.8390555,-333.424888,2,0,1627.1244377574458,3261.250382774524,0.4989265609140878,-1627.1244377574458,-1,3,-2,-2,-325.42488755148815,-5.0,3.0,0.0,-6.0
52001316,O,13,7,10+,6,True,3.102261769230779,40.329403000000184,0,0,-266.64701472083107,1630.5474645295617,-0.16353220039366526,266.64701472083107,-2,-3,0,0,53.329402944167214,-10.0,-3.0,0.0,0.0
52001316,Q,13,7,10+,6,True,4.202473923076923,54.632160999999996,0,1,-353.16080285384305,1630.5474645295617,-0.21659032351795748,353.16080285384305,-3,-4,1,1,70.63216057076806,-15.0,-4.0,0.0,3.0
52001315,O,12,8,10+,6,True,0.07416649999998981,0.8899980000001051,2,1,150.55000952848786,780.5512081735778,0.19287653129224133,-150.55000952848786,5,9,-1,-1,-30.110001905698027,25.0,9.0,0.0,-3.0
52001315,Q,12,8,10+,6,True,-1.0708692500000438,-12.850431000000299,2,0,179.2521552579601,780.5512081735778,0.22964816834682072,-179.2521552579601,4,9,-2,-2,-35.850431051592295,20.0,9.0,0.0,-6.0
52001317,O,14,8,10+,6,True,9.82439285714284,137.54149999999981,1,2,-687.707495757968,1529.8922722885254,-0.44951367374988077,687.707495757968,-1,2,1,1,137.54149915159405,-5.0,2.0,0.0,3.0
52001317,Q,14,8,10+,6,True,8.653413857142851,121.14779399999998,1,2,-540.7389697762228,1529.8922722885254,-0.353449049695078,540.7389697762228,1,5,1,1,108.14779395524374,5.0,5.0,0.0,3.0
52001318,O,15,6,10+,6,True,-36.69357313333333,-550.403597,1,0,2987.017985037148,4003.7887600150207,0.7460478471960997,-2987.017985037148,8,10,-1,-1,-597.4035970074292,40.0,10.0,0.0,-3.0
52001318,Q,15,6,10+,6,True,-32.612610399999994,-489.1891559999999,1,0,2705.9457792580997,4003.7887600150207,0.6758462899645955,-2705.9457792580997,9,10,-1,-1,-541.1891558516204,45.0,10.0,0.0,-3.0
52001319,O,16,6,10+,6,True,-15.113566687500025,-241.8170670000004,1,2,1164.0853353942312,1444.1259496596049,0.8060829705806601,-1164.0853353942312,-2,-2,1,1,-232.81706707884587,-10.0,-2.0,0.0,3.0
52001319,Q,16,6,10+,6,True,-18.441910500000006,-295.0705680000001,1,3,1270.3528432778694,1444.1259496596049,0.8796690091867018,-1270.3528432778694,-8,-7,2,2,-254.07056865557342,-40.0,-7.0,0.0,6.0
