seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52001300,E11,11,2,True,True,348.3720120909091,70.0,7,0,0,6,1406.8600606257623,0.9073488000001362,29974c95af0c373b22e91e636008b7dbeeb184544a9db3f8c12a6cfe8fee0cc7,9399af24fcbeb751805cc392c6de94ed13b8f3237d68e87d066158ca317afdff,15475.460666883386,114,106,13,11,2,0,3832.092133
52001300,O,11,2,True,True,310.8656188181818,0.0,9,40,0,6,1172.9644577290028,0.6886984000000211,29974c95af0c373b22e91e636008b7dbeeb184544a9db3f8c12a6cfe8fee0cc7,99031c489045d5265a8faf1944b499ee7bc13ef0aa1f08a675922b0fcddb1137,12902.60903501903,133,119,11,11,0,0,3419.521807
52001300,Q,11,2,True,True,307.572517,34.9999999999999,7,42,0,6,1168.77167582769,0.7694364000001315,29974c95af0c373b22e91e636008b7dbeeb184544a9db3f8c12a6cfe8fee0cc7,b1cec0fac94eb826c030766566c76f2551bab4bfdac8cf5d8ae45eadb09ed7db,12856.488434104589,128,114,12,11,1,0,3383.297687
52001301,E11,12,8,True,True,287.2767089166667,34.99999999999997,4,0,0,6,1118.4668780175216,2.1829850000001443,e1498f85984f46525588241bb120cda3191b0f90d0718cc3db84c410e943081f,c5c45bac551dc6a9f97e4517db470b04e8b25bea77f666cd7778fae05b8cc127,13421.60253621026,118,110,13,12,1,0,3447.320507
52001301,O,12,8,True,True,238.78034,70.00000000000003,4,43,0,6,900.5683667795573,0.6599995999999919,e1498f85984f46525588241bb120cda3191b0f90d0718cc3db84c410e943081f,36ff85ceffe788f055a285f538a1e040d38076a9e6afe68dbbcaf1ffd880d3d4,10806.820401354687,108,98,14,12,2,0,2865.36408
52001301,Q,12,8,True,True,240.61007491666666,70.00000000000003,4,42,0,6,911.8003744538076,0.6997442000001683,e1498f85984f46525588241bb120cda3191b0f90d0718cc3db84c410e943081f,1158a54c7ca05aedc069a3a891477fd7903772ebdad82d6d42e36b08a57e3ba6,10941.604493445691,107,98,14,12,2,0,2887.320899
52001302,E11,13,8,True,True,265.00237184615384,35.000000000000036,4,0,0,6,1028.0887821310384,1.821324400000094,eae439cea10602c54c0caacb711e5bbb05446e7a81df617d7278e26fc7aa601d,f0b0553be1b14c6f19e3ea7a1897bf99dceb34a7d82e5fe6dfe8cf962b0a50e3,13365.1541677035,120,104,14,13,1,0,3445.030834
52001302,O,13,8,True,True,236.37484376923078,69.99999999999991,4,59,0,6,877.6434496625649,0.9726608000000851,eae439cea10602c54c0caacb711e5bbb05446e7a81df617d7278e26fc7aa601d,de653aa6b06f489afc60e85d795ecbf5a111e001e7c8787c00eee59b9a2564d1,11409.364845613343,122,110,15,13,2,0,3072.872969
52001302,Q,13,8,True,True,236.37484376923078,69.99999999999991,4,59,0,6,877.6434496625649,1.0785481000000345,eae439cea10602c54c0caacb711e5bbb05446e7a81df617d7278e26fc7aa601d,f10ad9a66917505fab2ce7a8afd1ca1d528e07bcb04949dd8de764b3a27d5fdf,11409.364845613343,122,110,15,13,2,0,3072.872969
52001303,E11,14,6,True,True,265.0050885714286,104.99999999999994,7,0,0,6,1056.4540142273925,2.7972031000001607,9cc6190cb0b989aeb7389ae68bc28a1c3a3fc7318d0c8c76a5c59206371afd4e,e2758d35921632801e390d5d21cb33f6b902d05b65d12600b325eb6a3d6ed17d,14790.356199183494,114,103,17,14,3,0,3710.07124
