strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
O,N,10,2,2,1.0,-21.874472000000026,-10.037099330000043,-8.721835700000042,52001306,0.6254909873823803,2,20,True,True,0,qualified_runs_only,2,309.4643269,309.46432690000006,309.46432690000006,320.32575938,321.68343844000003,322.769581688,323.04111750000004,323.04111750000004,1,11443.216345301753,127,119.5,0.5,1144.3216345301753,17.499999999999982,4,1.845305499999995,0,0,2,20,True,True,0,qualified_runs_only,2,287.5898549,287.5898549,287.5898549,287.92917834,287.97159377,288.005526114,288.01400920000003,288.01400920000003,1,10531.992744755753,121.5,112,0,1053.1992744755753,0.0,5,0.4593105999999807,0,0
O,N,11,3,3,1.0,-37.50639327272728,-27.46708930909087,-26.351611090909046,52001307,0.8231227983603477,3,33,True,True,0,qualified_runs_only,3,330.47685845454544,330.47685845454544,326.499959,343.9976014727273,346.18480678181817,347.93457102909093,348.3720120909091,348.3720120909091,1,14427.893881308852,116.66666666666667,107.33333333333333,1.3333333333333333,1311.626716482623,46.666666666666664,5.666666666666667,1.7168601000000763,0,0,3,33,True,True,0,qualified_runs_only,3,295.54227321212124,295.54227321212124,300.14834790909094,308.72216463636363,309.79389172727275,310.6512734,310.8656188181818,310.8656188181818,1,12461.491692219071,119,107.66666666666667,0.3333333333333333,1132.8628811108247,11.666666666666634,6.333333333333333,0.6886984000000211,0,0
O,N,12,3,3,0.6666666666666666,-48.49636891666668,-4.782887041666683,0.07416649999998981,52001315,0.7597890376318148,3,36,True,True,0,qualified_runs_only,3,281.61996647222225,281.61996647222225,287.2767089166667,302.20124898333336,304.06681649166666,305.5592704983334,305.932384,305.932384,1,13098.864655430152,117,108.66666666666667,2,1091.5720546191794,70.00000000000003,4,2.8183696999999484,0,0,3,36,True,True,0,qualified_runs_only,3,248.70091755555555,248.70091755555555,251.724973,254.82294633333333,255.210193,255.51999033333334,255.59743966666667,255.59743966666667,1,11265.388388361616,112.66666666666667,103,1.6666666666666667,938.7823656968014,58.33333333333338,5.333333333333333,0.896800100000064,0,0
O,N,13,3,3,0.3333333333333333,3.102261769230779,9.905106723076928,10.66097838461539,52001309,0.20950362692966934,3,39,True,True,0,qualified_runs_only,3,251.3008711282051,251.3008711282051,249.42323930769228,261.88654533846153,263.4444585923077,264.6907891953846,265.00237184615384,265.00237184615384,1,12481.22329004886,119.33333333333333,107,0.6666666666666666,960.0940992345277,23.333333333333325,4.333333333333333,2.127320900000086,0,0,3,39,True,True,0,qualified_runs_only,3,246.34610848717946,246.3461084871795,250.1379806153846,252.04799698461537,252.28674903076922,252.4777506676923,252.52550107692306,252.52550107692306,1,12217.497052041484,117,105,1.3333333333333333,939.8074655416526,46.66666666666662,4.666666666666667,1.1326418999999532,0,0
O,N,14,3,3,0.6666666666666666,-12.973582357142874,7.544595335714266,9.82439285714284,52001317,0.43808318517718503,3,42,True,True,0,qualified_runs_only,3,260.1283868333333,260.12838683333337,265.0050885714286,276.5783172571429,278.02497084285716,279.1822937114286,279.47162442857143,279.47162442857143,1,14330.653744762398,118.66666666666667,107.33333333333333,1.6666666666666667,1023.6181246258855,58.3333333333333,6,2.7972031000001607,0,0,3,42,True,True,0,qualified_runs_only,3,246.96727249999998,246.9672725,245.73284035714283,250.77177304285715,251.40163962857142,251.90553289714285,252.0315062142857,252.0315062142857,1,13237.709074930703,124.33333333333333,114.33333333333333,1.3333333333333333,945.5506482093359,46.66666666666671,8,1.0507764999999836,0,0
O,N,15,3,3,0.6666666666666666,-13.181783999999993,-0.43548941999999435,0.98076553333334,52001304,0.4558861050036264,3,45,True,True,0,qualified_runs_only,3,243.70088399999997,243.700884,249.09652,254.76806848,255.47701204,256.044166888,256.1859556,256.1859556,1,14307.56629999565,122,108,0.3333333333333333,953.8377533330433,11.66666666666665,5.666666666666667,3.666561500000171,0,0,3,45,True,True,0,qualified_runs_only,3,227.4026868,227.4026868,226.80094193333335,234.09197718666667,235.00335659333334,235.73246011866667,235.914736,235.914736,1,13088.534843925814,121,110.33333333333333,1,872.5689895950543,34.99999999999996,6.666666666666667,1.7338614999998754,0,0
O,N,16,3,3,1.0,-15.218026312499973,-15.12401265000002,-15.113566687500025,52001319,0.562154986940621,3,48,True,True,0,qualified_runs_only,3,226.282468,226.282468,217.8881794375,246.11171028750002,249.63965164375,252.46200472875,253.167593,253.167593,1,14355.930774407734,113.33333333333333,99.66666666666667,1,897.2456734004833,34.99999999999999,5.666666666666667,4.154591499999924,0,0,3,48,True,True,0,qualified_runs_only,3,204.84936964583335,204.84936964583332,202.77461275,215.9148353,217.55736311874998,218.87138537375,219.1998909375,219.1998909375,1,12967.949572344487,102,91,1,810.4968482715304,35.000000000000014,7.333333333333333,1.237664900000027,0,0
O,k0,12,1,1,0.0,0.98076553333334,0.98076553333334,0.98076553333334,52001304,0.13482862064764692,1,15,True,True,0,qualified_runs_only,1,225.8201764,225.8201764,225.8201764,225.8201764,225.8201764,225.8201764,225.8201764,225.8201764,1,12931.51323067213,123,111,0,862.1008820448086,0.0,5,3.666561500000171,0,0,1,15,True,True,0,qualified_runs_only,1,226.80094193333335,226.80094193333335,226.80094193333335,226.80094193333335,226.80094193333335,226.80094193333335,226.80094193333335,226.80094193333335,1,12745.070644672527,131,120,1,849.6713763115018,34.999999999999936,4,1.7338614999998754,0,0
O,k0,2,2,2,1.0,-36.92027338636363,-36.39276548863635,-36.334153499999985,52001310,0.8151409386543317,2,25,True,True,0,qualified_runs_only,2,309.787795,313.92181825974023,313.92181825974023,341.4819733246753,344.92699270779224,347.68300821428573,348.3720120909091,348.3720120909091,1,15494.237187516315,119.5,109,1.5,1239.5389750013053,52.50000000000003,7,1.4710179999999582,0,0,2,25,True,True,0,qualified_runs_only,2,272.937856,277.00154487337664,277.00154487337664,304.09280402922076,307.47921142370126,310.1883373392857,310.8656188181818,310.8656188181818,1,12708.615999821506,136.5,122,1,1016.6892799857205,35.00000000000004,8,1.0507764999999836,0,0
O,k0,3,1,1,1.0,-35.02710830000001,-35.02710830000001,-35.02710830000001,52001313,1.16697294237029,1,10,True,True,0,qualified_runs_only,1,323.04111750000004,323.04111750000004,323.04111750000004,323.04111750000004,323.04111750000004,323.04111750000004,323.04111750000004,323.04111750000004,1,11947.055876091596,133,126,0,1194.7055876091595,0.0,4,0.4652078999999958,0,0,1,10,True,True,0,qualified_runs_only,1,288.01400920000003,288.01400920000003,288.01400920000003,288.01400920000003,288.01400920000003,288.01400920000003,288.01400920000003,288.01400920000003,1,10270.700460841103,131,121,0,1027.0700460841103,0.0,5,0.45730150000008507,0,0
