seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001309,O,13,7,10+,6,True,10.66097838461539,138.59271900000022,1,2,-897.9635933472018,648.115887492093,-1.3854985052471145,897.9635933472018,-7,-9,1,1,179.59271866944118,-35.0,-9.0,0.0,3.0
52001309,Q,13,7,10+,6,True,10.66097838461539,138.59271900000022,1,2,-897.9635933472018,648.115887492093,-1.3854985052471145,897.9635933472018,-7,-9,1,1,179.59271866944118,-35.0,-9.0,0.0,3.0
52001317,O,14,8,10+,6,True,9.82439285714284,137.54149999999981,1,2,-687.707495757968,1529.8922722885254,-0.44951367374988077,687.707495757968,-1,2,1,1,137.54149915159405,-5.0,2.0,0.0,3.0
52001317,Q,14,8,10+,6,True,8.653413857142851,121.14779399999998,1,2,-540.7389697762228,1529.8922722885254,-0.353449049695078,540.7389697762228,1,5,1,1,108.14779395524374,5.0,5.0,0.0,3.0
52001316,Q,13,7,10+,6,True,4.202473923076923,54.632160999999996,0,1,-353.16080285384305,1630.5474645295617,-0.21659032351795748,353.16080285384305,-3,-4,1,1,70.63216057076806,-15.0,-4.0,0.0,3.0
52001316,O,13,7,10+,6,True,3.102261769230779,40.329403000000184,0,0,-266.64701472083107,1630.5474645295617,-0.16353220039366526,266.64701472083107,-2,-3,0,0,53.329402944167214,-10.0,-3.0,0.0,0.0
52001304,O,15,12,10+,6,True,0.98076553333334,14.711483000000044,0,1,186.44258599960267,1382.8116397247777,0.13482862064764692,-186.44258599960267,8,9,1,1,-37.28851719992008,40.0,9.0,0.0,3.0
52001315,O,12,8,10+,6,True,0.07416649999998981,0.8899980000001051,2,1,150.55000952848786,780.5512081735778,0.19287653129224133,-150.55000952848786,5,9,-1,-1,-30.110001905698027,25.0,9.0,0.0,-3.0
52001315,Q,12,8,10+,6,True,-1.0708692500000438,-12.850431000000299,2,0,179.2521552579601,780.5512081735778,0.22964816834682072,-179.2521552579601,4,9,-2,-2,-35.850431051592295,20.0,9.0,0.0,-6.0
52001306,Q,10,7,10+,6,True,-4.774863100000005,-47.74863099999993,1,1,-11.256844132263723,1477.127677893357,-0.007620765828664151,11.256844132263723,-8,-10,0,0,2.251368826452108,-40.0,-10.0,0.0,0.0
