seed,strategy,N,k0,all_cleared,qualified_run,time_per_source_s,recovery_ray_m,supplement_count,b1plus_updates,b1plus_empty,chosen_template,movement_per_source_m,wall_s,case_sha256,action_log_sha256,movement_m,measurements,switches,clear_attempts,clear_successes,clear_failures,transport_retries,virtual_time_s
52001400,E11,13,5,True,True,302.4212923076923,34.999999999999936,6,0,0,6,1243.2603076859693,1.0070752999999968,254425b794ce75abdd153e6944217fb11358bea3f0c190201b63626c63058400,7f6624242bab4794dcad999c0ba2a567871f026501732ec28e053ca11a8fd4c9,16162.383999917602,106,101,14,13,1,0,3931.4768
52001400,O,13,5,True,True,257.66603323076924,35.000000000000036,8,49,0,6,996.0224738613106,0.7532928000000538,254425b794ce75abdd153e6944217fb11358bea3f0c190201b63626c63058400,f5cb19bf5b931ffd86fbf5a7de865ccc93f5f684c5017bed44eaa2056f610337,12948.292160197037,118,102,14,13,1,0,3349.658432
52001400,R,13,5,True,True,254.90687761538462,34.99999999999998,2,40,0,6,982.6113112055765,0.4864103999998406,254425b794ce75abdd153e6944217fb11358bea3f0c190201b63626c63058400,1755910d4a1723645cdf0c3ab48e6558a9db35cbaaa19168ce9836e53387d521,12773.947045672494,117,106,14,13,1,0,3313.789409
52001403,E11,16,6,True,True,222.5135268125,105.0000000000001,5,0,0,6,850.3801341380705,1.522372599999926,b81438ae12470c2a192bc3bf5f3bce174454bec84ba95dc016fd860df4766478,a1804c4b00f8e478842e2b32a95a242ab3272e3d99f7c035bbdc3c275dd70545,13606.082146209128,127,115,19,16,3,0,3560.216429
52001403,O,16,6,True,True,201.894914625,105.00000000000006,6,72,0,6,748.8495731866915,1.008521399999836,b81438ae12470c2a192bc3bf5f3bce174454bec84ba95dc016fd860df4766478,113a56f53c1cf44b4e1d8147e72fb47874e9cd8a59daaf70da0615ea501453a8,11981.593170987064,127,110,19,16,3,0,3230.318634
52001403,R,16,6,True,True,194.5278733125,35.00000000000002,2,72,0,6,712.6393664749355,1.2977957000000515,b81438ae12470c2a192bc3bf5f3bce174454bec84ba95dc016fd860df4766478,22eda0874a7cd8ff7642778422926bfbe71b03015d15f6a30ad81be2b2ff7028,11402.229863598968,127,114,17,16,1,0,3112.445973
52001401,E11,14,8,True,True,268.654417,70.00000000000006,6,0,0,6,1076.486370874116,2.509988400000111,efb67952674de4c731ed1cb91524b2a092772a3658a43737cd2aa8e03f8a9db2,b3396fadab808c2b5a80725ef3b85d0e5aa3db30ce2ea8383342794357e6f67f,15070.809192237622,114,101,16,14,2,0,3761.161838
52001401,O,14,8,True,True,233.60216378571428,105.0,7,52,0,6,905.8679616761628,0.8340619999999035,efb67952674de4c731ed1cb91524b2a092772a3658a43737cd2aa8e03f8a9db2,997ffda932099c39f9deab852ecc9e54eea353e7bb48cfd37ce5304f559bc37f,12682.15146346628,111,100,17,14,3,0,3270.430293
52001401,R,14,8,True,True,218.08640892857144,0.0,2,50,0,6,834.3606159850231,0.8296096000001398,efb67952674de4c731ed1cb91524b2a092772a3658a43737cd2aa8e03f8a9db2,6f20fc4c1295e2abb93cf6a7e0b41e9139f83bcc22bd43313e757f4f03d421c7,11681.048623790322,109,102,14,14,0,0,3053.209725
52001404,E11,10,4,True,True,322.7678191,0.0,6,0,0,6,1250.839095532366,0.8036463000000822,ec656ffe49d4b8b189ba9c7fd16b8effdb456bfb306203ad7efcbe51ef9de450,e71e2b3b3a49186c9cda8772e15f52cccbbebfb5ea8874c87a93d531cbca0c1a,12508.390955323659,114,106,10,10,0,0,3227.678191
