strategy,dimension,value,pairs,qualified_pairs,win_rate,median_delta_s_per_source,P95_delta_s_per_source,worst_delta_s_per_source,worst_seed,aggregate_regret_capture_ratio,E11_runs,E11_sources,E11_all_cleared,E11_qualified,E11_failed_runs,E11_performance_population,E11_performance_runs,E11_weighted_time_per_source_s,E11_mean_time_per_source_s,E11_median,E11_P90,E11_P95,E11_P99,E11_max,E11_CVaR95,E11_tail_count,E11_mean_movement_m,E11_mean_measurements,E11_mean_switches,E11_mean_clear_failures,E11_movement_per_source_m,E11_mean_recovery_ray_m,E11_mean_supplement_count,E11_max_wall_s,E11_guaranteed_clear_failures,E11_b1plus_empty,E13_runs,E13_sources,E13_all_cleared,E13_qualified,E13_failed_runs,E13_performance_population,E13_performance_runs,E13_weighted_time_per_source_s,E13_mean_time_per_source_s,E13_median,E13_P90,E13_P95,E13_P99,E13_max,E13_CVaR95,E13_tail_count,E13_mean_movement_m,E13_mean_measurements,E13_mean_switches,E13_mean_clear_failures,E13_movement_per_source_m,E13_mean_recovery_ray_m,E13_mean_supplement_count,E13_max_wall_s,E13_guaranteed_clear_failures,E13_b1plus_empty
O,N,10,3,3,1.0,-15.670079399999963,-13.122236370000019,-12.839142700000025,52001411,0.5827295879373134,3,30,True,True,0,qualified_runs_only,3,304.1795843333333,304.1795843333333,301.8107461,318.5764045,320.6721118,322.34867764,322.7678191,322.7678191,1,11592.312550442159,113.66666666666667,104,0.3333333333333333,1159.231255044216,11.66666666666667,4.333333333333333,2.2759446000000025,0,0,3,30,True,True,0,qualified_runs_only,3,287.0099460666667,287.00994606666666,288.9716034,297.6088218,298.68847409999995,299.55219594,299.76812639999997,299.76812639999997,1,10548.830636600067,119,111.33333333333333,1.3333333333333333,1054.8830636600067,46.66666666666671,6.333333333333333,0.7275667999999769,0,0
O,N,11,3,3,1.0,-28.570549363636417,-14.045271572727298,-12.431351818181838,52001419,0.5582127119176801,3,33,True,True,0,qualified_runs_only,3,309.5627922121212,309.5627922121212,311.7280049090909,317.1548758909091,317.83323476363637,318.3759218618182,318.51159363636367,318.51159363636367,1,13104.286906171723,123.33333333333333,109.66666666666667,1,1191.2988096519748,34.999999999999986,5,2.4188288999998804,0,0,3,33,True,True,0,qualified_runs_only,3,282.87200393939395,282.87200393939395,272.65754127272726,299.39570170909093,302.7379717636364,305.41178780727273,306.08024181818183,306.08024181818183,1,11819.626883757426,117,105.66666666666667,0.6666666666666666,1074.5115348870388,23.333333333333325,7.666666666666667,0.6489413000001605,0,0
O,N,12,2,2,1.0,-31.517472208333317,-25.96937664583334,-25.35292158333334,52001406,0.9127919366831236,2,24,True,True,0,qualified_runs_only,2,283.93721458333334,283.93721458333334,283.93721458333334,285.37861764999997,285.5587930333333,285.70293333999996,285.73896841666664,285.73896841666664,1,13406.232876453123,112,103,1,1117.1860730377603,34.99999999999999,5,3.401104900000064,0,0,2,24,True,True,0,qualified_runs_only,2,252.41974237500003,252.419742375,252.419742375,255.90997980833333,256.3462594875,256.6952832308333,256.78253916666665,256.78253916666665,1,11350.184544682234,117,108,2,945.8487120568528,69.99999999999997,6.5,0.7235994000000119,0,0
O,N,13,3,3,0.6666666666666666,-43.40783423076931,4.073041592307675,9.348694461538457,52001414,0.6449525932521821,3,39,True,True,0,qualified_runs_only,3,284.39574769230774,284.3957476923077,302.4212923076923,314.89189760000005,316.4507232615385,317.6977837907693,318.009548923077,318.009548923077,1,14667.390266209506,117.33333333333333,107,1.6666666666666667,1128.2607897084235,58.33333333333324,5,3.1409578999998757,0,0,3,39,True,True,0,qualified_runs_only,3,258.1242814102564,258.1242814102564,257.66603323076924,271.2145784,272.90814654615383,274.2630010630769,274.60171469230767,274.60171469230767,1,12839.744957981815,121.66666666666667,110.33333333333333,1.3333333333333333,987.6726890755243,46.66666666666668,7.333333333333333,1.3437066000001323,0,0
O,N,14,3,3,1.0,-8.889609785714242,-8.14511840714286,-8.06239714285715,52001408,0.6145363600603275,3,42,True,True,0,qualified_runs_only,3,250.45260004761903,250.45260004761906,268.654417,270.5978283142857,270.8407547285714,271.03509586,271.08368114285713,271.08368114285713,1,13936.682003486509,109.66666666666667,97.66666666666667,1,995.4772859633221,35.000000000000014,6,2.9283837000000403,0,0,3,42,True,True,0,qualified_runs_only,3,233.11784666666668,233.11784666666668,233.60216378571428,256.47568984285715,259.3348806,261.62223320571434,262.1940713571429,262.1940713571429,1,12713.249264806076,110,97,1.3333333333333333,908.0892332004341,46.66666666666665,6.333333333333333,1.190334699999994,0,0
O,N,15,3,3,0.6666666666666666,-2.3391023333333294,10.323830046666645,11.73082253333331,52001409,0.09165285606765189,3,45,True,True,0,qualified_runs_only,3,227.17308802222223,227.17308802222223,222.185982,240.73298392,243.05135916,244.906059352,245.3697344,245.3697344,1,13326.314934453732,112.66666666666667,101,1,888.4209956302489,35.00000000000002,4,2.8398749000000407,0,0,3,45,True,True,0,qualified_runs_only,3,226.7136736444444,226.71367364444444,225.69437019999998,232.81869089333333,233.70923097999997,234.42166304933332,234.59977106666665,234.59977106666665,1,13098.525524298184,118,106,3.3333333333333335,873.2350349532123,116.66666666666673,6,1.3139576000000943,0,0
O,N,16,3,3,0.6666666666666666,-20.61861218749999,4.185994300000001,6.942061687500001,52001410,0.5192645391853071,3,48,True,True,0,qualified_runs_only,3,218.99819343750002,218.9981934375,222.5135268125,224.9771756625,225.28513176875,225.53149665375,225.593087875,225.593087875,1,13748.188808595021,113,101.33333333333333,2.6666666666666665,859.2618005371888,93.33333333333337,4.666666666666667,3.8911560000001373,0,0,3,48,True,True,0,qualified_runs_only,3,203.24392656249998,203.2439265625,201.894914625,213.04300477499999,214.43651604375,215.55132505875,215.8300273125,215.8300273125,1,12424.514123789912,116.33333333333333,100.33333333333333,1.6666666666666667,776.5321327368696,58.33333333333333,7,1.1326974000000973,0,0
O,k0,11,1,1,1.0,-8.06239714285715,-8.06239714285715,-8.06239714285715,52001408,0.5637328409231266,1,14,True,True,0,qualified_runs_only,1,211.619702,211.619702,211.619702,211.619702,211.619702,211.619702,211.619702,211.619702,1,11463.379139102293,101,92,1,818.8127956501638,34.99999999999998,4,2.9283837000000403,0,0,1,14,True,True,0,qualified_runs_only,1,203.55730485714284,203.55730485714284,203.55730485714284,203.55730485714284,203.55730485714284,203.55730485714284,203.55730485714284,203.55730485714284,1,10579.01133775896,112,101,1,755.6436669827829,34.99999999999994,3,1.190334699999994,0,0
O,k0,3,2,2,1.0,-35.989191797202864,-29.31241360699306,-28.570549363636417,52001405,0.6957698571876224,2,24,True,True,0,qualified_runs_only,2,309.044195625,308.229163506993,308.229163506993,316.0534718398602,317.0315103814686,317.8139412147553,318.009548923077,318.009548923077,1,14487.651738473476,127,114.5,0.5,1207.3043115394564,17.499999999999957,5.5,1.3299818000000414,0,0,2,24,True,True,0,qualified_runs_only,2,272.43678362500003,272.2399717097902,272.2399717097902,274.1293660958042,274.3655403940559,274.5544798326573,274.60171469230767,274.60171469230767,1,12406.207017320336,123,108.5,1.5,1033.8505847766946,52.5,8,0.6936541000000034,0,0
O,k0,4,2,2,1.0,-17.715522259090932,-12.959768862272748,-12.431351818181838,52001419,0.5141713115250082,2,21,True,True,0,qualified_runs_only,2,320.5383676666667,320.6397063681818,320.6397063681818,322.34219655363637,322.55500782681816,322.7252568453636,322.7678191,322.7678191,1,13055.764303480055,118.5,108,0.5,1243.4061241409577,17.50000000000001,5,2.2538893999999345,0,0,2,21,True,True,0,qualified_runs_only,2,303.0744725714286,302.9241841090909,302.9241841090909,305.44903027636366,305.76463604727275,306.017120664,306.08024181818183,306.08024181818183,1,12108.909810845584,119,110,1,1153.2295057948174,35.00000000000006,7,0.7275667999999769,0,0
