seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001409,O,15,7,10+,6,True,11.73082253333331,175.96233799999982,2,6,-769.8116919765434,2197.9665685049604,-0.35023812600578513,769.8116919765434,2,0,4,4,153.96233839530805,10.0,0.0,0.0,12.0
52001414,O,13,9,10+,6,True,9.348694461538457,121.53302799999983,3,2,-492.66514160847146,508.0841794141397,-0.9696525921679994,492.66514160847146,3,11,-1,-1,98.53302832169402,15.0,11.0,0.0,-3.0
52001410,O,16,8,10+,6,True,6.942061687500001,111.07298700000001,2,1,-180.3649324849157,1924.5529639171873,-0.09371783259100618,180.3649324849157,14,8,-1,-1,36.07298649698487,70.0,8.0,0.0,-3.0
52001414,R,13,9,10+,6,True,3.23927969230769,42.110635999999886,3,3,-115.55318006584275,508.0841794141397,-0.22742920316685414,115.55318006584275,2,9,0,0,23.11063601316846,10.0,9.0,0.0,0.0
52001416,O,15,9,10+,6,True,-2.3391023333333294,-35.08653499999991,0,1,325.4326728384258,2086.378600118236,0.15597968308339788,-325.4326728384258,4,7,1,1,-65.0865345676857,20.0,7.0,0.0,3.0
52001409,R,15,7,10+,6,True,-3.7300302666666596,-55.95045399999981,2,1,189.75226855022265,2197.9665685049604,0.08633082562274397,-189.75226855022265,-3,0,-1,-1,-37.95045371004608,-15.0,0.0,0.0,-3.0
52001416,R,15,9,10+,6,True,-6.252650933333342,-93.7897640000001,0,1,758.9488171735265,2086.378600118236,0.36376370862436785,-758.9488171735265,9,10,1,1,-151.7897634347064,45.0,10.0,0.0,3.0
52001408,R,14,11,10+,6,True,-7.689681214285713,-107.6555370000001,1,2,993.2776827326306,1568.7711219647208,0.6331565317754286,-993.2776827326306,15,13,1,1,-198.65553654652604,75.0,13.0,0.0,3.0
52001408,O,14,11,10+,6,True,-8.06239714285715,-112.87356,1,1,884.3678013433328,1568.7711219647208,0.5637328409231266,-884.3678013433328,11,9,0,0,-176.87356026866655,55.0,9.0,0.0,0.0
52001410,R,16,8,10+,6,True,-8.397675312499985,-134.36280499999975,2,4,1021.8140237925072,1924.5529639171873,0.5309357772688845,-1021.8140237925072,11,9,2,2,-204.3628047584989,55.0,9.0,0.0,6.0
