seed,strategy,N,k0,activity_group,chosen_template,qualified_pair,delta_time_per_source_s,delta_total_s,baseline_clear_failures,candidate_clear_failures,movement_gain_m,hindsight_gap_m,regret_capture_ratio,delta_movement_m,delta_measurements,delta_switches,delta_clear_attempts,delta_clear_failures,delta_movement_s,delta_measurement_s,delta_switch_s,delta_clear_success_s,delta_clear_failure_s
52001503,O,11,6,10+,6,True,-9.796170181818184,-107.75787200000013,0,0,93.78935691214065,992.4075131747759,0.09450689929996844,-93.78935691214065,-15,-14,0,0,-18.757871382429585,-75.0,-14.0,0.0,0.0
52001503,R,11,6,10+,6,True,-19.161742999999944,-210.7791729999999,0,0,498.8958618256911,992.4075131747759,0.5027127013878512,-498.8958618256911,-19,-16,0,0,-99.77917236513849,-95.0,-16.0,0.0,0.0
52001500,O,15,3,10+,6,True,18.617990666666657,279.2698599999999,1,3,-1331.3492982203425,1500.8179515581996,-0.8870824718201771,1331.3492982203425,1,2,2,2,266.2698596440705,5.0,2.0,0.0,6.0
52001500,R,15,3,10+,6,True,10.648092866666673,159.7213929999998,1,0,-1023.6069622353643,1500.8179515581996,-0.6820327283349864,1023.6069622353643,-8,-2,-1,-1,204.72139244707387,-40.0,-2.0,0.0,-3.0
52001502,O,10,7,10+,6,True,-16.36906419999997,-163.69064200000003,1,0,1213.4532113865534,1200.569225647223,1.0107315642147872,-1213.4532113865534,12,22,-1,-1,-242.69064227731064,60.0,22.0,0.0,-3.0
52001502,R,10,7,10+,6,True,-13.588351100000011,-135.883511,1,2,1324.417553026371,1200.569225647223,1.1031580059970152,-1324.417553026371,20,26,1,1,-264.88351060527316,100.0,26.0,0.0,3.0
52001501,O,16,7,10+,6,True,-5.791261937499996,-92.66019099999994,2,1,443.30095102485757,1185.2349314962903,0.374019478539344,-443.30095102485757,1,-6,-1,-1,-88.6601902049706,5.0,-6.0,0.0,-3.0
52001501,R,16,7,10+,6,True,-1.7839213124999844,-28.54274099999975,2,1,522.7137042016493,1185.2349314962903,0.441021176739833,-522.7137042016493,14,9,-1,-1,-104.5427408403275,70.0,9.0,0.0,-3.0
52001504,O,12,6,10+,6,True,-27.240300666666656,-326.8836080000001,0,1,1864.418043253907,2554.5702830370174,0.7298362686022408,-1864.418043253907,7,8,1,1,-372.88360865078084,35.0,8.0,0.0,3.0
52001504,R,12,6,10+,6,True,-30.2552894166667,-363.06347300000016,0,3,2125.3173692236924,2554.5702830370174,0.8319666847047932,-2125.3173692236924,9,8,3,3,-425.06347384473884,45.0,8.0,0.0,9.0
52001505,O,13,4,10+,6,True,-30.243740846153827,-393.168631,0,3,2060.8431555687694,2687.1055508990685,0.7669379250395428,-2060.8431555687694,2,0,3,3,-412.1686311137546,10.0,0.0,0.0,9.0
52001505,R,13,4,10+,6,True,-31.029581923076933,-403.3845650000003,0,2,2161.922825126232,2687.1055508990685,0.804554485923667,-2161.922825126232,4,3,2,2,-432.3845650252465,20.0,3.0,0.0,6.0
52001506,O,14,8,10+,6,True,-15.845018142857128,-221.83025399999997,1,2,1214.1512688783278,1404.0591430533732,0.8647436789863016,-1214.1512688783278,2,8,1,1,-242.83025377566446,10.0,8.0,0.0,3.0
52001506,R,14,8,10+,6,True,-17.103614071428552,-239.45059700000002,1,2,1352.252980458883,1404.0591430533732,0.9631025780852589,-1352.252980458883,4,8,1,1,-270.4505960917759,20.0,8.0,0.0,3.0
52001507,O,15,5,10+,6,True,-11.727722400000005,-175.91583600000013,3,1,429.5791790993244,2399.949486418538,0.1789950919927021,-429.5791790993244,-14,-14,-2,-2,-85.91583581986333,-70.0,-14.0,0.0,-6.0
52001507,R,15,5,10+,6,True,-23.04300406666667,-345.64506100000017,3,1,1228.2253066412359,2399.949486418538,0.5117713158513704,-1228.2253066412359,-16,-14,-2,-2,-245.6450613282468,-80.0,-14.0,0.0,-6.0
52001509,O,10,5,10+,6,True,-42.71585170000003,-427.1585170000003,2,1,2180.7925832180536,3251.6046111159994,0.6706819690692876,-2180.7925832180536,3,-3,-1,-1,-436.1585166436116,15.0,-3.0,0.0,-3.0
52001509,R,10,5,10+,6,True,-68.58615070000002,-685.8615070000001,2,0,3199.30753349334,3251.6046111159994,0.9839165323348739,-3199.30753349334,-6,-10,-2,-2,-639.8615066986699,-30.0,-10.0,0.0,-6.0
52001508,O,16,8,10+,6,True,1.733117875000005,27.72988600000008,1,0,-103.6494274934903,1675.6538211691277,-0.0618561102442822,103.6494274934903,3,-5,-1,-1,20.729885498697513,15.0,-5.0,0.0,-3.0
52001508,R,16,8,10+,6,True,-0.4564984375000165,-7.303975000000264,1,2,-28.480124575788068,1675.6538211691277,-0.0169964250467421,28.480124575788068,-2,-6,1,1,5.696024915156613,-10.0,-6.0,0.0,3.0
52001510,O,11,5,10+,6,True,-7.078903909090911,-77.8679430000002,4,0,159.3397135560699,1715.155131509393,0.09290105053986908,-159.3397135560699,-5,-9,-4,-4,-31.86794271121198,-25.0,-9.0,0.0,-12.0
52001510,R,11,5,10+,6,True,-16.38943281818183,-180.28376100000014,4,2,651.4188034033759,1715.155131509393,0.379801681746482,-651.4188034033759,-7,-9,-2,-2,-130.28376068067428,-35.0,-9.0,0.0,-6.0
52001511,O,12,5,10+,6,True,-29.742098750000025,-356.9051850000001,0,0,1874.5259253103413,3072.4017279712134,0.6101174557495577,-1874.5259253103413,3,3,0,0,-374.90518506206945,15.0,3.0,0.0,0.0
52001511,R,12,5,10+,6,True,-45.07400508333336,-540.8880610000001,0,2,2779.4403021263624,3072.4017279712134,0.904647421859673,-2779.4403021263624,1,4,2,2,-555.8880604252731,5.0,4.0,0.0,6.0
52001512,O,13,6,10+,6,True,-26.205805692307734,-340.6754740000001,0,0,1413.3773700938582,2619.7429155400005,0.5395099502740797,-1413.3773700938582,-10,-8,0,0,-282.67547401877073,-50.0,-8.0,0.0,0.0
52001512,R,13,6,10+,6,True,-29.774266153846156,-387.0654599999998,0,0,1860.3272999001856,2619.7429155400005,0.710118267279185,-1860.3272999001856,-3,0,0,0,-372.06545998003685,-15.0,0.0,0.0,0.0
52001513,O,14,7,10+,6,True,-10.41389278571424,-145.79449899999963,2,2,643.972491620465,2006.7392955902142,0.3209049092902037,-643.972491620465,-2,-7,0,0,-128.79449832409364,-10.0,-7.0,0.0,0.0
52001513,R,14,7,10+,6,True,-21.527389142857118,-301.3834479999996,2,4,1556.91723634757,2006.7392955902142,0.7758442961519103,-1556.91723634757,1,-1,2,2,-311.3834472695148,5.0,-1.0,0.0,6.0
52001516,O,10,4,10+,6,True,-19.976568600000007,-199.7656860000002,0,2,1068.8284301569238,2211.986111728438,0.48319852664976504,-1068.8284301569238,2,-2,2,2,-213.76568603138548,10.0,-2.0,0.0,6.0
52001516,R,10,4,10+,6,True,-33.32941069999998,-333.29410700000017,0,2,1776.4705328207292,2211.986111728438,0.8031110699120083,-1776.4705328207292,3,1,2,2,-355.29410656414484,15.0,1.0,0.0,6.0
52001514,O,15,8,10+,6,True,-20.58119473333332,-308.71792099999993,1,0,1513.589607571439,2561.855635396272,0.590817681784522,-1513.589607571439,0,-3,-1,-1,-302.7179215142901,0.0,-3.0,0.0,-3.0
52001514,R,15,8,10+,6,True,-25.822786133333295,-387.3417919999997,1,1,2061.7089612810287,2561.855635396272,0.8047717181230316,-2061.7089612810287,4,5,0,0,-412.341792256208,20.0,5.0,0.0,0.0
52001515,O,16,11,10+,6,True,-7.507678374999983,-120.12285399999973,1,1,-124.3857330064493,756.5886888279601,-0.16440337377913566,124.3857330064493,-25,-20,0,0,24.87714660128904,-125.0,-20.0,0.0,0.0
52001515,R,16,11,10+,6,True,-14.87511624999999,-238.00185999999985,1,3,480.0092973180126,756.5886888279601,0.634438902412882,-480.0092973180126,-26,-18,2,2,-96.00185946360261,-130.0,-18.0,0.0,6.0
52001517,O,11,6,10+,6,True,-17.663319909090916,-194.296519,1,1,1336.482596254582,2245.5350052177,0.5951733520738469,-1336.482596254582,13,8,0,0,-267.2965192509173,65.0,8.0,0.0,0.0
52001517,R,11,6,10+,6,True,-27.852563181818226,-306.37819500000023,1,2,1911.8909793209623,2245.5350052177,0.8514189157053949,-1911.8909793209623,13,8,1,1,-382.37819586419346,65.0,8.0,0.0,3.0
52001519,O,13,7,10+,6,True,-33.45067607692306,-434.8587889999999,0,0,2044.2939486124633,1952.5166052307304,1.0470046416690462,-2044.2939486124633,-5,-1,0,0,-408.858789722492,-25.0,-1.0,0.0,0.0
52001519,R,13,7,10+,6,True,-32.85563507692305,-427.12325599999986,0,1,2045.6162815637963,1952.5166052307304,1.0476818871008087,-2045.6162815637963,-4,-1,1,1,-409.12325631275917,-20.0,-1.0,0.0,3.0
52001518,O,12,7,10+,6,True,-51.03097091666669,-612.3716509999999,0,2,3151.858256522495,3656.7787279896766,0.8619220606370234,-3151.858256522495,2,2,2,2,-630.3716513044992,10.0,2.0,0.0,6.0
52001518,R,12,7,10+,6,True,-53.418834083333365,-641.0260090000002,0,2,3320.1300426188373,3656.7787279896766,0.9079384588424597,-3320.1300426188373,3,2,2,2,-664.0260085237669,15.0,2.0,0.0,6.0
52001520,O,14,7,10+,6,True,-8.72740964285714,-122.18373500000007,1,3,335.91867624027327,2646.270693667846,0.12694040600006623,-335.91867624027327,-10,-11,2,2,-67.18373524805611,-50.0,-11.0,0.0,6.0
52001520,R,14,7,10+,6,True,-22.74715957142857,-318.4602340000001,1,2,1422.3011718372818,2646.270693667846,0.5374738023742804,-1422.3011718372818,-6,-7,1,1,-284.4602343674551,-30.0,-7.0,0.0,3.0
52001521,O,15,11,10+,6,True,-6.144824066666672,-92.17236100000036,1,1,460.8618068651249,1458.9476517177663,0.31588645851858066,-460.8618068651249,0,0,0,0,-92.17236137302461,0.0,0.0,0.0,0.0
52001521,R,15,11,10+,6,True,-12.62016993333333,-189.302549,1,1,871.5127446623246,1458.9476517177663,0.5973571043732822,-871.5127446623246,-3,0,0,0,-174.3025489324641,-15.0,0.0,0.0,0.0
52001524,O,11,4,10+,6,True,-13.058428363636438,-143.6427120000003,1,1,773.2135602795206,1274.0722285550091,0.6068836153476651,-773.2135602795206,2,1,0,0,-154.6427120559042,10.0,1.0,0.0,0.0
52001524,R,11,4,10+,6,True,-24.508142545454604,-269.5895680000003,1,1,1547.9478365661598,1274.0722285550091,1.2149608176624076,-1547.9478365661598,7,5,0,0,-309.589567313232,35.0,5.0,0.0,0.0
52001523,O,10,6,10+,6,True,-40.73193059999994,-407.31930599999987,1,1,2126.5965306128874,2675.910580981952,0.794718831685516,-2126.5965306128874,3,3,0,0,-425.31930612257656,15.0,3.0,0.0,0.0
52001523,R,10,6,10+,6,True,-49.22150429999999,-492.21504300000015,1,1,2406.0752150452754,2675.910580981952,0.8991612919151962,-2406.0752150452754,-2,-1,0,0,-481.2150430090546,-10.0,-1.0,0.0,0.0
52001522,O,16,6,10+,6,True,-17.395476062499995,-278.3276169999999,1,1,1256.638081459234,2205.8599202180594,0.569681723640461,-1256.638081459234,-6,3,0,0,-251.32761629184597,-30.0,3.0,0.0,0.0
52001522,R,16,6,10+,6,True,-21.90299056250001,-350.44784900000013,1,3,1612.2392443324443,2205.8599202180594,0.7308892235428381,-1612.2392443324443,-7,1,2,2,-322.4478488664854,-35.0,1.0,0.0,6.0
52001525,O,12,7,10+,6,True,1.6547985833333314,19.857582999999977,0,1,-359.2879155437786,685.9373604389784,-0.5237911451766464,359.2879155437786,-10,-5,1,1,71.85758310875462,-50.0,-5.0,0.0,3.0
52001525,R,12,7,10+,6,True,-13.467177083333354,-161.60612500000025,0,1,398.0306246418695,685.9373604389784,0.5802725548979317,-398.0306246418695,-15,-10,1,1,-79.60612492837481,-75.0,-10.0,0.0,3.0
52001526,O,13,7,10+,6,True,-28.845455846153868,-374.99092599999994,1,0,1734.9546313420524,2074.5118287072128,0.8363194691559004,-1734.9546313420524,-4,-5,-1,-1,-346.99092626840957,-20.0,-5.0,0.0,-3.0
52001526,R,13,7,10+,6,True,-34.52170853846158,-448.7822110000002,1,1,1988.9110596138871,2074.5118287072128,0.9587369096146972,-1988.9110596138871,-8,-11,0,0,-397.7822119227767,-40.0,-11.0,0.0,0.0
52001528,O,15,6,10+,6,True,-35.43364379999997,-531.504657,1,1,3277.523282590555,3610.845723541861,0.9076885398957584,-3277.523282590555,21,19,0,0,-655.5046565181092,105.0,19.0,0.0,0.0
52001528,R,15,6,10+,6,True,-47.407841133333335,-711.1176170000003,1,3,4050.588085160889,3610.845723541861,1.1217837579578689,-4050.588085160889,15,18,2,2,-810.1176170321783,75.0,18.0,0.0,6.0
52001527,O,14,11,10+,6,True,-10.956662857142845,-153.39327999999978,1,1,891.9664004398765,1442.4420831694406,0.6183724191407268,-891.9664004398765,3,10,0,0,-178.3932800879761,15.0,10.0,0.0,0.0
52001527,R,14,11,10+,6,True,-11.700139000000007,-163.80194600000004,1,1,994.0097311742902,1442.4420831694406,0.6891158700737422,-994.0097311742902,5,10,0,0,-198.80194623485795,25.0,10.0,0.0,0.0
52001530,O,10,5,10+,6,True,-7.115832300000022,-71.15832300000011,1,2,275.7916122577917,515.3156142035859,0.5351897063783412,-275.7916122577917,-4,1,1,1,-55.15832245155798,-20.0,1.0,0.0,3.0
52001530,R,10,5,10+,6,True,-11.559292800000037,-115.59292800000003,1,1,532.9646400887177,515.3156142035859,1.0342489639333132,-532.9646400887177,-2,1,0,0,-106.59292801774382,-10.0,1.0,0.0,0.0
52001529,O,16,10,10+,6,True,-21.27890637499999,-340.46250199999986,0,0,1852.312509987676,3159.3083497991847,0.5863031730047542,-1852.312509987676,4,10,0,0,-370.46250199753604,20.0,10.0,0.0,0.0
52001529,R,16,10,10+,6,True,-25.887933062499997,-414.20692899999995,0,0,1986.034646249267,3159.3083497991847,0.6286295689926896,-1986.034646249267,-4,3,0,0,-397.2069292498518,-20.0,3.0,0.0,0.0
