sequence,request_id,action,x_m,y_m,channel,result,virtual_time_s
1,3ca146f206db4a4b8c0f2b1da564c3d1-1,measure,0.0,0.0,1,no_signal,5
2,3ca146f206db4a4b8c0f2b1da564c3d1-2,measure,0.0,0.0,2,no_signal,11
3,3ca146f206db4a4b8c0f2b1da564c3d1-3,measure,0.0,0.0,3,no_signal,17
4,3ca146f206db4a4b8c0f2b1da564c3d1-4,measure,0.0,0.0,4,no_signal,23
5,3ca146f206db4a4b8c0f2b1da564c3d1-5,measure,0.0,0.0,5,no_signal,29
6,3ca146f206db4a4b8c0f2b1da564c3d1-6,measure,0.0,0.0,6,no_signal,35
7,3ca146f206db4a4b8c0f2b1da564c3d1-7,measure,0.0,0.0,7,direction,41
8,3ca146f206db4a4b8c0f2b1da564c3d1-8,measure,0.0,0.0,8,direction,47
9,3ca146f206db4a4b8c0f2b1da564c3d1-9,measure,0.0,0.0,9,no_signal,53
10,3ca146f206db4a4b8c0f2b1da564c3d1-10,measure,0.0,0.0,10,no_signal,59
11,3ca146f206db4a4b8c0f2b1da564c3d1-11,measure,0.0,0.0,11,direction,65
12,3ca146f206db4a4b8c0f2b1da564c3d1-12,measure,0.0,0.0,12,no_signal,71
13,3ca146f206db4a4b8c0f2b1da564c3d1-13,measure,0.0,0.0,13,no_signal,77
14,3ca146f206db4a4b8c0f2b1da564c3d1-14,measure,0.0,0.0,14,no_signal,83
15,3ca146f206db4a4b8c0f2b1da564c3d1-15,measure,0.0,0.0,15,no_signal,89
16,3ca146f206db4a4b8c0f2b1da564c3d1-16,measure,0.0,0.0,16,no_signal,95
17,3ca146f206db4a4b8c0f2b1da564c3d1-17,measure,0.0,0.0,17,no_signal,101
18,3ca146f206db4a4b8c0f2b1da564c3d1-18,measure,0.0,0.0,18,direction,107
19,3ca146f206db4a4b8c0f2b1da564c3d1-19,measure,0.0,0.0,19,no_signal,113
20,3ca146f206db4a4b8c0f2b1da564c3d1-20,measure,0.0,0.0,20,direction,119
21,3ca146f206db4a4b8c0f2b1da564c3d1-21,measure,113.29142613058409,-13.031391378188458,11,direction,147.807687
22,3ca146f206db4a4b8c0f2b1da564c3d1-22,measure,125.87936236731565,-14.479323753542731,20,direction,156.341874
23,3ca146f206db4a4b8c0f2b1da564c3d1-23,measure,528.6933219427257,-60.81315976487947,11,direction,243.435871
24,3ca146f206db4a4b8c0f2b1da564c3d1-24,measure,553.8691944161889,-63.70902451558801,7,direction,254.504246
25,3ca146f206db4a4b8c0f2b1da564c3d1-25,measure,558.1452991278669,-62.270942657240056,20,direction,261.406535
26,3ca146f206db4a4b8c0f2b1da564c3d1-26,measure,605.1824509563254,-46.45204221541249,11,direction,277.331718
27,3ca146f206db4a4b8c0f2b1da564c3d1-27,measure,677.8762310548523,-22.00465062349717,20,direction,298.670637
28,3ca146f206db4a4b8c0f2b1da564c3d1-28,measure,784.7788488468034,13.947395835201831,11,direction,327.22787
29,3ca146f206db4a4b8c0f2b1da564c3d1-29,clear,810.4354771168717,22.575886985289582,7,no_target_in_range,335.641606
30,3ca146f206db4a4b8c0f2b1da564c3d1-30,measure,810.4354771168717,22.575886985289582,7,direction,341.641606
31,3ca146f206db4a4b8c0f2b1da564c3d1-31,clear,842.9573752796592,35.51134754490137,7,success,353.641606
32,3ca146f206db4a4b8c0f2b1da564c3d1-32,measure,1112.8327609037951,-196.22244076363134,1,no_signal,430.784637
33,3ca146f206db4a4b8c0f2b1da564c3d1-33,measure,1112.8327609037951,-196.22244076363134,2,no_signal,436.784637
