sequence,request_id,action,x_m,y_m,channel,result,virtual_time_s
1,d56eea950a634f45af338a6b2ec4d79d-1,measure,0.0,0.0,1,no_signal,5
2,d56eea950a634f45af338a6b2ec4d79d-2,measure,0.0,0.0,2,no_signal,11
3,d56eea950a634f45af338a6b2ec4d79d-3,measure,0.0,0.0,3,direction,17
4,d56eea950a634f45af338a6b2ec4d79d-4,measure,0.0,0.0,4,no_signal,23
5,d56eea950a634f45af338a6b2ec4d79d-5,measure,0.0,0.0,5,no_signal,29
6,d56eea950a634f45af338a6b2ec4d79d-6,measure,0.0,0.0,6,no_signal,35
7,d56eea950a634f45af338a6b2ec4d79d-7,measure,0.0,0.0,7,no_signal,41
8,d56eea950a634f45af338a6b2ec4d79d-8,measure,0.0,0.0,8,no_signal,47
9,d56eea950a634f45af338a6b2ec4d79d-9,measure,0.0,0.0,9,no_signal,53
10,d56eea950a634f45af338a6b2ec4d79d-10,measure,0.0,0.0,10,no_signal,59
11,d56eea950a634f45af338a6b2ec4d79d-11,measure,0.0,0.0,11,no_signal,65
12,d56eea950a634f45af338a6b2ec4d79d-12,measure,0.0,0.0,12,no_signal,71
13,d56eea950a634f45af338a6b2ec4d79d-13,measure,0.0,0.0,13,no_signal,77
14,d56eea950a634f45af338a6b2ec4d79d-14,measure,0.0,0.0,14,no_signal,83
15,d56eea950a634f45af338a6b2ec4d79d-15,measure,0.0,0.0,15,no_signal,89
16,d56eea950a634f45af338a6b2ec4d79d-16,measure,0.0,0.0,16,direction,95
17,d56eea950a634f45af338a6b2ec4d79d-17,measure,0.0,0.0,17,no_signal,101
18,d56eea950a634f45af338a6b2ec4d79d-18,measure,0.0,0.0,18,no_signal,107
19,d56eea950a634f45af338a6b2ec4d79d-19,measure,0.0,0.0,19,no_signal,113
20,d56eea950a634f45af338a6b2ec4d79d-20,measure,0.0,0.0,20,no_signal,119
21,d56eea950a634f45af338a6b2ec4d79d-21,clear,0.0,0.0,16,no_target_in_range,122
22,d56eea950a634f45af338a6b2ec4d79d-22,clear,0.0,0.0,3,no_target_in_range,125
23,d56eea950a634f45af338a6b2ec4d79d-23,measure,423.2034085401487,423.20340854014864,16,direction,250.7
24,d56eea950a634f45af338a6b2ec4d79d-24,measure,564.271211386865,564.2712113868649,3,direction,296.6
25,d56eea950a634f45af338a6b2ec4d79d-25,measure,705.3390142335812,705.3390142335811,1,no_signal,342.5
26,d56eea950a634f45af338a6b2ec4d79d-26,measure,705.3390142335812,705.3390142335811,2,no_signal,348.5
27,d56eea950a634f45af338a6b2ec4d79d-27,measure,705.3390142335812,705.3390142335811,4,no_signal,354.5
28,d56eea950a634f45af338a6b2ec4d79d-28,measure,705.3390142335812,705.3390142335811,5,no_signal,360.5
29,d56eea950a634f45af338a6b2ec4d79d-29,measure,705.3390142335812,705.3390142335811,6,no_signal,366.5
30,d56eea950a634f45af338a6b2ec4d79d-30,measure,705.3390142335812,705.3390142335811,7,no_signal,372.5
31,d56eea950a634f45af338a6b2ec4d79d-31,measure,705.3390142335812,705.3390142335811,8,no_signal,378.5
32,d56eea950a634f45af338a6b2ec4d79d-32,measure,705.3390142335812,705.3390142335811,9,no_signal,384.5
33,d56eea950a634f45af338a6b2ec4d79d-33,measure,705.3390142335812,705.3390142335811,10,no_signal,390.5
34,d56eea950a634f45af338a6b2ec4d79d-34,measure,705.3390142335812,705.3390142335811,11,direction,396.5
35,d56eea950a634f45af338a6b2ec4d79d-35,measure,705.3390142335812,705.3390142335811,12,no_signal,402.5
36,d56eea950a634f45af338a6b2ec4d79d-36,measure,705.3390142335812,705.3390142335811,13,no_signal,408.5
37,d56eea950a634f45af338a6b2ec4d79d-37,measure,705.3390142335812,705.3390142335811,14,no_signal,414.5
38,d56eea950a634f45af338a6b2ec4d79d-38,measure,705.3390142335812,705.3390142335811,15,no_signal,420.5
39,d56eea950a634f45af338a6b2ec4d79d-39,measure,705.3390142335812,705.3390142335811,17,direction,426.5
40,d56eea950a634f45af338a6b2ec4d79d-40,measure,705.3390142335812,705.3390142335811,18,direction,432.5
41,d56eea950a634f45af338a6b2ec4d79d-41,measure,705.3390142335812,705.3390142335811,19,no_signal,438.5
42,d56eea950a634f45af338a6b2ec4d79d-42,measure,705.3390142335812,705.3390142335811,20,no_signal,444.5
43,d56eea950a634f45af338a6b2ec4d79d-43,measure,705.3390142335812,705.3390142335811,3,direction,450.5
44,d56eea950a634f45af338a6b2ec4d79d-44,clear,705.3390142335812,705.3390142335811,11,no_target_in_range,453.5
45,d56eea950a634f45af338a6b2ec4d79d-45,clear,705.3390142335812,705.3390142335811,17,no_target_in_range,456.5
46,d56eea950a634f45af338a6b2ec4d79d-46,clear,705.3390142335812,705.3390142335811,18,no_target_in_range,459.5
47,d56eea950a634f45af338a6b2ec4d79d-47,measure,520.9462370603362,565.8115386889677,11,direction,511.746562
48,d56eea950a634f45af338a6b2ec4d79d-48,measure,520.9462370603362,565.8115386889677,18,direction,517.746562
49,d56eea950a634f45af338a6b2ec4d79d-49,clear,474.84804276702505,530.9296698028144,3,success,534.308203
50,d56eea950a634f45af338a6b2ec4d79d-50,measure,579.37843421362,424.7437358422515,11,direction,570.108911
51,d56eea950a634f45af338a6b2ec4d79d-51,measure,788.43921710681,212.37186792112578,18,direction,635.710328
52,d56eea950a634f45af338a6b2ec4d79d-52,measure,892.969608553405,106.18593396056286,16,direction,671.511036
53,d56eea950a634f45af338a6b2ec4d79d-53,measure,892.969608553405,106.18593396056286,17,direction,677.511036
54,d56eea950a634f45af338a6b2ec4d79d-54,measure,997.5,0.0,1,no_signal,713.311744
55,d56eea950a634f45af338a6b2ec4d79d-55,measure,997.5,0.0,2,no_signal,719.311744
56,d56eea950a634f45af338a6b2ec4d79d-56,measure,997.5,0.0,4,no_signal,725.311744
57,d56eea950a634f45af338a6b2ec4d79d-57,measure,997.5,0.0,5,no_signal,731.311744
58,d56eea950a634f45af338a6b2ec4d79d-58,measure,997.5,0.0,6,no_signal,737.311744
59,d56eea950a634f45af338a6b2ec4d79d-59,measure,997.5,0.0,7,direction,743.311744
60,d56eea950a634f45af338a6b2ec4d79d-60,measure,997.5,0.0,8,no_signal,749.311744
61,d56eea950a634f45af338a6b2ec4d79d-61,measure,997.5,0.0,9,no_signal,755.311744
62,d56eea950a634f45af338a6b2ec4d79d-62,measure,997.5,0.0,10,no_signal,761.311744
63,d56eea950a634f45af338a6b2ec4d79d-63,measure,997.5,0.0,12,no_signal,767.311744
64,d56eea950a634f45af338a6b2ec4d79d-64,measure,997.5,0.0,13,no_signal,773.311744
65,d56eea950a634f45af338a6b2ec4d79d-65,measure,997.5,0.0,14,no_signal,779.311744
66,d56eea950a634f45af338a6b2ec4d79d-66,measure,997.5,0.0,15,no_signal,785.311744
67,d56eea950a634f45af338a6b2ec4d79d-67,measure,997.5,0.0,19,no_signal,791.311744
68,d56eea950a634f45af338a6b2ec4d79d-68,measure,997.5,0.0,20,no_signal,797.311744
69,d56eea950a634f45af338a6b2ec4d79d-69,measure,997.5,0.0,16,direction,803.311744
70,d56eea950a634f45af338a6b2ec4d79d-70,measure,997.5,0.0,17,direction,809.311744
71,d56eea950a634f45af338a6b2ec4d79d-71,clear,997.5,0.0,7,no_target_in_range,812.311744
72,d56eea950a634f45af338a6b2ec4d79d-72,measure,692.8103255872579,-429.81375064212443,7,direction,923.682643
73,d56eea950a634f45af338a6b2ec4d79d-73,clear,616.6379069840724,-537.2671883026555,16,success,955.025368
74,d56eea950a634f45af338a6b2ec4d79d-74,measure,634.3781284339741,-570.8815534888407,7,direction,967.627055
75,d56eea950a634f45af338a6b2ec4d79d-75,measure,705.339014233581,-705.3390142335813,1,no_signal,1004.033802
76,d56eea950a634f45af338a6b2ec4d79d-76,measure,705.339014233581,-705.3390142335813,2,no_signal,1010.033802
77,d56eea950a634f45af338a6b2ec4d79d-77,measure,705.339014233581,-705.3390142335813,4,no_signal,1016.033802
78,d56eea950a634f45af338a6b2ec4d79d-78,measure,705.339014233581,-705.3390142335813,5,no_signal,1022.033802
79,d56eea950a634f45af338a6b2ec4d79d-79,measure,705.339014233581,-705.3390142335813,6,no_signal,1028.033802
80,d56eea950a634f45af338a6b2ec4d79d-80,measure,705.339014233581,-705.3390142335813,8,no_signal,1034.033802
81,d56eea950a634f45af338a6b2ec4d79d-81,measure,705.339014233581,-705.3390142335813,9,no_signal,1040.033802
82,d56eea950a634f45af338a6b2ec4d79d-82,measure,705.339014233581,-705.3390142335813,10,no_signal,1046.033802
83,d56eea950a634f45af338a6b2ec4d79d-83,measure,705.339014233581,-705.3390142335813,12,no_signal,1052.033802
84,d56eea950a634f45af338a6b2ec4d79d-84,measure,705.339014233581,-705.3390142335813,13,no_signal,1058.033802
85,d56eea950a634f45af338a6b2ec4d79d-85,measure,705.339014233581,-705.3390142335813,14,no_signal,1064.033802
86,d56eea950a634f45af338a6b2ec4d79d-86,measure,705.339014233581,-705.3390142335813,15,no_signal,1070.033802
87,d56eea950a634f45af338a6b2ec4d79d-87,measure,705.339014233581,-705.3390142335813,19,no_signal,1076.033802
88,d56eea950a634f45af338a6b2ec4d79d-88,measure,705.339014233581,-705.3390142335813,20,no_signal,1082.033802
89,d56eea950a634f45af338a6b2ec4d79d-89,measure,705.339014233581,-705.3390142335813,7,direction,1088.033802
90,d56eea950a634f45af338a6b2ec4d79d-90,clear,419.2861718272335,186.19821016318184,7,success,1280.294567
91,d56eea950a634f45af338a6b2ec4d79d-91,measure,83.85723436544674,835.2396420326365,11,direction,1432.413334
92,d56eea950a634f45af338a6b2ec4d79d-92,measure,83.85723436544674,835.2396420326365,18,direction,1438.413334
93,d56eea950a634f45af338a6b2ec4d79d-93,measure,6.107925910747424e-14,997.5,1,no_signal,1480.943026
94,d56eea950a634f45af338a6b2ec4d79d-94,measure,6.107925910747424e-14,997.5,2,no_signal,1486.943026
95,d56eea950a634f45af338a6b2ec4d79d-95,measure,6.107925910747424e-14,997.5,4,no_signal,1492.943026
96,d56eea950a634f45af338a6b2ec4d79d-96,measure,6.107925910747424e-14,997.5,5,no_signal,1498.943026
97,d56eea950a634f45af338a6b2ec4d79d-97,measure,6.107925910747424e-14,997.5,6,no_signal,1504.943026
98,d56eea950a634f45af338a6b2ec4d79d-98,measure,6.107925910747424e-14,997.5,8,no_signal,1510.943026
